Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Ивантеевская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666					
1	"Число избирателей, внесенных в список избирателей"	45528	2068	2046	2129	2198	2245	2217	2153	2231	2320	2073	2161	2146	2630	2601	2683	2142	2906	2182	2150	2247					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20689	1001	843	968	991	1100	1115	1071	1007	1118	1003	947	1111	1325	1030	989	1026	1016	944	988	1096					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	709	45	44	32	32	36	59	36	26	28	30	28	25	28	14	64	33	32	42	45	30					
6	Число погашенных избирательных бюллетеней	18598	953	1113	1000	977	863	826	893	967	854	967	1025	864	646	956	947	941	952	1013	967	874					
7	Число избирательных бюллетеней в переносных ящиках для голосования	707	45	44	32	32	36	59	36	24	28	30	28	25	28	14	64	33	32	42	45	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20627	1001	843	968	989	1097	1115	1071	1006	1114	1002	947	1105	1324	1030	989	1024	1016	941	979	1066					
9	Число недействительных избирательных бюллетеней	706	21	34	26	33	29	84	35	31	31	40	37	29	46	36	40	26	18	33	36	41					
10	Число действительных избирательных бюллетеней	20628	1025	853	974	988	1104	1090	1072	999	1111	992	938	1101	1306	1008	1013	1031	1030	950	988	1055					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	820	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	50	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	545	26	22	23	27	28	22	18	27	24	30	25	26	49	38	25	17	38	16	28	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	366	17	16	23	30	10	13	21	12	17	14	11	9	23	8	45	23	22	11	10	31					
14	Число погашенных неиспользованных открепительных удостоверений	275	14	18	17	13	12	18	22	13	16	10	15	14	1	2	15	23	12	24	12	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	1	2	2	1	2	2	2	1	2	2	2	1	4	1	4	0	4	1	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3708	176	168	167	181	177	177	163	189	209	179	173	207	273	161	151	200	190	160	215	192					
		17.38%	16.83%	18.94%	16.70%	17.73%	15.62%	15.08%	14.72%	18.35%	18.30%	17.34%	17.74%	18.32%	20.19%	15.42%	14.34%	18.92%	18.13%	16.28%	20.99%	17.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3211	152	128	174	143	167	158	198	142	161	142	123	164	195	181	193	159	164	158	136	173					
		15.05%	14.53%	14.43%	17.40%	14.01%	14.74%	13.46%	17.89%	13.79%	14.10%	13.76%	12.62%	14.51%	14.42%	17.34%	18.33%	15.04%	15.65%	16.07%	13.28%	15.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	320	16	10	19	14	17	11	9	16	18	15	19	13	23	19	15	19	20	17	11	19					
		1.50%	1.53%	1.13%	1.90%	1.37%	1.50%	0.94%	0.81%	1.55%	1.58%	1.45%	1.95%	1.15%	1.70%	1.82%	1.42%	1.80%	1.91%	1.73%	1.07%	1.73%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5665	310	198	242	265	320	284	309	295	315	310	247	298	352	273	276	283	258	257	299	274					
		26.55%	29.64%	22.32%	24.20%	25.95%	28.24%	24.19%	27.91%	28.64%	27.58%	30.04%	25.33%	26.37%	26.04%	26.15%	26.21%	26.77%	24.62%	26.14%	29.20%	25.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1637	83	70	76	62	102	100	70	66	113	85	77	97	112	87	59	86	65	81	64	82					
		7.67%	7.93%	7.89%	7.60%	6.07%	9.00%	8.52%	6.32%	6.41%	9.89%	8.24%	7.90%	8.58%	8.28%	8.33%	5.60%	8.14%	6.20%	8.24%	6.25%	7.48%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5842	277	269	280	315	315	353	314	273	276	250	289	311	327	272	307	277	320	269	251	297					
		27.38%	26.48%	30.33%	28.00%	30.85%	27.80%	30.07%	28.36%	26.50%	24.17%	24.22%	29.64%	27.52%	24.19%	26.05%	29.15%	26.21%	30.53%	27.37%	24.51%	27.10%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	245	11	10	16	8	6	7	9	18	19	11	10	11	24	15	12	7	13	8	12	18					
		1.15%	1.05%	1.13%	1.60%	0.78%	0.53%	0.60%	0.81%	1.75%	1.66%	1.07%	1.03%	0.97%	1.78%	1.44%	1.14%	0.66%	1.24%	0.81%	1.17%	1.64%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
