Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Ивантеевская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640					
1	"Число избирателей, внесенных в списки избирателей"	43553	2041	2195	2224	2152	2211	2259	2130	2216	2214	2244	2224	2076	2212	2154	2053	2214	2238	2255	2118	2123					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22387	1106	1105	1115	1105	1141	1313	1177	1184	1227	1154	1228	1024	1238	1181	924	934	1199	953	1020	1059					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	894	65	42	45	38	32	22	55	44	44	19	38	32	29	16	40	133	41	41	57	61					
6	Число погашенных избирательных бюллетеней	16711	829	853	840	857	827	665	768	772	729	827	734	944	733	796	1036	932	760	1006	923	880					
7	Число избирательных бюллетеней в переносных ящиках для голосования	894	65	42	45	38	32	22	55	44	44	19	38	32	29	16	40	133	41	41	57	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22374	1106	1105	1115	1105	1140	1313	1177	1184	1227	1154	1228	1024	1238	1174	924	930	1198	953	1020	1059					
9	Число недействительных избирательных бюллетеней	304	22	11	11	16	13	30	11	12	20	16	19	9	16	13	12	16	18	12	17	10					
10	Число действительных избирательных бюллетеней	22964	1149	1136	1149	1127	1159	1305	1221	1216	1251	1157	1247	1047	1251	1177	952	1047	1221	982	1060	1110					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1000	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	650	31	28	31	33	39	42	31	29	41	32	31	39	43	47	41	28	17	24	22	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	384	25	18	28	15	25	9	27	25	29	11	21	26	27	8	14	23	18	19	11	5					
14	Число погашенных неиспользованных открепительных удостоверений	350	19	22	19	17	11	8	19	21	9	18	19	11	7	3	9	22	33	26	28	29					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	4	1	4	0	2	2	2	1	1	1	1	3	3	5	1	0	2	2	1	5					
16	Число утраченных избирательных бюллетеней	8	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	794	40	41	39	54	43	34	37	45	40	49	39	40	36	51	24	30	51	36	32	33					
		3.41%	3.42%	3.57%	3.36%	4.72%	3.67%	2.55%	3.00%	3.66%	3.15%	4.18%	3.08%	3.79%	2.84%	4.29%	2.49%	2.82%	4.12%	3.62%	2.97%	2.95%					
19	2.Всероссийская политическая партия «Гражданская Сила»	385	19	24	19	18	20	27	22	18	22	18	21	12	31	21	20	17	20	15	9	12					
		1.65%	1.62%	2.09%	1.64%	1.57%	1.71%	2.02%	1.79%	1.47%	1.73%	1.53%	1.66%	1.14%	2.45%	1.76%	2.07%	1.60%	1.61%	1.51%	0.84%	1.07%					
20	3.Политическая партия «Демократическая партия России»	29	2	1	1	4	0	2	1	0	2	1	1	2	3	2	0	3	1	1	1	1					
		0.12%	0.17%	0.09%	0.09%	0.35%	0.00%	0.15%	0.08%	0.00%	0.16%	0.09%	0.08%	0.19%	0.24%	0.17%	0.00%	0.28%	0.08%	0.10%	0.09%	0.09%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3352	174	160	155	150	174	212	184	188	196	169	232	113	166	143	113	151	183	127	161	201					
		14.41%	14.86%	13.95%	13.36%	13.12%	14.85%	15.88%	14.94%	15.31%	15.42%	14.41%	18.33%	10.70%	13.10%	12.02%	11.72%	14.21%	14.77%	12.78%	14.95%	17.95%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	433	31	20	19	26	25	31	26	25	16	32	19	10	17	16	20	16	28	24	19	13					
		1.86%	2.65%	1.74%	1.64%	2.27%	2.13%	2.32%	2.11%	2.04%	1.26%	2.73%	1.50%	0.95%	1.34%	1.34%	2.07%	1.51%	2.26%	2.41%	1.76%	1.16%					
23	6.Политическая партия «Партия социальной справедливости»	71	3	3	2	6	2	1	10	1	5	2	4	3	5	5	6	2	6	0	1	4					
		0.31%	0.26%	0.26%	0.17%	0.52%	0.17%	0.07%	0.81%	0.08%	0.39%	0.17%	0.32%	0.28%	0.39%	0.42%	0.62%	0.19%	0.48%	0.00%	0.09%	0.36%					
24	7.Политическая партия «Либерально-демократическая партия России»	1935	106	104	93	88	91	103	105	85	117	111	82	96	130	88	82	96	109	93	73	83					
		8.32%	9.05%	9.07%	8.02%	7.70%	7.76%	7.72%	8.52%	6.92%	9.21%	9.46%	6.48%	9.09%	10.26%	7.39%	8.51%	9.03%	8.80%	9.36%	6.78%	7.41%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1751	65	88	92	91	96	80	111	120	90	76	91	73	114	102	56	73	97	67	98	71					
		7.53%	5.55%	7.67%	7.93%	7.96%	8.19%	5.99%	9.01%	9.77%	7.08%	6.48%	7.19%	6.91%	8.99%	8.57%	5.81%	6.87%	7.83%	6.74%	9.10%	6.34%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	341	8	17	15	10	14	18	20	19	17	16	27	17	10	26	23	14	20	20	11	19					
		1.47%	0.68%	1.48%	1.29%	0.87%	1.19%	1.35%	1.62%	1.55%	1.34%	1.36%	2.13%	1.61%	0.79%	2.18%	2.39%	1.32%	1.61%	2.01%	1.02%	1.70%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13210	664	658	670	645	653	739	675	692	729	639	691	659	691	685	588	628	667	578	621	638					
		56.77%	56.70%	57.37%	57.76%	56.43%	55.72%	55.36%	54.79%	56.35%	57.36%	54.48%	54.58%	62.41%	54.54%	57.56%	60.99%	59.08%	53.83%	58.15%	57.66%	56.96%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	663	37	20	44	35	41	58	30	23	17	44	40	22	48	38	20	17	39	21	34	35					
