Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Осинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  2401	УИК  2402	УИК  2403	УИК  2404	УИК  2405	УИК  2406	УИК  2407	УИК  2408	УИК  2409	УИК  2410	УИК  2411	УИК  2412	УИК  2413	УИК  2414	УИК  2415	УИК  2416	УИК  2417	УИК  2418	УИК  2419	УИК  2420	УИК  2421	УИК  2422	УИК  2423	УИК  2424	УИК  2425	УИК  2426	УИК  2427	УИК  2428					
1	"Число избирателей, внесенных в списки"	24487	2630	974	1664	907	1302	2542	2511	2431	1373	633	589	214	670	365	139	903	593	465	204	532	366	495	309	335	381	327	367	266					
2	"Число бюллетеней, полученных участковыми комиссиями"	24550	2600	900	1600	1000	1300	2500	2700	2400	1300	600	600	220	650	400	140	900	650	490	200	550	380	500	310	340	380	330	360	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12956	1504	486	820	394	750	1351	1227	1377	700	304	342	108	312	249	49	439	322	326	131	284	209	249	178	193	206	154	198	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1150	10	43	31	14	12	60	34	28	3	12	51	29	73	25	52	70	76	20	8	48	11	37	5	51	48	98	53	148					
6	Число погашенных бюллетеней	10444	1086	371	749	592	538	1089	1439	995	597	284	207	83	265	126	39	391	252	144	61	218	160	214	127	96	126	78	109	8					
7	Число бюллетеней в переносных ящиках для голосования	1150	10	43	31	14	12	60	34	28	3	12	51	29	73	25	52	70	76	20	8	48	11	37	5	51	48	98	53	148					
8	Число бюллетеней в стационарных ящиках для голосования	12954	1504	486	820	394	750	1350	1226	1377	700	304	342	108	312	249	49	439	322	326	131	284	209	249	178	193	206	154	198	94					
9	Число недействительных бюллетеней	251	16	12	12	15	17	26	12	12	4	7	8	2	5	10	0	14	11	6	0	14	5	7	14	6	10	2	2	2					
10	Число действительных бюллетеней	13853	1498	517	839	393	745	1384	1248	1393	699	309	385	135	380	264	101	495	387	340	139	318	215	279	169	238	244	250	249	240					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	255	22	8	22	8	15	30	23	25	19	8	11	0	6	8	2	9	0	3	2	6	3	5	3	3	8	3	3	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	217	22	8	20	8	15	30	22	25	13	6	9	0	2	3	0	9	0	3	2	4	2	5	2	1	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	8	3	11	1	2	8	6	1	1	3	5	1	7	1	1	6	2	3	2	6	0	1	1	1	0	1	0	63					
14	Число погашенных открепительных удостоверений	38	0	0	2	0	0	0	1	0	6	2	2	0	4	5	2	0	0	0	0	2	1	0	1	2	2	3	3	0					
15	Число открепительных удостоверений выданных ТИК	40	3	0	7	4	0	3	6	4	3	2	1	0	2	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	272	35	7	22	8	10	26	17	23	7	7	14	3	8	6	0	10	6	11	4	6	7	3	8	3	4	8	6	3					
		1.92%	2.31%	1.32%	2.58%	1.96%	1.31%	1.84%	1.34%	1.63%	0.99%	2.21%	3.56%	2.18%	2.07%	2.18%	0.0%	1.96%	1.50%	3.17%	2.87%	1.80%	3.18%	1.04%	4.37%	1.22%	1.57%	3.17%	2.39%	1.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	546	52	28	29	13	45	69	69	61	51	16	18	1	4	5	5	12	15	5	3	6	2	4	4	11	2	1	5	10					
		3.87%	3.43%	5.29%	3.40%	3.18%	5.90%	4.89%	5.47%	4.34%	7.25%	5.06%	4.58%	0.72%	1.03%	1.82%	4.95%	2.35%	3.76%	1.44%	2.15%	1.80%	0.90%	1.39%	2.18%	4.50%	0.78%	0.39%	1.99%	4.13%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	704	63	23	26	12	63	114	89	64	14	22	19	5	10	7	1	29	17	15	3	12	14	11	4	9	14	14	7	23					
		4.99%	4.16%	4.34%	3.05%	2.94%	8.26%	8.08%	7.06%	4.55%	1.99%	6.96%	4.83%	3.64%	2.59%	2.55%	0.99%	5.69%	4.27%	4.33%	2.15%	3.61%	6.36%	3.84%	2.18%	3.68%	5.51%	5.55%	2.78%	9.50%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	348	52	13	16	9	19	39	44	50	24	14	11	1	15	2	0	3	11	2	2	3	3	0	5	1	1	4	2	2					
		2.46%	3.43%	2.45%	1.88%	2.20%	2.49%	2.76%	3.49%	3.55%	3.41%	4.43%	2.79%	0.72%	3.89%	0.72%	0.0%	0.58%	2.76%	0.57%	1.43%	0.90%	1.36%	0.0%	2.73%	0.40%	0.39%	1.58%	0.79%	0.82%					
22	"5. ""За Русь Святую"""	72	8	3	5	1	3	2	0	12	4	0	0	0	2	4	0	7	1	3	0	4	0	5	0	1	2	2	3	0					
		0.51%	0.52%	0.56%	0.58%	0.24%	0.39%	0.14%	0.0%	0.85%	0.56%	0.0%	0.0%	0.0%	0.51%	1.45%	0.0%	1.37%	0.25%	0.86%	0.0%	1.20%	0.0%	1.74%	0.0%	0.40%	0.78%	0.79%	1.19%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	61	6	0	2	2	4	5	5	3	1	2	4	1	2	3	5	1	4	0	0	3	2	1	1	1	1	0	0	2					
		0.43%	0.39%	0.0%	0.23%	0.49%	0.52%	0.35%	0.39%	0.21%	0.14%	0.63%	1.01%	0.72%	0.51%	1.09%	4.95%	0.19%	1.00%	0.0%	0.0%	0.90%	0.90%	0.34%	0.54%	0.40%	0.39%	0.0%	0.0%	0.82%					
24	"7. ""Новый курс - Автомобильная Россия"""	403	48	12	33	8	23	67	51	60	19	14	10	5	6	4	1	6	5	2	0	8	2	4	2	5	2	0	0	6					
		2.85%	3.17%	2.26%	3.87%	1.96%	3.01%	4.75%	4.04%	4.27%	2.70%	4.43%	2.54%	3.64%	1.55%	1.45%	0.99%	1.17%	1.25%	0.57%	0.0%	2.40%	0.90%	1.39%	1.09%	2.04%	0.78%	0.0%	0.0%	2.47%					
25	"8. ""Народно-республиканская партия России"""	21	0	2	1	1	0	2	1	0	0	0	0	0	1	1	1	2	1	3	0	1	0	4	0	0	0	0	0	0					
		0.14%	0.0%	0.37%	0.11%	0.24%	0.0%	0.14%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.36%	0.99%	0.39%	0.25%	0.86%	0.0%	0.30%	0.0%	1.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	43	5	2	0	1	6	4	7	5	2	1	1	1	1	0	0	0	1	0	0	1	1	0	0	2	0	0	0	2					
		0.30%	0.33%	0.37%	0.0%	0.24%	0.78%	0.28%	0.55%	0.35%	0.28%	0.31%	0.25%	0.72%	0.25%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.30%	0.45%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.82%					
27	"10. ""Аграрная партия России"""	820	47	21	43	13	24	61	34	50	18	12	21	9	64	36	4	42	43	26	31	30	8	66	12	16	18	11	49	11					
		5.81%	3.10%	3.96%	5.05%	3.18%	3.14%	4.32%	2.69%	3.55%	2.56%	3.79%	5.34%	6.56%	16.62%	13.13%	3.96%	8.25%	10.80%	7.51%	22.30%	9.03%	3.63%	23.07%	6.55%	6.55%	7.08%	4.36%	19.52%	4.54%					
28	"11. ""Истинные патриоты России"""	13	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	2	0	1	0	0	0	0					
		0.09%	0.19%	0.0%	0.0%	0.24%	0.13%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.50%	0.28%	0.0%	0.0%	0.0%	0.69%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	143	10	4	8	2	4	15	12	11	8	2	8	1	5	2	1	4	3	6	1	4	1	2	7	8	1	3	2	8					
		1.01%	0.66%	0.75%	0.94%	0.49%	0.52%	1.06%	0.95%	0.78%	1.13%	0.63%	2.03%	0.72%	1.29%	0.72%	0.99%	0.78%	0.75%	1.73%	0.71%	1.20%	0.45%	0.69%	3.82%	3.27%	0.39%	1.19%	0.79%	3.30%					
30	"13. ""Демократическая партия России"""	38	1	2	1	2	3	5	3	3	0	0	1	0	1	1	0	1	1	0	1	2	0	0	1	3	1	0	5	0					
		0.26%	0.06%	0.37%	0.11%	0.49%	0.39%	0.35%	0.23%	0.21%	0.0%	0.0%	0.25%	0.0%	0.25%	0.36%	0.0%	0.19%	0.25%	0.0%	0.71%	0.60%	0.0%	0.0%	0.54%	1.22%	0.39%	0.0%	1.99%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	35	4	0	1	1	0	6	3	1	1	1	0	1	0	2	1	1	1	2	0	1	4	1	0	1	0	0	2	0					
		0.24%	0.26%	0.0%	0.11%	0.24%	0.0%	0.42%	0.23%	0.07%	0.14%	0.31%	0.0%	0.72%	0.0%	0.72%	0.99%	0.19%	0.25%	0.57%	0.0%	0.30%	1.81%	0.34%	0.0%	0.40%	0.0%	0.0%	0.79%	0.0%					
32	"15. ""Партия СЛОН"""	13	1	0	0	0	0	2	3	4	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
