Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Ковдорская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17304	1984	1963	1843	1631	256	2130	1928	1927	1882	78	239	1298	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15660	1800	1800	1750	1500	200	1800	1800	1700	1700	70	200	1200	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	102	0	0	0	0	0	102	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6863	733	700	811	671	107	833	794	758	792	33	90	512	29									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	117	40	15	11	4	0	13	11	3	11	1	1	7	0									
6	Число погашенных избирательных бюллетеней	8578	1027	1085	928	825	93	852	995	939	897	36	109	681	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	219	40	15	11	4	0	115	11	3	11	1	1	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6852	733	700	811	670	107	829	792	757	789	33	90	512	29									
9	Число недействительных избирательных бюллетеней	267	40	48	29	11	4	37	23	35	22	0	2	16	0									
10	Число действительных избирательных бюллетеней	6804	733	667	793	663	103	907	780	725	778	34	89	503	29									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	20	20	20	20	10	20	20	20	20	10	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	33	2	2	1	3	0	5	2	2	7	0	1	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	2	0	2	3	0	5	6	2	0	0	0	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	197	18	18	19	17	10	15	18	18	13	10	9	12	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	6	5	6	3	1	15	4	7	4	0	2	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	118	9	14	8	14	1	19	12	7	20	0	5	7	2									
		1.67%	1.16%	1.96%	0.97%	2.08%	0.93%	2.01%	1.49%	0.92%	2.50%	0.00%	5.49%	1.35%	6.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	162	15	18	16	20	3	28	14	15	17	0	4	12	0									
		2.29%	1.94%	2.52%	1.95%	2.97%	2.80%	2.97%	1.74%	1.97%	2.13%	0.00%	4.40%	2.31%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	262	25	22	28	30	3	35	29	30	30	0	4	23	3									
		3.71%	3.23%	3.08%	3.41%	4.45%	2.80%	3.71%	3.61%	3.95%	3.75%	0.00%	4.40%	4.43%	10.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2892	309	286	349	255	44	367	346	321	332	17	39	222	5									
		40.90%	39.97%	40.00%	42.46%	37.83%	41.12%	38.88%	43.09%	42.24%	41.50%	50.00%	42.86%	42.77%	17.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	54	4	10	10	4	0	8	5	4	6	1	0	1	1									
		0.76%	0.52%	1.40%	1.22%	0.59%	0.00%	0.85%	0.62%	0.53%	0.75%	2.94%	0.00%	0.19%	3.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	3	3	0	2	0	6	3	2	4	0	0	3	0									
		0.37%	0.39%	0.42%	0.00%	0.30%	0.00%	0.64%	0.37%	0.26%	0.50%	0.00%	0.00%	0.58%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1422	152	143	151	140	23	224	156	129	162	10	16	108	8									
		20.11%	19.66%	20.00%	18.37%	20.77%	21.50%	23.73%	19.43%	16.97%	20.25%	29.41%	17.58%	20.81%	27.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	3	12	4	8	1	4	6	5	12	0	0	4	0									
		0.83%	0.39%	1.68%	0.49%	1.19%	0.93%	0.42%	0.75%	0.66%	1.50%	0.00%	0.00%	0.77%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	66	8	7	13	8	0	8	9	8	5	0	0	0	0									
