Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Нанайская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №642	УИК №643	УИК №644	УИК №645									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12684	1283	598	897	283	514	619	627	127	99	250	607	1043	752	798	819	1139	1092	787	350									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12800	1300	650	900	290	550	650	600	138	109	273	600	1000	750	800	800	1200	1000	800	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4977	615	204	346	128	207	259	217	75	74	171	196	428	374	317	306	346	290	238	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	992	45	87	36	6	20	67	96	4	8	14	30	58	37	38	31	139	137	109	30									
6	Число погашенных избирательных бюллетеней	6831	640	359	518	156	323	324	287	59	27	88	374	514	339	445	463	715	573	453	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	992	45	87	36	6	20	67	96	4	8	14	30	58	37	38	31	139	137	109	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4976	614	204	346	128	207	259	217	75	74	171	196	428	374	317	306	346	290	238	186									
9	Число недействительных избирательных бюллетеней	203	19	10	25	1	2	9	3	1	0	2	5	20	12	15	8	18	34	19	0									
10	Число действительных избирательных бюллетеней	5765	640	281	357	133	225	317	310	78	82	183	221	466	399	340	329	467	393	328	216									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	645	60	50	40	10	75	70	10	15	10	30	10	20	35	20	25	55	40	30	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	645	60	50	40	10	75	70	10	15	10	30	10	20	35	20	25	55	40	30	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	110	9	2	8	5	5	7	6	4	3	3	7	9	7	6	6	2	10	4	7									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	2	14	2	0	0	0	0	0	2	0	3	13	8	4	4	0	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	67	6	3	0	3	3	2	10	2	0	0	3	7	5	4	2	8	2	3	4									
		1.12%	0.91%	1.03%	0.00%	2.24%	1.32%	0.61%	3.19%	2.53%	0.00%	0.00%	1.33%	1.44%	1.22%	1.13%	0.59%	1.65%	0.47%	0.86%	1.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	237	31	13	9	5	14	10	22	1	1	5	9	19	11	13	11	28	9	20	6									
		3.97%	4.70%	4.47%	2.36%	3.73%	6.17%	3.07%	7.03%	1.27%	1.22%	2.70%	3.98%	3.91%	2.68%	3.66%	3.26%	5.77%	2.11%	5.76%	2.78%									
