Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Любытинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7603	87	194	213	176	103	343	108	285	129	965	2015	251	99	197	68	228	1632	510									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5730	80	150	150	150	100	250	100	200	100	700	1500	200	90	150	60	150	1200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2748	42	53	28	69	41	130	45	95	55	380	802	91	27	47	18	73	532	220									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	927	3	56	83	21	18	83	15	34	25	105	127	31	21	40	29	49	133	54									
6	Число погашенных избирательных бюллетеней	2055	35	41	39	60	41	37	40	71	20	215	571	78	42	63	13	28	535	126									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	927	3	56	83	21	18	83	15	34	25	105	127	31	21	40	29	49	133	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2747	42	53	28	69	41	130	45	95	55	380	802	91	27	47	18	73	532	219									
9	Число недействительных избирательных бюллетеней	80	3	1	7	0	0	3	2	1	0	25	12	3	0	3	0	5	9	6									
10	Число действительных избирательных бюллетеней	3594	42	108	104	90	59	210	58	128	80	460	917	119	48	84	47	117	656	267									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	160	5	5	5	5	5	10	5	5	10	10	20	10	5	10	5	10	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	41	2	0	0	0	0	10	0	0	0	10	7	0	0	1	0	0	6	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	1	3	0	0	1	1	1	6	2	3	9	1	2	2	3	0	10	0									
14	Число погашенных неиспользованных открепительных удостоверений	119	3	5	5	5	5	0	5	5	10	0	13	10	5	9	5	10	14	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	1	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	1	2	2	0	0	2	2	5	0	4	14	2	0	1	1	1	7	6									
