Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Кунгурская районная																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657					
1	"Число избирателей, внесенных в список избирателей"	35453	161	146	492	1773	250	248	497	359	639	194	958	1232	1263	1185	257	1096	515	1286	1545	289	493	1266	485	1154	445	1239	110	92	87	223	253	1244	160	199	413	1189	1008	579	509	766	200	132	316	856	719	1126	302	320	371	193	864	1088	681	322	299	660	705					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33604	120	120	390	1788	200	200	400	300	669	150	959	1241	1261	1195	200	1084	410	1209	1558	220	380	1286	375	1160	360	1225	90	75	70	175	200	1255	130	160	330	1189	1000	585	516	749	150	110	250	852	708	1124	245	260	295	160	851	1112	683	260	214	657	689					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	95	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15868	71	62	252	647	64	116	243	176	257	67	502	578	608	651	94	550	211	515	613	98	250	642	183	457	172	561	47	37	40	65	76	414	73	83	167	486	307	275	265	329	62	46	141	639	449	580	145	185	204	86	377	463	283	135	139	266	364					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3149	4	23	17	170	68	33	43	25	91	55	54	92	42	17	41	38	36	48	187	66	38	88	96	92	79	50	20	17	7	47	60	123	23	23	26	75	120	49	46	74	58	15	40	53	53	32	10	35	7	17	115	153	32	28	34	109	55					
6	Число погашенных избирательных бюллетеней	14492	45	35	121	916	68	51	114	99	321	28	403	571	611	527	65	496	163	611	758	56	92	556	96	611	109	614	23	21	23	63	64	713	34	54	137	628	573	261	205	346	30	49	69	160	206	512	90	40	84	57	359	496	368	97	41	282	270					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3244	4	23	17	225	68	33	43	25	91	55	54	92	42	17	41	38	36	83	187	66	38	88	96	92	79	50	20	17	7	47	60	128	23	23	26	75	120	49	46	74	58	15	40	53	53	32	10	35	7	17	115	153	32	28	34	109	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15868	71	62	252	647	64	116	243	176	257	67	502	578	608	651	94	550	211	515	613	98	250	642	183	457	172	561	47	37	40	65	76	414	73	83	167	486	307	275	265	329	62	46	141	639	449	580	145	185	204	86	377	463	283	135	139	266	364					
9	Число недействительных избирательных бюллетеней	300	6	1	7	16	0	3	7	6	6	1	11	7	10	11	1	4	4	16	14	1	5	10	3	9	0	13	0	1	0	5	3	13	0	1	3	6	4	3	5	9	3	0	0	12	11	12	2	2	0	0	3	9	5	2	0	6	8					
10	Число действительных избирательных бюллетеней	18812	69	84	262	856	132	146	279	195	342	121	545	663	640	657	134	584	243	582	786	163	283	720	276	540	251	598	67	53	47	107	133	529	96	105	190	555	423	321	306	394	117	61	181	680	491	600	153	218	211	103	489	607	310	161	173	369	411					
