Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Верховажская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
1	"Число избирателей, внесенных в списки"	11352	1520	1179	1100	449	517	204	115	292	162	223	411	366	266	148	299	99	148	631	273	120	128	277	299	848	126	472	282	398					
2	"Число бюллетеней, полученных участковыми комиссиями"	11690	1440	1140	1080	420	520	220	120	330	180	240	420	390	310	160	330	130	180	650	290	140	150	310	320	880	150	470	300	420					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6573	726	551	512	233	359	159	96	204	112	177	233	264	185	90	134	81	59	401	176	87	62	190	173	505	68	320	173	243					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1718	123	75	96	24	85	11	13	88	26	20	124	56	27	39	83	15	79	119	64	21	37	33	91	109	40	49	46	125					
6	Число погашенных бюллетеней	3399	591	514	472	163	76	50	11	38	42	43	63	70	98	31	113	34	42	130	50	32	51	87	56	266	42	101	81	52					
7	Число бюллетеней в переносных ящиках для голосования	1717	123	75	96	24	85	11	13	88	26	20	124	56	27	39	83	15	79	119	64	21	37	33	91	109	40	49	45	125					
8	Число бюллетеней в стационарных ящиках для голосования	6573	726	551	512	233	359	159	96	204	112	177	233	264	185	90	134	81	59	401	176	87	62	190	173	505	68	320	173	243					
9	Число недействительных бюллетеней	127	6	5	7	5	6	7	1	7	4	0	1	3	5	1	3	3	5	9	8	2	1	2	8	10	2	6	2	8					
10	Число действительных бюллетеней	8163	843	621	601	252	438	163	108	285	134	197	356	317	207	128	214	93	133	511	232	106	98	221	256	604	106	363	216	360					
