Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Любинская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30559	1042	127	389	512	65	101	725	143	416	125	86	86	542	186	140	168	277	613	399	290	1129	266	267	1473	1497	1475	1082	691	852	910	1196	1447	560	1102	686	270	874	221	313	985	248	512	229	116	343	79	44	384	193	149	1190	197	519	129	536	191	181	798	107	71	135	336	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30800	1060	125	375	542	75	112	735	140	420	125	85	90	545	185	150	165	280	620	400	300	1150	275	275	1450	1480	1450	1080	690	850	925	1210	1420	560	1100	700	260	870	220	300	990	240	510	230	115	400	90	49	375	195	215	1220	200	490	125	530	190	180	820	110	82	135	370	145									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15987	584	50	235	312	61	77	447	67	192	45	62	65	417	128	125	139	214	419	311	230	654	167	145	581	695	557	490	317	360	397	458	617	222	370	237	113	558	113	133	608	123	299	130	54	273	68	41	243	149	139	573	107	280	85	316	132	130	376	69	41	91	201	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1603	117	33	47	65	1	10	38	0	22	4	4	5	12	8	9	5	16	14	10	7	60	6	12	77	93	93	30	42	30	24	30	68	7	18	15	10	43	11	10	55	18	52	10	6	36	5	0	13	5	10	62	36	51	6	13	8	4	51	7	10	9	28	2									
6	Число погашенных избирательных бюллетеней	13210	359	42	93	165	13	25	250	73	206	76	19	20	116	49	16	21	50	187	79	63	436	102	118	792	692	800	560	331	460	504	722	735	331	712	448	137	269	96	157	327	99	159	90	55	91	17	8	119	41	66	585	57	159	34	201	50	46	393	34	31	35	141	48									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1603	117	33	47	65	1	10	38	0	22	4	4	5	12	8	9	5	16	14	10	7	60	6	12	77	93	93	30	42	30	24	30	68	7	18	15	10	43	11	10	55	18	52	10	6	36	5	0	13	5	10	62	36	51	6	13	8	4	51	7	10	9	28	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15986	584	50	235	312	61	77	447	67	192	45	62	65	417	128	125	139	214	419	311	230	653	167	145	581	695	557	490	317	360	397	458	617	222	370	237	113	558	113	133	608	123	299	130	54	273	68	41	243	149	139	573	107	280	85	316	132	130	376	69	41	91	201	95									
9	Число недействительных избирательных бюллетеней	429	1	1	3	12	3	1	9	0	6	1	0	0	33	3	2	0	2	25	0	0	28	4	1	27	22	16	14	14	10	12	17	8	13	12	6	4	25	1	5	11	1	3	3	0	1	2	0	2	1	7	11	4	7	2	6	3	0	14	3	0	1	6	0									
10	Число действительных избирательных бюллетеней	17160	700	82	279	365	59	86	476	67	208	48	66	70	396	133	132	144	228	408	321	237	685	169	156	631	766	634	506	345	380	409	471	677	216	376	246	119	576	123	138	652	140	348	137	60	308	71	41	254	153	142	624	139	324	89	323	137	134	413	73	51	99	223	97									
