Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																							
Дата голосования: 07.12.2003 0:00:00																																																							
																																																							
Наименование Избирательной комиссии:    Новокузнецкая																																																							
																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																							
																																																							
		Сумма	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372					
1	"Число избирателей, внесенных в списки"	27801	1320	1674	261	1185	1106	318	1090	1211	312	2098	304	869	153	426	270	650	1146	789	836	224	144	1758	1773	803	330	176	207	77	340	579	210	276	489	111	101	143	129	71	254	181	326	483	1062	314	172	446	385	219					
2	"Число бюллетеней, полученных участковыми комиссиями"	25850	1150	1400	250	1100	1100	350	950	1100	300	2050	300	800	200	400	250	600	1000	750	750	200	150	1550	1550	750	300	150	200	100	350	500	200	250	450	100	100	150	150	100	250	200	350	500	1000	300	200	400	350	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16714	492	866	135	702	567	168	640	842	234	1393	206	468	110	251	188	306	621	204	621	167	71	1038	1155	533	251	143	147	77	229	447	172	168	310	60	80	105	106	69	214	127	209	299	636	167	102	204	249	165					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2206	216	106	47	65	71	32	65	23	6	36	16	34	7	8	14	138	181	283	44	24	52	59	26	0	0	0	0	0	30	37	11	45	20	2	0	0	0	0	21	19	27	44	36	54	37	178	73	19					
6	Число погашенных бюллетеней	6930	442	428	68	333	462	150	245	235	60	621	78	298	83	141	48	156	198	263	85	9	27	453	369	217	49	7	53	23	91	16	17	37	120	38	20	45	44	31	15	54	114	157	328	79	61	18	28	16					
7	Число бюллетеней в переносных ящиках для голосования	2206	216	106	47	65	71	32	65	23	6	36	16	34	7	8	14	138	181	283	44	24	52	59	26	0	0	0	0	0	30	37	11	45	20	2	0	0	0	0	21	19	27	44	36	54	37	178	73	19					
8	Число бюллетеней в стационарных ящиках для голосования	16711	492	866	135	702	567	168	640	842	233	1393	206	468	110	251	188	306	621	204	621	167	71	1038	1155	531	251	143	147	77	229	447	172	168	310	60	80	105	106	69	214	127	209	299	636	167	102	204	249	165					
9	Число недействительных бюллетеней	277	2	7	0	5	4	1	1	20	0	45	0	8	3	7	0	1	9	11	10	1	0	65	6	0	0	0	0	3	0	2	0	4	9	0	2	1	0	0	1	0	15	0	21	1	3	3	3	3					
10	Число действительных бюллетеней	18640	706	965	182	762	634	199	704	845	239	1384	222	494	114	252	202	443	793	476	655	190	123	1032	1175	531	251	143	147	74	259	482	183	209	321	62	78	104	106	69	234	146	221	343	651	220	136	379	319	181					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	325	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	9	10	10	14	14					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	1	1	0	2	0	0	4	2	0	1	0	1	0	0	6	0	1	1	3	0	0	6	6	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	2	1	2	1	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	5	2	0	1	3	1	4	7	3	4	0	1	1	0	2	0	2	1	7	1	8	1	3	0	0	7	1	0	3	9	2	0	3	1	2	2	0	1	5	1	2	3	6	0	1	2	7	0					
14	Число погашенных открепительных удостоверений	278	6	6	7	5	7	7	2	4	6	5	6	5	6	6	0	6	5	5	3	6	6	0	0	6	6	6	5	7	6	4	6	6	6	6	6	6	4	6	6	6	4	5	7	8	10	9	14	14					
