Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Харабалинская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391					
1	"Число избирателей, внесенных в списки избирателей"	30299	759	215	1754	1878	1123	232	1199	1452	1079	1334	1146	1063	1228	1435	1165	1441	1635	1853	188	988	1483	1477	299	214	1554	438	1060	607					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29840	750	200	1750	1850	1150	200	1200	1450	1050	1350	1100	1050	1200	1400	1150	1450	1450	1850	190	900	1450	1450	300	200	1600	450	1100	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	187	0	0	0	0	15	0	24	0	0	0	0	0	0	0	0	65	0	0	0	83	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17070	433	160	950	993	652	160	649	820	579	779	599	527	690	796	693	736	768	1099	125	745	879	789	171	154	849	283	602	390					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1775	16	18	92	78	69	12	53	68	77	87	66	58	73	73	77	84	245	60	20	22	73	109	44	9	75	10	64	43					
6	Число погашенных избирательных бюллетеней	10808	301	22	708	779	414	28	474	562	394	484	435	465	437	531	380	565	437	691	45	50	498	552	85	37	676	157	434	167					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1962	16	18	92	78	84	12	77	68	77	87	66	58	73	73	77	149	245	60	20	105	73	109	44	9	75	10	64	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17065	433	160	947	993	652	160	649	820	579	779	598	527	690	796	693	736	768	1099	125	745	879	788	171	154	849	283	602	390					
9	Число недействительных избирательных бюллетеней	246	9	0	14	23	19	2	11	0	8	5	12	14	9	4	8	6	11	16	4	17	14	6	0	5	12	7	3	7					
10	Число действительных избирательных бюллетеней	18781	440	178	1025	1048	717	170	715	888	648	861	652	571	754	865	762	879	1002	1143	141	833	938	891	215	158	912	286	663	426					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	290	5	2	14	20	18	2	11	5	6	15	9	12	7	8	4	11	10	13	3	20	20	20	7	3	18	5	15	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	281	5	0	14	20	16	2	11	5	6	12	9	12	7	8	4	11	8	13	3	20	20	20	7	3	18	5	15	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	195	11	2	9	4	4	3	2	10	8	7	3	4	7	5	5	5	17	8	5	11	11	10	8	5	7	8	9	7					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	178	5	1	11	7	8	1	2	12	8	5	4	2	4	12	10	11	10	7	2	6	9	13	3	2	6	4	7	6					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	1.Политическая партия «Аграрная партия России»	293	10	0	17	26	17	1	3	15	4	12	11	7	12	10	6	7	9	26	0	11	25	25	0	1	15	1	12	10					
		1.54%	2.23%	0.00%	1.64%	2.43%	2.31%	0.58%	0.41%	1.69%	0.61%	1.39%	1.66%	1.20%	1.57%	1.15%	0.78%	0.79%	0.89%	2.24%	0.00%	1.29%	2.63%	2.79%	0.00%	0.61%	1.62%	0.34%	1.80%	2.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	66	0	0	4	3	4	0	1	6	3	5	2	4	6	3	4	5	1	1	0	6	1	1	0	0	1	2	0	3					
		0.35%	0.00%	0.00%	0.38%	0.28%	0.54%	0.00%	0.14%	0.68%	0.46%	0.58%	0.30%	0.68%	0.79%	0.35%	0.52%	0.56%	0.10%	0.09%	0.00%	0.71%	0.11%	0.11%	0.00%	0.00%	0.11%	0.68%	0.00%	0.69%					
20	3.Политическая партия «Демократическая партия России»	12	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	0	0	1					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.11%	0.00%	0.00%	0.15%	0.17%	0.13%	0.00%	0.00%	0.11%	0.10%	0.00%	0.00%	0.12%	0.11%	0.11%	0.00%	0.61%	0.00%	0.00%	0.00%	0.23%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2095	99	23	108	132	94	13	69	65	75	117	95	57	82	88	98	81	132	143	9	80	102	77	16	29	68	34	86	23					
		11.01%	22.05%	12.92%	10.39%	12.32%	12.77%	7.56%	9.50%	7.32%	11.43%	13.51%	14.31%	9.74%	10.75%	10.13%	12.73%	9.15%	13.03%	12.34%	6.21%	9.41%	10.71%	8.58%	7.44%	17.79%	7.36%	11.60%	12.91%	5.31%					
