Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Харабалинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №578	УИК №579					
1	"Число избирателей, внесенных в список избирателей"	33423	790	222	1764	1910	1187	250	1202	1608	1052	1375	1218	1081	1288	1455	980	1717	1540	1951	195	1134	1634	1488	311	212	1769	522	1085	634	219	924	706					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32200	700	225	1700	1800	1150	250	1200	1450	1050	1300	1200	1000	1100	1400	950	1650	1400	1800	195	1200	1500	1500	300	200	1600	450	1100	600	300	1120	810					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15224	318	150	574	645	569	107	507	687	425	651	433	368	581	654	486	693	589	867	80	714	685	594	91	122	901	290	405	293	115	924	706					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1354	27	14	64	72	42	10	40	20	27	32	64	40	51	47	53	84	66	53	4	43	86	96	29	9	64	7	86	28	96	0	0					
6	Число погашенных избирательных бюллетеней	15471	355	61	1062	1083	539	133	653	743	598	617	703	592	468	699	411	873	745	880	111	292	729	810	180	69	635	153	609	279	89	196	104					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1505	27	14	64	72	42	10	40	20	27	32	64	40	51	47	53	84	66	53	4	194	86	96	29	9	64	7	86	28	96	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15217	318	150	574	645	569	107	507	687	425	651	433	368	581	654	486	693	587	867	80	710	685	594	91	122	901	290	405	293	114	924	706					
9	Число недействительных избирательных бюллетеней	285	5	0	15	7	26	2	8	12	6	14	11	9	18	13	8	9	11	10	3	26	16	6	1	3	24	10	1	8	3	0	0					
10	Число действительных избирательных бюллетеней	16437	340	164	623	710	585	115	539	695	446	669	486	399	614	688	531	768	642	910	81	878	755	684	119	128	941	287	490	313	207	924	706					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	665	10	2	32	42	28	2	20	20	26	30	30	30	17	48	15	55	30	20	2	25	20	30	7	8	30	16	15	15	0	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	482	8	2	23	26	21	1	15	20	20	22	25	22	11	38	9	43	23	15	2	25	14	26	6	7	17	11	15	15	0	0	0					
