Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Оймяконская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7490	86	472	770	1085	135	295	1802	432	356	183	231	287	259	126	80	758	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6070	60	300	350	500	80	200	1550	250	400	250	250	300	400	150	100	800	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1229	0	0	0	0	0	0	1172	0	1	29	0	23	0	4	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2397	27	153	235	332	51	106	152	129	149	110	134	107	158	64	38	351	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	222	15	15	9	9	9	6	6	5	44	9	6	13	16	6	10	30	14									
6	Число погашенных избирательных бюллетеней	2222	18	132	106	159	20	88	220	116	206	102	110	157	226	76	52	419	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1443	15	15	9	9	9	6	1170	5	45	38	6	36	16	10	10	30	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2397	27	153	235	332	51	106	152	129	149	110	134	107	158	64	38	351	101									
9	Число недействительных избирательных бюллетеней	70	0	7	8	6	1	5	26	2	4	1	1	1	2	0	0	6	0									
10	Число действительных избирательных бюллетеней	3770	42	161	236	335	59	107	1296	132	190	147	139	142	172	74	48	375	115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	186	6	10	20	20	10	5	10	10	5	10	10	15	15	5	5	25	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	59	0	0	2	3	0	0	2	0	5	10	0	6	5	0	1	25	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	0	1	0	2	1	1	4	0	0	0	2	0	0	0	0	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	127	6	10	18	17	10	5	8	10	0	0	10	9	10	5	4	0	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	4	2	2	0	1	2	0	0	0	0	0	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	55	1	1	5	10	3	0	15	5	3	5	2	0	0	1	1	3	0									
		1.43%	2.38%	0.60%	2.05%	2.93%	5.00%	0.00%	1.13%	3.73%	1.55%	3.38%	1.43%	0.00%	0.00%	1.35%	2.08%	0.79%	0.00%									
