Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Абатская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55					
1	"Число избирателей, внесенных в список"	16748	2241	2072	1014	927	571	100	158	410	73	122	93	571	114	192	83	131	75	102	144	575	195	162	120	656	93	108	61	51	43	806	68	124	230	269	74	99	579	133	101	146	116	440	93	72	470	129	167	102	181	96	508	103	105	86	194					
2	Число полученных избирательных бюллетеней	16993	2314	2092	1029	936	567	102	152	424	77	133	93	581	128	200	86	131	79	95	144	598	203	166	130	640	93	114	61	52	44	814	68	126	232	277	75	104	583	131	105	159	117	436	93	77	456	133	161	99	178	91	517	103	110	88	196					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12978	1558	1375	752	523	438	88	126	310	60	102	85	497	103	139	74	108	74	95	135	412	166	140	102	538	90	93	52	40	42	631	56	114	174	199	65	84	466	117	79	130	110	352	92	64	376	123	161	80	153	89	491	90	99	76	190					
5	"Число избирательных бюллетеней, выданных вне помещения"	1276	91	112	67	69	74	11	24	65	11	12	2	47	7	25	0	10	0	0	0	81	23	10	10	27	3	7	9	9	0	134	10	10	40	46	7	12	27	7	16	8	6	66	0	5	13	6	0	14	16	0	6	11	6	4	0					
6	Число погашенных избирательных бюллетеней	2739	665	605	210	344	55	3	2	49	6	19	6	37	18	36	12	13	5	0	9	105	14	16	18	75	0	14	0	3	2	49	2	2	18	32	3	8	90	7	10	21	1	18	1	8	67	4	0	5	9	2	20	2	5	8	6					
7	Число избирательных бюллетеней в переносных ящиках	1276	91	112	67	69	74	11	24	65	11	12	2	47	7	25	0	10	0	0	0	81	23	10	10	27	3	7	9	9	0	134	10	10	40	46	7	12	27	7	16	8	6	66	0	5	13	6	0	14	16	0	6	11	6	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	12976	1558	1374	752	523	438	88	126	310	60	102	85	497	103	139	74	108	74	95	135	412	165	140	102	538	90	93	52	40	42	631	56	114	174	199	65	84	466	117	79	130	110	352	92	64	376	123	161	80	153	89	491	90	99	76	190					
9	Число недействительных избирательных бюллетеней	157	16	10	0	9	6	1	0	5	0	1	1	11	0	0	1	1	3	2	1	5	5	2	4	4	0	0	1	0	4	7	3	1	0	4	1	2	10	2	0	1	0	5	5	0	4	4	3	1	0	0	5	1	0	3	2					
10	Число действительных избирательных бюллетеней	14095	1633	1476	819	583	506	98	150	370	71	113	86	533	110	164	73	117	71	93	134	488	183	148	108	561	93	100	60	49	38	758	63	123	214	241	71	94	483	122	95	137	116	413	87	69	385	125	158	93	169	89	492	100	105	77	188					
11	Число полученных открепительных  удостоверений	333	50	50	23	18	6	2	3	5	2	3	2	11	12	4	2	3	2	2	3	9	4	5	3	8	2	3	2	2	2	11	1	1	4	10	2	4	6	3	2	3	2	6	2	2	5	2	3	2	3	2	5	2	2	2	3					
12	Число выданных открепительных удостоверений	203	34	42	12	18	4	1	0	5	2	2	0	11	12	1	0	0	0	0	1	9	4	1	3	5	0	0	1	0	0	11	0	1	2	10	0	4	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	157	19	25	8	10	9	2	1	6	1	1	1	3	1	3	1	1	1	2	2	2	4	0	1	4	1	1	1	1	1	6	2	0	3	1	1	1	1	2	1	3	1	3	1	1	3	2	1	1	2	1	3	0	1	1	2					
14	Число неиспользованных открепительных удостоверений	130	16	8	11	0	2	1	3	0	0	1	2	0	0	3	2	3	2	2	2	0	0	4	0	3	2	3	1	2	2	0	1	0	2	0	2	0	5	3	2	3	2	6	2	2	4	2	2	2	3	2	3	2	2	1	2					
15	"Число открепительных удостоверений, выданных в ТИК"	17	2	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	427	55	69	28	23	9	2	3	4	0	2	6	26	4	2	2	1	0	3	3	11	7	3	4	28	1	0	0	2	0	18	0	1	5	7	3	5	29	2	8	1	6	1	1	2	7	1	0	0	5	2	8	5	8	1	3					
		3.00%	3.34%	4.64%	3.42%	3.89%	1.76%	2.02%	2.00%	1.07%	0.00%	1.75%	6.90%	4.78%	3.64%	1.22%	2.70%	0.85%	0.00%	3.16%	2.22%	2.23%	3.72%	2.00%	3.57%	4.96%	1.08%	0.00%	0.00%	4.08%	0.00%	2.35%	0.00%	0.81%	2.34%	2.86%	4.17%	5.21%	5.88%	1.61%	8.42%	0.72%	5.17%	0.24%	1.09%	2.90%	1.80%	0.78%	0.00%	0.00%	2.96%	2.25%	1.61%	4.95%	7.62%	1.25%	1.58%					
19	. Малышкин Олег Александрович	637	53	63	37	30	21	1	7	16	5	14	3	18	1	6	4	6	4	3	10	28	12	17	3	38	10	0	2	1	3	17	5	12	13	16	7	4	22	4	0	2	3	5	10	13	20	2	3	4	19	7	17	2	11	0	3					
		4.47%	3.21%	4.24%	4.52%	5.07%	4.10%	1.01%	4.67%	4.27%	7.04%	12.28%	3.45%	3.31%	0.91%	3.66%	5.41%	5.08%	5.41%	3.16%	7.41%	5.68%	6.38%	11.33%	2.68%	6.73%	10.75%	0.00%	3.28%	2.04%	7.14%	2.22%	7.58%	9.68%	6.07%	6.53%	9.72%	4.17%	4.46%	3.23%	0.00%	1.45%	2.59%	1.20%	10.87%	18.84%	5.14%	1.55%	1.86%	4.26%	11.24%	7.87%	3.42%	1.98%	10.48%	0.00%	1.58%					
20	. Миронов Сергей Михайлович	100	11	6	13	2	2	0	0	4	0	2	1	4	1	0	0	0	0	1	2	6	1	1	2	1	1	0	0	1	0	3	0	0	4	1	0	0	2	2	1	0	0	4	0	1	2	1	0	0	3	1	8	1	0	1	3					
		0.70%	0.67%	0.40%	1.59%	0.34%	0.39%	0.00%	0.00%	1.07%	0.00%	1.75%	1.15%	0.74%	0.91%	0.00%	0.00%	0.00%	0.00%	1.05%	1.48%	1.22%	0.53%	0.67%	1.79%	0.18%	1.08%	0.00%	0.00%	2.04%	0.00%	0.39%	0.00%	0.00%	1.87%	0.41%	0.00%	0.00%	0.41%	1.61%	1.05%	0.00%	0.00%	0.96%	0.00%	1.45%	0.51%	0.78%	0.00%	0.00%	1.78%	1.12%	1.61%	0.99%	0.00%	1.25%	1.58%					
