Выборы Президента Российской Федерации																																																													
Дата голосования: 02.03.2008																																																													
																																																													
Наименование Избирательной комиссии:    Абатская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
	Число участковых избирательных комиссий	54																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																											
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, включенных в списки избирателей"	15921	2205	2030	1119	1022	136	72	112	66	92	129	549	96	126	441	106	83	534	184	147	109	111	660	93	85	37	41	755	67	119	193	227	56	67	515	582	109	73	99	132	105	343	80	50	423	162	168	99	117	89	472	80	95	74	185					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16523	2195	2030	1124	1012	135	74	117	66	93	130	598	107	138	476	116	86	565	189	159	115	111	693	94	94	41	42	799	72	127	198	247	59	74	548	634	114	77	110	142	110	400	80	53	441	167	177	101	117	95	510	92	106	87	186					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14616	2056	1820	1054	892	126	72	104	66	92	129	453	88	110	369	99	78	493	173	138	101	109	639	93	78	37	41	650	67	114	164	203	50	61	494	539	97	67	90	123	101	283	80	47	405	161	154	91	117	81	446	78	94	68	181					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1165	105	174	63	120	9	0	8	0	0	0	93	8	16	70	7	5	40	11	9	8	2	16	0	4	0	0	99	0	5	27	23	6	6	14	40	12	6	9	8	4	60	0	3	16	1	14	8	0	8	19	2	1	6	0					
6	Число погашенных избирательных бюллетеней	742	34	36	7	0	0	2	5	0	1	1	52	11	12	37	10	3	32	5	12	6	0	38	1	12	4	1	50	5	8	7	21	3	7	40	55	5	4	11	11	5	57	0	3	20	5	9	2	0	6	45	12	11	13	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1165	105	174	63	120	9	0	8	0	0	0	93	8	16	70	7	5	40	11	9	8	2	16	0	4	0	0	99	0	5	27	23	6	6	14	40	12	6	9	8	4	60	0	3	16	1	14	8	0	8	19	2	1	6	0					
8	Число бюллетеней в стационарных ящиках для голосования	14616	2056	1820	1054	892	126	72	104	66	92	129	453	88	110	369	99	78	493	173	138	101	109	639	93	78	37	41	650	67	114	164	203	50	61	494	539	97	67	90	123	101	283	80	47	405	161	154	91	117	81	446	78	94	68	181					
9	Число недействительных избирательных бюллетеней	35	12	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	15746	2149	1994	1115	1012	134	72	111	66	92	129	546	96	126	439	106	83	533	184	147	107	111	655	93	82	37	41	740	67	119	187	226	54	67	508	579	109	73	99	130	105	343	80	50	421	162	168	99	117	89	465	80	95	73	181					
11	Число полученных открепительных  удостоверений	535	51	68	43	29	0	1	2	0	1	2	25	8	7	15	6	1	20	5	5	5	2	24	0	10	1	1	9	4	7	7	12	5	5	7	25	6	2	5	9	1	12	0	2	18	5	5	5	2	3	13	11	8	13	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	535	51	68	43	29	0	1	2	0	1	2	25	8	7	15	6	1	20	5	5	5	2	24	0	10	1	1	9	4	7	7	12	5	5	7	25	6	2	5	9	1	12	0	2	18	5	5	5	2	3	13	11	8	13	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	158	31	22	12	0	0	1	2	1	1	0	3	1	2	0	1	0	5	2	1	2	2	4	1	2	0	1	12	1	1	3	1	3	1	4	2	2	2	1	1	1	2	2	1	4	2	1	4	1	2	4	1	0	2	0					
