Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Вожегодская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229					
1	"Число избирателей, внесенных в список"	14233	2284	1837	1281	475	154	71	316	103	108	99	1731	207	154	78	259	198	439	147	238	223	560	138	178	155	339	148	526	649	66	530	542					
2	Число полученных избирательных бюллетеней	13960	2181	1769	1226	469	159	66	312	107	112	128	1724	209	153	75	252	192	440	147	246	229	539	140	171	155	349	146	514	637	67	519	527					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7598	1111	951	636	245	69	46	175	34	75	85	1043	111	88	48	182	104	208	81	106	131	217	115	68	83	181	93	253	478	60	236	285					
5	"Число избирательных бюллетеней, выданных вне помещения"	1993	120	48	114	93	50	18	40	45	3	14	125	26	40	26	5	58	100	43	86	36	229	13	91	45	76	35	145	62	0	106	101					
6	Число погашенных избирательных бюллетеней	4369	950	770	476	131	40	2	97	28	34	29	556	72	25	1	65	30	132	23	54	62	93	12	12	27	92	18	116	97	7	177	141					
7	Число избирательных бюллетеней в переносных ящиках	1993	120	48	114	93	50	18	40	45	3	14	125	26	40	26	5	58	100	43	86	36	229	13	91	45	76	35	145	62	0	106	101					
8	Число бюллетеней в стационарных ящиках для голосования	7598	1111	951	636	245	69	46	175	34	75	85	1043	111	88	48	182	104	208	81	106	131	217	115	68	83	181	93	253	478	60	236	285					
9	Число недействительных избирательных бюллетеней	74	5	11	12	0	0	0	4	0	0	0	6	0	2	0	0	2	0	0	0	2	5	0	3	0	4	1	1	10	0	2	4					
10	Число действительных избирательных бюллетеней	9517	1226	988	738	338	119	64	211	79	78	99	1162	137	126	74	187	160	308	124	192	165	441	128	156	128	253	127	397	530	60	340	382					
11	Число полученных открепительных  удостоверений	200	10	10	10	10	5	5	5	5	5	5	10	5	5	5	5	5	10	5	5	5	10	8	2	5	5	5	10	10	5	5	5					
12	Число выданных открепительных удостоверений	82	5	5	5	8	3	0	1	5	4	2	7	0	1	0	1	4	1	5	5	1	0	4	2	0	2	1	3	5	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	13	9	4	2	1	0	2	1	0	0	7	0	0	1	1	1	1	0	1	0	6	4	0	1	1	1	0	0	0	3	6					
14	Число неиспользованных открепительных удостоверений	118	5	5	5	2	2	5	4	0	1	3	3	5	4	5	4	1	9	0	0	4	10	4	0	5	3	4	7	5	5	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	166	45	22	17	2	1	0	2	3	1	2	18	0	0	2	4	1	9	0	3	3	4	0	3	1	4	2	3	3	0	8	3					
		1.73%	3.66%	2.20%	2.27%	0.59%	0.84%	0.00%	0.93%	3.80%	1.28%	2.02%	1.54%	0.00%	0.00%	2.70%	2.14%	0.62%	2.92%	0.00%	1.56%	1.80%	0.90%	0.00%	1.89%	0.78%	1.56%	1.56%	0.75%	0.56%	0.00%	2.34%	0.78%					
19	. Малышкин Олег Александрович	160	18	15	14	4	1	1	7	0	2	2	16	6	1	2	2	2	8	1	3	2	8	1	2	5	5	3	9	9	0	1	10					
		1.67%	1.46%	1.50%	1.87%	1.18%	0.84%	1.56%	3.26%	0.00%	2.56%	2.02%	1.37%	4.38%	0.78%	2.70%	1.07%	1.23%	2.60%	0.81%	1.56%	1.20%	1.79%	0.78%	1.26%	3.91%	1.95%	2.34%	2.26%	1.67%	0.00%	0.29%	2.59%					
20	. Миронов Сергей Михайлович	67	13	9	0	3	0	1	0	2	0	2	7	0	0	1	1	1	2	0	1	2	5	1	3	1	0	1	4	2	0	3	2					
		0.70%	1.06%	0.90%	0.00%	0.89%	0.00%	1.56%	0.00%	2.53%	0.00%	2.02%	0.60%	0.00%	0.00%	1.35%	0.53%	0.62%	0.65%	0.00%	0.52%	1.20%	1.12%	0.78%	1.89%	0.78%	0.00%	0.78%	1.01%	0.37%	0.00%	0.88%	0.52%					
21	. Путин Владимир Владимирович	7307	876	740	547	251	84	51	158	66	64	89	976	127	102	58	157	121	193	116	151	123	338	97	121	96	184	89	305	412	52	274	289					
		76.19%	71.16%	74.07%	72.93%	74.26%	70.59%	79.69%	73.49%	83.54%	82.05%	89.90%	83.56%	92.70%	79.69%	78.38%	83.96%	74.69%	62.66%	93.55%	78.65%	73.65%	75.78%	75.78%	76.10%	75.00%	71.60%	69.53%	76.63%	76.30%	86.67%	80.12%	74.87%					
22	. Хакамада Ирина Муцуовна	160	27	26	12	3	2	0	4	1	4	0	16	0	0	2	3	5	1	1	4	4	5	3	1	1	3	2	2	15	0	7	6					
		1.67%	2.19%	2.60%	1.60%	0.89%	1.68%	0.00%	1.86%	1.27%	5.13%	0.00%	1.37%	0.00%	0.00%	2.70%	1.60%	3.09%	0.32%	0.81%	2.08%	2.40%	1.12%	2.34%	0.63%	0.78%	1.17%	1.56%	0.50%	2.78%	0.00%	2.05%	1.55%					
23	. Харитонов Николай Михайлович	1529	218	151	140	73	31	10	33	7	7	4	111	4	23	8	20	29	93	6	23	31	77	25	26	23	52	29	70	82	8	45	70					
		15.94%	17.71%	15.12%	18.67%	21.60%	26.05%	15.62%	15.35%	8.86%	8.97%	4.04%	9.50%	2.92%	17.97%	10.81%	10.70%	17.90%	30.19%	4.84%	11.98%	18.56%	17.26%	19.53%	16.35%	17.97%	20.23%	22.66%	17.59%	15.19%	13.33%	13.16%	18.13%					
																																						
24	Против всех	128	29	25	8	2	0	1	7	0	0	0	18	0	0	1	0	1	2	0	7	0	4	1	0	1	5	1	4	7	0	2	2					
		1.33%	2.36%	2.50%	1.07%	0.59%	0.00%	1.56%	3.26%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	1.35%	0.00%	0.62%	0.65%	0.00%	3.65%	0.00%	0.90%	0.78%	0.00%	0.78%	1.95%	0.78%	1.01%	1.30%	0.00%	0.58%	0.52%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
