Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Ильинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7497	1168	1165	803	360	312	327	642	631	342	276	549	332	440	150									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6120	954	954	637	317	264	264	477	477	317	264	424	264	370	137									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2548	429	414	283	106	88	103	154	182	104	95	224	150	164	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	680	30	31	40	64	43	68	58	112	26	37	64	43	45	19									
6	Число погашенных избирательных бюллетеней	2892	495	509	314	147	133	93	265	183	187	132	136	71	161	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	680	30	31	40	64	43	68	58	112	26	37	64	43	45	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2548	429	414	283	106	88	103	154	182	104	95	224	150	164	52									
9	Число недействительных избирательных бюллетеней	69	10	15	2	2	3	1	7	3	4	2	13	2	5	0									
10	Число действительных избирательных бюллетеней	3159	449	430	321	168	128	170	205	291	126	130	275	191	204	71									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	166	27	26	18	8	7	7	13	13	8	7	11	7	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	10	8	9	2	3	4	2	9	3	0	11	7	7	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	2	6	2	2	11	2	4	4	1	3	6	6	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	87	17	18	9	6	4	3	11	4	5	7	0	0	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	4	0	0	0	0	0	0	0	0	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	4	6	6	1	2	1	0	1	0	1	5	1	1	2									
		0.96%	0.87%	1.35%	1.86%	0.59%	1.53%	0.58%	0.00%	0.34%	0.00%	0.76%	1.74%	0.52%	0.48%	2.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	125	23	14	12	9	3	5	12	13	5	3	11	5	10	0									
		3.87%	5.01%	3.15%	3.72%	5.29%	2.29%	2.92%	5.66%	4.42%	3.85%	2.27%	3.82%	2.59%	4.78%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	88	16	14	11	1	3	4	12	9	2	1	6	4	4	1									
		2.73%	3.49%	3.15%	3.41%	0.59%	2.29%	2.34%	5.66%	3.06%	1.54%	0.76%	2.08%	2.07%	1.91%	1.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1488	156	164	108	105	62	100	82	145	74	65	123	146	112	46									
		46.10%	33.99%	36.85%	33.44%	61.76%	47.33%	58.48%	38.68%	49.32%	56.92%	49.24%	42.71%	75.65%	53.59%	64.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	3	2	2	2	1	3	1	2	0	0	2	0	0	0									
		0.56%	0.65%	0.45%	0.62%	1.18%	0.76%	1.75%	0.47%	0.68%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%									
