Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Апастовская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930					
1	"Число избирателей, внесенных в списки избирателей"	15848	839	738	923	735	287	305	150	409	123	326	122	252	227	94	235	200	135	230	195	165	102	170	205	110	165	302	220	233	309	244	185	190	105	95	140	163	210	625	565	333	399	455	250	113	275	275	80	395	120	304	368	197	310	276	105	350	215					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15810	840	723	917	729	285	305	150	410	123	315	122	244	223	93	235	200	135	230	195	165	102	170	205	110	165	305	220	233	313	240	185	190	105	95	140	160	210	625	585	327	405	445	250	113	275	275	80	395	120	305	368	205	310	270	105	350	215					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15117	812	694	892	714	273	293	148	385	121	284	119	237	219	89	235	200	132	217	190	158	90	170	205	108	138	292	212	213	276	227	177	178	102	86	116	153	194	613	544	315	390	412	246	108	262	265	80	377	120	304	357	185	302	268	103	315	202					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	649	27	29	25	15	12	12	2	24	2	31	3	7	4	4	0	0	3	13	5	7	12	0	0	2	27	10	8	20	33	13	8	12	3	9	24	7	16	12	21	12	9	33	4	5	13	10	0	18	0	0	11	12	8	2	2	35	13					
6	Число погашенных избирательных бюллетеней	44	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	649	27	29	25	15	12	12	2	24	2	31	3	7	4	4	0	0	3	13	5	7	12	0	0	2	27	10	8	20	33	13	8	12	3	9	24	7	16	12	21	12	9	33	4	5	13	10	0	18	0	0	11	12	8	2	2	35	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15117	812	694	892	714	273	293	148	385	121	284	119	237	219	89	235	200	132	217	190	158	90	170	205	108	138	292	212	213	276	227	177	178	102	86	116	153	194	613	544	315	390	412	246	108	262	265	80	377	120	304	357	185	302	268	103	315	202					
9	Число недействительных избирательных бюллетеней	170	1	0	0	0	0	0	1	9	7	2	0	4	0	0	2	10	0	1	0	0	1	0	0	0	0	0	0	6	0	1	4	0	0	3	0	7	2	36	9	13	0	3	3	0	0	0	0	8	0	1	0	1	8	16	10	0	1					
10	Число действительных избирательных бюллетеней	15596	838	723	917	729	285	305	149	400	116	313	122	240	223	93	233	190	135	229	195	165	101	170	205	110	165	302	220	227	309	239	181	190	105	92	140	153	208	589	556	314	399	442	247	113	275	275	80	387	120	303	368	196	302	254	95	350	214					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	500	50	20	30	31	10	5	3	10	3	10	3	10	5	3	5	5	5	5	3	5	5	5	10	5	5	10	5	15	10	10	5	5	3	3	5	5	10	20	15	5	12	10	5	3	10	10	3	10	5	5	10	5	10	5	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	307	37	20	30	28	9	0	0	8	3	10	3	8	4	1	1	0	1	4	0	4	1	0	3	0	1	10	2	10	6	4	1	4	3	1	0	0	2	20	15	0	10	2	3	1	2	1	0	0	0	0	10	5	6	2	3	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	75	4	5	6	8	1	0	0	2	0	1	3	0	0	0	1	0	0	2	2	0	1	0	1	0	0	2	0	2	1	0	0	0	0	1	0	0	1	8	1	2	2	11	1	0	0	1	0	0	0	0	0	0	0	3	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	193	13	0	0	3	1	5	3	2	0	0	0	2	1	2	4	5	4	1	3	1	4	5	7	5	4	0	3	5	4	6	4	1	0	2	5	5	8	0	0	5	2	8	2	2	8	9	3	10	5	5	0	0	4	3	2	7	0					
