Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Тукаевская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2827									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29804	758	440	1206	1375	219	353	1190	574	504	141	502	994	370	127	1114	1151	954	662	1279	1109	708	207	1126	947	367	320	851	1215	734	1416	268	885	548	163	339	154	456	234	456	967	346	889	461	725									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29610	772	443	1181	1341	221	359	1222	580	515	145	515	966	377	132	1084	1155	971	664	1237	1081	728	206	1077	882	359	306	847	1244	734	1382	263	897	553	165	342	162	459	234	465	925	348	872	459	740									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26539	714	271	1155	1302	219	347	1123	474	451	125	375	787	306	115	1026	1108	915	647	1208	1056	561	192	886	724	350	255	770	1180	461	1343	187	859	538	156	289	132	384	222	373	820	288	840	393	612									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2071	14	165	15	35	0	0	60	78	51	16	102	66	57	10	54	32	30	2	29	25	135	14	27	16	9	18	54	11	262	39	66	20	0	0	38	22	67	10	79	104	50	32	66	91									
6	Число погашенных избирательных бюллетеней	1000	44	7	11	4	2	12	39	28	13	4	38	113	14	7	4	15	26	15	0	0	32	0	164	142	0	33	23	53	11	0	10	18	15	9	15	8	8	2	13	1	10	0	0	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2071	14	165	15	35	0	0	60	78	51	16	102	66	57	10	54	32	30	2	29	25	135	14	27	16	9	18	54	11	262	39	66	20	0	0	38	22	67	10	79	104	50	32	66	91									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26538	714	271	1155	1302	219	347	1123	474	451	125	375	787	306	115	1026	1108	915	647	1208	1056	561	192	886	724	350	255	770	1180	461	1343	187	859	538	156	289	132	384	222	373	819	288	840	393	612									
9	Число недействительных избирательных бюллетеней	39	0	0	13	2	0	3	0	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	28570	728	436	1157	1335	219	344	1183	550	502	141	477	851	363	122	1080	1140	945	649	1237	1081	696	206	909	740	359	273	824	1191	717	1380	251	879	538	156	327	154	451	232	452	923	338	872	459	703									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	586	10	10	35	15	15	10	30	10	10	5	10	15	30	5	30	30	15	15	15	25	20	0	15	14	5	15	20	20	10	20	5	15	5	5	5	5	5	5	5	20	5	10	6	11									
