Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Баевская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8762	1090	1696	1193	455	250	247	647	780	204	310	529	773	521	67									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8780	1100	1700	1150	450	260	250	650	800	200	300	550	780	520	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3610	472	735	464	172	107	108	313	345	70	97	187	297	219	24									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	515	56	81	61	22	15	14	25	49	7	53	34	46	50	2									
6	Число погашенных избирательных бюллетеней	4655	572	884	625	256	138	128	312	406	123	150	329	437	251	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	515	56	81	61	22	15	14	25	49	7	53	34	46	50	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3610	472	735	464	172	107	108	313	345	70	97	187	297	219	24									
9	Число недействительных избирательных бюллетеней	87	16	16	5	0	0	1	8	13	2	0	6	12	7	1									
10	Число действительных избирательных бюллетеней	4038	512	800	520	194	122	121	330	381	75	150	215	331	262	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	86	25	15	10	3	3	3	3	5	2	2	3	5	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	26	4	13	0	3	0	1	2	1	0	0	0	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	5	4	6	6	1	3	4	1	2	0	0	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	60	21	2	10	0	3	2	1	4	2	2	3	5	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	7	2	2	0	0	0	0	1	0	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	20	4	3	4	1	0	0	3	3	0	1	0	0	1	0									
		0.48%	0.76%	0.37%	0.76%	0.52%	0.00%	0.00%	0.89%	0.76%	0.00%	0.67%	0.00%	0.00%	0.37%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	174	21	47	17	11	2	8	5	18	0	3	8	12	21	1									
		4.22%	3.98%	5.76%	3.24%	5.67%	1.64%	6.56%	1.48%	4.57%	0.00%	2.00%	3.62%	3.50%	7.81%	3.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	9	12	7	2	1	0	7	7	3	0	2	4	3	0									
		1.38%	1.70%	1.47%	1.33%	1.03%	0.82%	0.00%	2.07%	1.78%	3.90%	0.00%	0.90%	1.17%	1.12%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1355	140	224	149	81	35	49	96	170	41	65	93	111	91	10									
		32.85%	26.52%	27.45%	28.38%	41.75%	28.69%	40.16%	28.40%	43.15%	53.25%	43.33%	42.08%	32.36%	33.83%	38.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	1	1	0	0	0	0	1	0	0	0	0	2	2	0									
		0.17%	0.19%	0.12%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.58%	0.74%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	3	0	0	0	0	0	2	0	0	0	0	0	0									
		0.15%	0.19%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	683	87	127	89	35	31	6	62	65	16	18	21	70	51	5									
		16.56%	16.48%	15.56%	16.95%	18.04%	25.41%	4.92%	18.34%	16.50%	20.78%	12.00%	9.50%	20.41%	18.96%	19.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	1	1	0	0	0	1	0	0	0	0	1	0	0									
		0.10%	0.00%	0.12%	0.19%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	3	4	1	0	0	1	1	0	0	0	1	0	1	0									
		0.29%	0.57%	0.49%	0.19%	0.00%	0.00%	0.82%	0.30%	0.00%	0.00%	0.00%	0.45%	0.00%	0.37%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
