Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Севская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937					
1	"Число избирателей, внесенных в списки"	14898	449	111	78	89	449	308	184	259	447	354	389	336	417	479	300	257	404	189	238	96	256	120	253	355	490	240	207	164	253	241	2731	2595	729	431					
2	"Число бюллетеней, полученных участковыми комиссиями"	15500	500	100	100	100	500	300	200	300	500	400	400	400	500	500	300	300	400	200	300	100	300	200	300	400	500	300	200	200	300	300	2500	2500	700	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8361	223	58	56	54	262	179	155	176	273	234	210	163	173	254	187	176	195	139	165	61	148	70	147	209	344	160	128	132	150	164	1374	1315	349	278					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	781	34	14	0	14	41	2	0	0	10	12	2	15	75	13	0	12	134	2	8	0	7	14	20	65	33	22	9	3	16	9	95	38	53	9					
6	Число погашенных бюллетеней	6358	243	28	44	32	197	119	45	124	217	154	188	222	252	233	113	112	71	59	127	39	145	116	133	126	123	118	63	65	134	127	1031	1147	298	113					
7	Число бюллетеней в переносных ящиках для голосования	781	34	14	0	14	41	2	0	0	10	12	2	15	75	13	0	12	134	2	8	0	7	14	20	65	33	22	9	3	16	9	95	38	53	9					
8	Число бюллетеней в стационарных ящиках для голосования	8354	223	58	56	54	262	179	155	176	273	234	210	163	173	254	187	176	195	139	165	61	148	70	147	209	344	160	128	132	150	164	1367	1315	349	278					
9	Число недействительных бюллетеней	203	8	1	5	1	3	2	7	1	7	2	4	7	6	9	2	1	7	4	9	6	3	4	5	8	5	6	4	3	1	7	21	19	7	18					
10	Число действительных бюллетеней	8932	249	71	51	67	300	179	148	175	276	244	208	171	242	258	185	187	322	137	164	55	152	80	162	266	372	176	133	132	165	166	1441	1334	395	269					
