Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Донская 																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311					
1	"Число избирателей, внесенных в списки"	52661	383	1602	2464	1715	2124	2445	102	1792	1311	1971	1583	1866	528	1698	1075	1267	104	1120	329	757	1814	1562	2210	1519	2124	2246	1559	330	64	1053	1462	1794	30	1337	1789	544	1573	2517	898					
2	"Число бюллетеней, полученных участковыми комиссиями"	53066	380	1595	2485	1735	2140	2445	102	1800	1290	1970	1585	1875	535	1700	1045	1255	102	1110	690	745	1815	1570	2215	1515	2135	2235	1545	330	82	995	1475	1785	35	1345	1810	550	1620	2540	885					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24572	174	733	1179	830	988	1140	79	907	697	943	760	937	228	780	474	451	58	584	303	223	861	776	1008	706	998	1070	709	121	26	383	666	957	10	692	916	205	696	1069	235					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1710	11	9	60	25	49	45	7	41	20	50	42	35	32	48	33	112	33	29	26	44	27	36	38	35	28	49	33	4	38	112	120	50	20	97	63	40	25	31	113					
6	Число погашенных бюллетеней	26784	195	853	1246	880	1103	1260	16	852	573	977	783	903	275	872	538	692	11	497	361	478	927	758	1169	774	1109	1116	803	205	18	500	689	778	5	556	831	305	899	1440	537					
7	Число бюллетеней в переносных ящиках для голосования	1710	11	9	60	25	49	45	7	41	20	50	42	35	32	48	33	112	33	29	26	44	27	36	38	35	28	49	33	4	38	112	120	50	20	97	63	40	25	31	113					
8	Число бюллетеней в стационарных ящиках для голосования	24566	174	733	1179	829	987	1140	79	907	697	943	759	937	228	780	474	449	58	583	303	223	861	776	1008	706	998	1070	709	121	26	383	666	957	10	692	916	205	696	1069	235					
9	Число недействительных бюллетеней	543	2	12	24	30	21	19	1	12	14	22	13	10	5	21	6	8	3	8	14	7	16	17	27	12	27	13	12	1	2	6	22	21	1	21	25	7	19	23	19					
10	Число действительных бюллетеней	25733	183	730	1215	824	1015	1166	85	936	703	971	788	962	255	807	501	553	88	604	315	260	872	795	1019	729	999	1106	730	124	62	489	764	986	29	768	954	238	702	1077	329					
