Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Агульская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19					
1	"Число избирателей, внесенных в список избирателей"	6220	130	140	192	457	307	278	358	219	205	734	1442	387	428	348	292	18	188	52	45					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5550	110	120	170	410	270	250	320	210	190	630	1305	370	380	300	250	15	165	45	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5488	109	118	168	406	267	246	318	206	189	626	1283	369	374	298	248	15	163	45	40					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	55	1	2	2	2	3	4	2	4	1	1	22	1	4	2	2	0	2	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7	0	0	0	2	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5488	109	118	168	406	267	246	318	206	189	626	1283	369	374	298	248	15	163	45	40					
9	Число недействительных избирательных бюллетеней	39	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	5456	109	118	168	408	267	246	318	206	189	629	1244	369	376	298	248	15	163	45	40					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	32	1	1	1	2	2	1	2	2	2	2	3	2	2	2	2	1	2	1	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	32	1	1	1	2	2	1	2	2	2	2	3	2	2	2	2	1	2	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	23	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0					
		0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0					
		0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	200	2	0	4	36	0	2	3	0	2	8	116	0	7	5	9	0	5	0	1					
		3.64%	1.83%	0.00%	2.38%	8.82%	0.00%	0.81%	0.94%	0.00%	1.06%	1.27%	9.04%	0.00%	1.86%	1.68%	3.63%	0.00%	3.07%	0.00%	2.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5199	107	118	164	372	267	244	315	206	187	621	1071	369	369	293	239	15	158	45	39					
		94.61%	98.17%	100.00%	97.62%	91.18%	100.00%	99.19%	99.06%	100.00%	98.94%	98.73%	83.48%	100.00%	98.14%	98.32%	96.37%	100.00%	96.93%	100.00%	97.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	14	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0					
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
