Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Минусинская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
1	"Число избирателей, внесенных в список избирателей"	20851	1798	448	588	912	877	1333	292	1988	718	219	756	353	1119	169	436	1675	356	278	258	560	1886	117	479	204	276	684	361	77	126	430	263	815					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20523	1778	444	583	885	872	1302	293	1970	709	217	761	349	1104	167	371	1671	333	273	245	558	1879	116	474	200	268	686	356	62	114	417	258	808					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10584	979	202	318	435	375	670	132	969	300	80	405	185	577	88	227	874	229	137	153	288	847	61	246	112	154	364	195	58	71	251	136	466					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	471	36	11	11	6	8	23	14	46	23	4	12	11	32	0	47	31	7	5	7	22	43	0	18	7	8	5	14	2	4	6	0	8					
6	Число погашенных избирательных бюллетеней	9468	763	231	254	444	489	609	147	955	386	133	344	153	495	79	97	766	97	131	85	248	989	55	210	81	106	317	147	2	39	160	122	334					
7	Число избирательных бюллетеней в переносных ящиках для голосования	471	36	11	11	6	8	23	14	46	23	4	12	11	32	0	47	31	7	5	7	22	43	0	18	7	8	5	14	2	4	6	0	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10580	979	202	318	435	375	670	132	968	300	80	405	185	577	88	227	873	229	137	152	288	846	61	246	112	154	364	195	58	71	251	136	466					
9	Число недействительных избирательных бюллетеней	223	23	5	7	10	9	12	2	15	8	1	5	4	10	4	2	21	8	0	0	4	19	1	8	5	4	6	3	0	0	9	1	17					
10	Число действительных избирательных бюллетеней	10828	992	208	322	431	374	681	144	999	315	83	412	192	599	84	272	883	228	142	159	306	870	60	256	114	158	363	206	60	75	248	135	457					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	440	25	10	10	15	15	25	10	30	15	10	10	10	25	10	10	30	15	10	10	10	25	5	10	10	10	20	10	5	5	10	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	109	6	2	1	4	2	15	3	8	3	0	10	1	7	1	1	14	3	2	2	2	12	0	1	0	4	2	2	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	319	26	5	4	20	5	43	4	33	7	1	14	6	3	2	5	23	28	4	18	2	11	1	4	3	5	4	4	5	13	8	4	4					
14	Число погашенных неиспользованных открепительных удостоверений	331	19	8	9	11	13	10	7	22	12	10	0	9	18	9	9	16	12	8	8	8	13	5	9	10	6	18	8	5	5	10	10	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1308	267	32	41	43	41	59	10	138	33	9	36	17	73	5	48	103	25	15	7	19	92	10	21	7	8	41	9	4	6	18	12	59					
		11.84%	26.31%	15.02%	12.46%	9.75%	10.70%	8.51%	6.85%	13.61%	10.22%	10.71%	8.63%	8.67%	11.99%	5.68%	17.52%	11.39%	10.59%	10.56%	4.40%	6.13%	10.35%	16.39%	7.95%	5.88%	4.94%	11.11%	4.31%	6.67%	8.00%	7.00%	8.82%	12.45%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1553	88	34	40	56	51	123	21	120	63	10	49	19	114	13	53	166	26	24	21	39	129	9	27	16	20	41	40	7	11	16	20	87					
