Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Пластовская районная																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309					
1	"Число избирателей, внесенных в списки избирателей"	20466	1592	2161	1889	1886	1444	1410	1024	1115	1241	543	220	485	434	135	342	440	80	89	139	118	164	748	525	211	487	117	199	313	915					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17552	1300	1800	1600	1550	1200	1150	850	900	1000	480	200	450	400	142	300	400	81	90	141	130	168	700	500	200	400	120	200	300	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11887	797	1260	1113	1123	849	618	520	528	569	266	132	364	305	86	241	343	58	67	119	103	134	491	361	171	355	97	136	165	516					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1202	57	78	89	51	39	76	38	36	71	175	42	40	44	11	26	16	4	8	0	0	9	56	70	19	20	0	11	37	79					
6	Число погашенных избирательных бюллетеней	4463	446	462	398	376	312	456	292	336	360	39	26	46	51	45	33	41	19	15	22	27	25	153	69	10	25	23	53	98	205					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1202	57	78	89	51	39	76	38	36	71	175	42	40	44	11	26	16	4	8	0	0	9	56	70	19	20	0	11	37	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11882	797	1260	1110	1122	849	618	520	527	569	266	132	364	305	86	241	343	58	67	119	103	134	491	361	171	355	97	136	165	516					
9	Число недействительных избирательных бюллетеней	159	14	14	13	18	8	4	9	9	6	11	0	5	6	1	1	7	1	0	1	2	0	3	5	1	9	0	4	0	7					
10	Число действительных избирательных бюллетеней	12925	840	1324	1186	1155	880	690	549	554	634	430	174	399	343	96	266	352	61	75	118	101	143	544	426	189	366	97	143	202	588					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	283	10	14	27	24	14	9	11	8	8	3	7	15	14	7	3	18	4	5	2	5	5	23	11	2	14	7	4	3	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	249	9	14	26	24	14	2	9	5	5	1	7	15	14	7	0	18	4	5	2	5	3	23	11	2	10	3	4	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	109	3	5	7	11	5	4	2	2	4	11	7	0	7	0	4	2	2	0	2	0	1	5	1	8	6	1	2	1	6					
14	Число погашенных неиспользованных открепительных удостоверений	34	1	0	1	0	0	7	2	3	3	2	0	0	0	0	3	0	0	0	0	0	2	0	0	0	4	4	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	2	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
