Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Хабаровская (ОИК 69)																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №784	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31747	642	2081	795	894	2216	1834	1155	736	795	796	1287	2920	2547	1275	394	650	1533	1823	2050	1724	1385	2215									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30910	600	2100	900	850	2200	1800	1100	700	900	750	1300	3000	2200	1200	360	550	1500	1800	2000	1600	1300	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13040	354	514	275	185	614	673	308	195	372	308	1222	1961	1521	542	277	206	462	580	703	574	475	719									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	532	0	44	9	28	47	42	81	8	4	4	33	1	3	19	74	15	31	13	11	31	15	19									
6	Число погашенных избирательных бюллетеней	17338	246	1542	616	637	1539	1085	711	497	524	438	45	1038	676	639	9	329	1007	1207	1286	995	810	1462									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	532	0	44	9	28	47	42	81	8	4	4	33	1	3	19	74	15	31	13	11	31	15	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13030	354	514	275	185	614	673	308	195	372	308	1221	1959	1519	541	277	206	462	580	699	574	475	719									
9	Число недействительных избирательных бюллетеней	370	11	22	8	7	15	13	8	5	11	8	16	46	41	14	3	8	9	16	37	27	20	25									
10	Число действительных избирательных бюллетеней	13192	343	536	276	206	646	702	381	198	365	304	1238	1914	1481	546	348	213	484	577	673	578	470	713									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	780	40	30	20	20	30	30	20	10	70	20	60	100	100	40	10	10	20	30	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	332	31	6	2	12	14	7	2	1	56	4	60	56	11	40	2	0	4	5	4	3	1	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	327	36	13	2	5	22	6	7	3	8	18	13	4	25	88	4	45	4	0	5	10	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	448	9	24	18	8	16	23	18	9	14	16	0	44	89	0	8	10	16	25	26	27	29	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	13	2	0	1	0	3	1	0	6	0	46	14	1	3	22	0	1	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
