Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Каларская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6681	529	590	669	427	463	150	460	613	466	458	114	431	617	491	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6650	542	572	660	420	467	167	467	600	518	464	112	423	500	509	229									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	35	0	0	0	0	0	0	0	0	24	0	0	0	0	0	11									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2221	182	199	167	115	167	54	131	235	164	148	48	160	240	151	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	33	3	0	0	0	0	0	2	2	1	4	0	3	8	4	6									
6	Число погашенных избирательных бюллетеней	4361	357	373	493	305	300	113	334	363	329	312	64	260	252	354	152									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	68	3	0	0	0	0	0	2	2	25	4	0	3	8	4	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2221	182	199	167	115	167	54	131	235	164	148	48	160	240	151	60									
9	Число недействительных избирательных бюллетеней	75	8	6	1	1	3	4	2	6	8	7	0	6	12	7	4									
10	Число действительных избирательных бюллетеней	2214	177	193	166	114	164	50	131	231	181	145	48	157	236	148	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	276	17	18	17	17	17	25	17	17	17	16	20	22	17	17	22									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	1	0	0	2	0	3	1	4	1	3	0	10	7	4	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	1	17	1	1	5	2	0	2	1	5	0	0	44	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	230	16	18	17	15	17	22	16	13	16	13	20	12	10	13	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	3	2	1	3	0	1	0	0	0	5	0	2	4	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	2	2	5	2	2	0	1	1	1	0	2	1	9	3	0									
		1.35%	1.08%	1.01%	2.99%	1.74%	1.20%	0.00%	0.75%	0.42%	0.53%	0.00%	4.17%	0.61%	3.63%	1.94%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	55	4	7	3	3	1	3	5	5	6	2	0	1	8	4	3									
		2.40%	2.16%	3.52%	1.80%	2.61%	0.60%	5.56%	3.76%	2.11%	3.17%	1.32%	0.00%	0.61%	3.23%	2.58%	3.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	8	6	4	2	1	2	3	4	6	1	3	2	3	4	8									
		2.49%	4.32%	3.02%	2.40%	1.74%	0.60%	3.70%	2.26%	1.69%	3.17%	0.66%	6.25%	1.23%	1.21%	2.58%	10.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	613	46	49	42	25	43	12	32	89	50	42	16	46	50	46	25									
		26.78%	24.86%	24.62%	25.15%	21.74%	25.75%	22.22%	24.06%	37.55%	26.46%	27.63%	33.33%	28.22%	20.16%	29.68%	32.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	2	0	1	1	0	1	2	1	0	3	0	2	4	1	0									
		0.79%	1.08%	0.00%	0.60%	0.87%	0.00%	1.85%	1.50%	0.42%	0.00%	1.97%	0.00%	1.23%	1.61%	0.65%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0									
		0.13%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	2.08%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	850	59	73	58	56	77	17	51	79	66	54	22	79	89	47	23									
		37.13%	31.89%	36.68%	34.73%	48.70%	46.11%	31.48%	38.35%	33.33%	34.92%	35.53%	45.83%	48.47%	35.89%	30.32%	29.87%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	2	0	0	2	0	1	0	5	1	0	0	1	1	0	0									
		0.57%	1.08%	0.00%	0.00%	1.74%	0.00%	1.85%	0.00%	2.11%	0.53%	0.00%	0.00%	0.61%	0.40%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	0	0	0	0	0	0	0	0	1	1	3	0	4	0	2									
