Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Вичугская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в список избирателей"	14574	1395	1370	1064	1214	1295	1262	1350	474	569	656	647	326	410	1008	678	434	422					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12990	1240	1200	965	1100	1140	1125	1210	435	515	580	570	285	355	900	595	390	385					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6295	738	774	433	538	597	618	587	225	159	338	251	120	113	393	67	203	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2259	76	58	182	116	141	67	144	145	174	76	180	113	182	172	264	64	105					
6	Число погашенных избирательных бюллетеней	4436	426	368	350	446	402	440	479	65	182	166	139	52	60	335	264	123	139					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2259	76	58	182	116	141	67	144	145	174	76	180	113	182	172	264	64	105					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6295	738	774	433	538	597	618	587	225	159	338	251	120	113	393	67	203	141					
9	Число недействительных избирательных бюллетеней	116	15	13	2	11	8	10	16	6	1	5	3	1	1	12	4	0	8					
10	Число действительных избирательных бюллетеней	8438	799	819	613	643	730	675	715	364	332	409	428	232	294	553	327	267	238					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	533	48	31	38	29	19	42	43	38	30	28	31	20	19	51	31	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	435	13	18	38	29	19	18	22	38	30	28	31	20	19	51	26	20	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	234	12	16	10	8	21	21	16	16	14	16	33	11	6	14	8	10	2					
14	Число погашенных неиспользованных открепительных удостоверений	98	35	13	0	0	0	24	21	0	0	0	0	0	0	0	5	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	1	0	1	2	2	1	0	0	0	2	2	0	3	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1389	101	94	114	140	142	130	118	52	57	50	55	23	41	129	57	47	39					
		16.24%	12.41%	11.30%	18.54%	21.41%	19.24%	18.98%	16.14%	14.05%	17.12%	12.08%	12.76%	9.87%	13.90%	22.83%	17.22%	17.60%	15.85%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1079	80	100	77	101	95	69	117	55	46	46	53	21	41	67	45	38	28					
		12.61%	9.83%	12.02%	12.52%	15.44%	12.87%	10.07%	16.01%	14.86%	13.81%	11.11%	12.30%	9.01%	13.90%	11.86%	13.60%	14.23%	11.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	106	11	15	4	4	15	8	13	3	4	1	8	1	5	5	4	0	5					
		1.24%	1.35%	1.80%	0.65%	0.61%	2.03%	1.17%	1.78%	0.81%	1.20%	0.24%	1.86%	0.43%	1.69%	0.88%	1.21%	0.00%	2.03%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1856	272	307	156	147	134	129	142	45	43	58	64	25	29	77	47	100	81					
		21.70%	33.42%	36.90%	25.37%	22.48%	18.16%	18.83%	19.43%	12.16%	12.91%	14.01%	14.85%	10.73%	9.83%	13.63%	14.20%	37.45%	32.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	136	29	18	11	7	8	15	7	5	3	11	3	1	4	4	4	1	5					
		1.59%	3.56%	2.16%	1.79%	1.07%	1.08%	2.19%	0.96%	1.35%	0.90%	2.66%	0.70%	0.43%	1.36%	0.71%	1.21%	0.37%	2.03%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3820	302	272	248	242	332	321	315	202	176	242	242	160	173	269	169	78	77					
		44.66%	37.10%	32.69%	40.33%	37.00%	44.99%	46.86%	43.09%	54.59%	52.85%	58.45%	56.15%	68.67%	58.64%	47.61%	51.06%	29.21%	31.30%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	52	4	13	3	2	4	3	3	2	3	1	3	1	1	2	1	3	3					
		0.61%	0.49%	1.56%	0.49%	0.31%	0.54%	0.44%	0.41%	0.54%	0.90%	0.24%	0.70%	0.43%	0.34%	0.35%	0.30%	1.12%	1.22%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
