Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Усть-Майская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645					
1	"Число избирателей, внесенных в списки избирателей"	7114	123	279	92	655	579	464	598	580	292	481	532	303	76	364	62	853	183	505	93					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6392	133	275	100	630	500	405	485	470	288	395	425	240	75	346	58	820	161	500	86					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	22	5	0	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4817	92	211	77	471	384	293	379	372	249	280	396	170	59	300	45	569	103	290	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	476	5	20	9	46	28	18	37	39	9	73	26	46	9	20	3	52	3	33	0					
6	Число погашенных избирательных бюллетеней	1076	31	44	14	113	76	94	69	58	25	42	3	24	7	26	10	199	55	177	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	498	10	20	9	46	40	18	37	39	14	73	26	46	9	20	3	52	3	33	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4817	92	211	77	471	384	293	379	372	249	280	396	170	59	300	45	569	103	290	77					
9	Число недействительных избирательных бюллетеней	45	0	1	1	5	4	1	2	3	2	10	1	2	0	2	0	6	0	3	2					
10	Число действительных избирательных бюллетеней	5270	102	230	85	512	420	310	414	408	261	343	421	214	68	318	48	615	106	320	75					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	244	5	9	4	22	18	15	18	17	10	15	16	16	4	16	2	28	6	19	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	42	0	0	1	12	3	1	4	1	3	0	0	0	0	5	0	8	3	1	0					
