Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Данковская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29660	917	566	492	1993	2131	2113	1950	2017	113	1072	566	810	1754	216	669	265	754	568	881	944	746	461	321	522	711	866	468	514	465	260	324	959	273	614	444	421	500									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29110	900	550	450	2000	2100	2100	1950	2000	110	1000	550	800	1700	200	650	250	750	550	900	950	750	450	300	500	700	850	450	500	450	250	300	950	250	600	450	400	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15931	384	396	244	950	1128	1107	923	962	79	516	225	477	776	99	367	113	386	339	515	608	328	297	255	274	353	585	295	382	295	119	177	773	128	285	257	247	287									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2302	40	18	21	42	25	22	34	41	3	44	12	17	31	16	4	36	121	106	139	127	122	90	38	149	225	28	60	55	55	70	90	119	52	72	56	52	70									
6	Число погашенных избирательных бюллетеней	10877	476	136	185	1008	947	971	993	997	28	440	313	306	893	85	279	101	243	105	246	215	300	63	7	77	122	237	95	63	100	61	33	58	70	243	137	101	143									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2302	40	18	21	42	25	22	34	41	3	44	12	17	31	16	4	36	121	106	139	127	122	90	38	149	225	28	60	55	55	70	90	119	52	72	56	52	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15927	384	396	244	950	1128	1107	923	961	79	516	225	477	776	99	367	113	386	339	515	608	328	296	255	274	353	585	295	382	295	119	177	771	128	285	257	247	287									
9	Число недействительных избирательных бюллетеней	421	19	11	5	28	27	17	40	23	3	9	8	13	36	3	9	3	12	3	10	28	7	4	3	10	8	18	4	26	2	5	9	4	0	1	4	2	7									
10	Число действительных избирательных бюллетеней	17808	405	403	260	964	1126	1112	917	979	79	551	229	481	771	112	362	146	495	442	644	707	443	382	290	413	570	595	351	411	348	184	258	886	180	356	309	297	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	10	9	8	31	22	20	20	25	4	15	10	13	10	4	8	8	6	5	20	10	10	10	5	10	8	8	5	12	13	5	5	10	6	6	11	8	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	291	2	7	3	29	22	17	15	23	0	12	6	10	7	2	5	4	6	3	20	7	9	4	0	2	8	8	3	12	13	1	4	2	3	0	8	4	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	209	0	2	13	5	13	7	10	11	2	14	7	5	2	7	5	4	2	4	7	3	7	3	2	2	17	2	3	7	4	2	5	5	8	2	4	9	4									
14	Число погашенных неиспользованных открепительных удостоверений	109	8	2	5	2	0	3	5	2	4	3	4	3	3	2	3	4	0	2	0	3	1	6	5	8	0	0	2	0	0	4	1	8	3	6	3	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	2	2	3	8	8	7	10	13	0	2	2	1	9	1	0	1	3	4	7	3	0	3	1	2	3	4	3	7	16	0	1	3	3	1	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
