Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Красноборская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №459	УИК №460	УИК №461									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11809	275	2177	1942	655	331	541	194	369	636	378	279	945	408	196	285	261	1486	82	236	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11740	270	2180	1960	650	340	540	190	360	640	370	280	930	420	180	260	250	1490	70	230	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3908	52	774	627	186	88	179	69	168	196	125	87	340	159	77	89	75	484	34	69	30									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	501	19	43	31	20	12	38	25	32	10	3	24	47	22	9	25	13	92	10	13	13									
6	Число погашенных избирательных бюллетеней	7331	199	1363	1302	444	240	323	96	160	434	242	169	543	239	94	146	162	914	26	148	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	501	19	43	31	20	12	38	25	32	10	3	24	47	22	9	25	13	92	10	13	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3906	52	774	625	186	88	179	69	168	196	125	87	340	159	77	89	75	484	34	69	30									
9	Число недействительных избирательных бюллетеней	85	1	14	21	8	5	2	0	8	2	3	0	4	2	0	1	5	8	0	0	1									
10	Число действительных избирательных бюллетеней	4322	70	803	635	198	95	215	94	192	204	125	111	383	179	86	113	83	568	44	82	42									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	153	5	20	20	10	5	10	5	5	8	5	5	10	5	5	5	5	14	3	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	0	8	9	1	1	4	0	2	1	0	0	3	0	0	1	1	9	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	2	8	3	3	3	2	0	3	1	4	1	13	1	4	5	4	5	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	113	5	12	11	9	4	6	5	3	7	5	5	7	5	5	4	4	5	3	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	7	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	0	16	10	3	0	3	1	1	2	1	2	4	3	1	4	0	7	0	0	2									
		1.36%	0.00%	1.96%	1.52%	1.46%	0.00%	1.38%	1.06%	0.50%	0.97%	0.78%	1.80%	1.03%	1.66%	1.16%	3.51%	0.00%	1.22%	0.00%	0.00%	4.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	95	4	13	17	5	2	4	2	6	4	4	1	12	2	0	0	1	17	0	1	0									
		2.16%	5.63%	1.59%	2.59%	2.43%	2.00%	1.84%	2.13%	3.00%	1.94%	3.13%	0.90%	3.10%	1.10%	0.00%	0.00%	1.14%	2.95%	0.00%	1.22%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	173	1	29	23	10	8	6	2	8	15	1	7	15	9	6	3	2	27	1	0	0									
		3.93%	1.41%	3.55%	3.51%	4.85%	8.00%	2.76%	2.13%	4.00%	7.28%	0.78%	6.31%	3.88%	4.97%	6.98%	2.63%	2.27%	4.69%	2.27%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2142	36	369	323	109	47	124	60	95	109	81	51	174	86	37	48	42	255	29	44	23									
		48.60%	50.70%	45.17%	49.24%	52.91%	47.00%	57.14%	63.83%	47.50%	52.91%	63.28%	45.95%	44.96%	47.51%	43.02%	42.11%	47.73%	44.27%	65.91%	53.66%	53.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	1	7	2	1	0	1	0	0	0	0	1	2	0	0	2	1	1	0	2	0									
		0.48%	1.41%	0.86%	0.30%	0.49%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.90%	0.52%	0.00%	0.00%	1.75%	1.14%	0.17%	0.00%	2.44%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0									
		0.14%	1.41%	0.12%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	842	18	159	114	30	12	40	17	46	46	22	28	90	34	22	15	20	94	6	19	10									
		19.11%	25.35%	19.46%	17.38%	14.56%	12.00%	18.43%	18.09%	23.00%	22.33%	17.19%	25.23%	23.26%	18.78%	25.58%	13.16%	22.73%	16.32%	13.64%	23.17%	23.26%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	2	7	6	0	0	1	2	0	0	0	0	2	1	0	0	0	1	0	0	0									
		0.50%	2.82%	0.86%	0.91%	0.00%	0.00%	0.46%	2.13%	0.00%	0.00%	0.00%	0.00%	0.52%	0.55%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	0	5	10	4	0	2	0	2	3	1	1	1	1	0	3	0	4	0	0	0									
		0.84%	0.00%	0.61%	1.52%	1.94%	0.00%	0.92%	0.00%	1.00%	1.46%	0.78%	0.90%	0.26%	0.55%	0.00%	2.63%	0.00%	0.69%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0									
		0.14%	1.41%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	1.75%	0.00%	0.17%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	0	6	3	1	0	1	1	0	0	1	3	4	2	1	2	2	7	2	0	0									
		0.82%	0.00%	0.73%	0.46%	0.49%	0.00%	0.46%	1.06%	0.00%	0.00%	0.78%	2.70%	1.03%	1.10%	1.16%	1.75%	2.27%	1.22%	4.55%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	499	5	125	80	20	13	18	5	23	16	5	9	48	23	9	15	6	61	5	9	4									
		11.32%	7.04%	15.30%	12.20%	9.71%	13.00%	8.29%	5.32%	11.50%	7.77%	3.91%	8.11%	12.40%	12.71%	10.47%	13.16%	6.82%	10.59%	11.36%	10.98%	9.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	3	0	0	0	1	0	0	0	1	0	0	0	0	2	1	2	0	0	0									
