Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Сковородинская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21751	903	1804	1130	1381	1045	991	1238	1468	1118	274	1768	767	292	320	698	302	737	1332	2353	288	128	920	322	172									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17100	600	1300	1000	1000	1000	700	900	1000	900	200	1350	600	300	300	600	300	600	1000	2000	200	100	700	300	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	164	0	0	0	0	0	0	19	0	0	27	0	0	0	0	38	0	0	10	0	0	20	8	42	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6016	160	438	336	518	346	241	311	414	346	50	465	162	39	110	176	109	254	292	659	99	41	235	125	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	627	16	11	7	8	26	11	36	27	29	6	78	95	57	0	3	7	4	12	71	2	0	82	30	9									
6	Число погашенных избирательных бюллетеней	10293	424	851	657	474	628	448	534	559	525	117	807	343	204	190	383	184	342	686	1270	99	39	375	103	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	791	16	11	7	8	26	11	55	27	29	33	78	95	57	0	41	7	4	22	71	2	20	90	72	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6016	160	438	336	518	346	241	311	414	346	50	465	162	39	110	176	109	254	292	659	99	41	235	125	90									
9	Число недействительных избирательных бюллетеней	127	4	5	4	16	10	6	3	9	5	0	6	7	0	2	17	4	6	3	4	4	0	11	1	0									
10	Число действительных избирательных бюллетеней	6680	172	444	339	510	362	246	363	432	370	83	537	250	96	108	200	112	252	311	726	97	61	314	196	99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	286	5	81	10	10	10	10	10	10	10	5	10	5	5	5	10	10	10	10	20	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	176	3	57	6	9	4	10	4	5	10	0	10	5	0	0	2	5	10	10	20	0	0	5	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	2	5	3	1	2	0	2	1	2	4	1	0	1	0	1	0	2	2	4	1	3	4	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	110	2	24	4	1	6	0	6	5	0	5	0	0	5	5	8	5	0	0	0	5	5	5	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	16	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	0	5	4	6	3	1	10	6	2	1	8	1	0	0	1	0	2	3	2	1	3	5	2	6									
