Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Кочевская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №5001	УИК №5002	УИК №5003	УИК №5004	УИК №5005	УИК №5006	УИК №5007	УИК №5008	УИК №5009	УИК №5010	УИК №5011	УИК №5012	УИК №5013	УИК №5014	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5025	УИК №5026	УИК №5027	УИК №5028	УИК №5029	УИК №5030					
1	"Число избирателей, внесенных в списки"	8929	724	651	531	519	156	456	237	211	147	355	174	55	111	481	163	290	96	432	105	183	124	202	524	269	412	92	301	464	185	279					
2	"Число бюллетеней, полученных участковыми комиссиями"	8633	700	600	500	500	158	440	230	200	140	350	172	55	115	450	163	270	94	400	108	186	128	200	500	250	400	95	300	450	199	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5234	408	346	303	313	87	260	113	113	91	177	101	27	83	272	116	145	60	308	71	122	96	87	264	151	267	66	207	281	132	167					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	226	6	1	6	1	0	5	2	9	6	17	10	5	0	35	0	31	2	8	0	6	5	21	17	0	0	11	4	9	4	5					
6	Число погашенных бюллетеней	3173	286	253	191	186	71	175	115	78	43	156	61	23	32	143	47	94	32	84	37	58	27	92	219	99	133	18	89	160	63	108					
7	Число бюллетеней в переносных ящиках для голосования	226	6	1	6	1	0	5	2	9	6	17	10	5	0	35	0	31	2	8	0	6	5	21	17	0	0	11	4	9	4	5					
8	Число бюллетеней в стационарных ящиках для голосования	5234	408	346	303	313	87	260	113	113	91	177	101	27	83	272	116	145	60	308	71	122	96	87	264	151	267	66	207	281	132	167					
9	Число недействительных бюллетеней	196	16	11	4	3	0	8	7	1	6	9	4	1	4	4	5	10	10	16	1	2	2	3	16	3	6	5	3	16	6	14					
10	Число действительных бюллетеней	5264	398	336	305	311	87	257	108	121	91	185	107	31	79	303	111	166	52	300	70	126	99	105	265	148	261	72	208	274	130	158					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	10	10	10	10	3	8	4	5	4	7	5	5	4	8	4	4	4	7	5	5	7	4	10	7	8	5	5	10	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	4	3	7	3	0	4	0	0	1	2	0	0	0	6	0	0	0	0	0	0	1	0	1	1	3	0	4	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	1	6	0	3	0	1	1	0	0	1	1	1	0	2	2	2	0	0	1	0	0	0	2	5	1	0	1	1	0	0					
14	Число погашенных открепительных удостоверений	145	6	7	3	7	3	4	4	5	3	5	5	5	4	2	4	4	4	7	5	5	6	4	9	6	5	5	1	7	5	5					
15	Число открепительных удостоверений выданных ТИК	11	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	251	15	10	16	13	7	11	8	3	6	9	11	1	5	15	0	11	5	14	4	10	2	2	5	6	14	6	17	12	3	10					
		4.59%	3.62%	2.88%	5.17%	4.14%	8.04%	4.15%	6.95%	2.45%	6.18%	4.63%	9.90%	3.12%	6.02%	4.88%	0.0%	6.25%	8.06%	4.43%	5.63%	7.81%	1.98%	1.85%	1.77%	3.97%	5.24%	7.79%	8.05%	4.13%	2.20%	5.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	305	37	34	20	22	5	22	9	2	9	4	5	1	3	15	2	19	4	13	2	11	4	3	3	6	13	3	11	14	4	5					
		5.58%	8.93%	9.79%	6.47%	7.00%	5.74%	8.30%	7.82%	1.63%	9.27%	2.06%	4.50%	3.12%	3.61%	4.88%	1.72%	10.79%	6.45%	4.11%	2.81%	8.59%	3.96%	2.77%	1.06%	3.97%	4.86%	3.89%	5.21%	4.82%	2.94%	2.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	180	15	11	10	5	1	8	3	3	6	3	4	2	5	8	1	17	5	6	0	3	6	1	7	1	9	3	10	14	3	10					
		3.29%	3.62%	3.17%	3.23%	1.59%	1.14%	3.01%	2.60%	2.45%	6.18%	1.54%	3.60%	6.25%	6.02%	2.60%	0.86%	9.65%	8.06%	1.89%	0.0%	2.34%	5.94%	0.92%	2.49%	0.66%	3.37%	3.89%	4.73%	4.82%	2.20%	5.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	52	2	7	0	6	1	9	1	0	1	3	1	0	0	1	2	3	0	0	0	1	0	0	3	1	1	0	2	5	2	0					
		0.95%	0.48%	2.01%	0.0%	1.91%	1.14%	3.39%	0.86%	0.0%	1.03%	1.54%	0.90%	0.0%	0.0%	0.32%	1.72%	1.70%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	1.06%	0.66%	0.37%	0.0%	0.94%	1.72%	1.47%	0.0%					
22	"5. ""За Русь Святую"""	53	4	1	2	1	0	1	3	1	1	2	0	1	0	4	8	0	3	3	0	1	0	0	2	2	3	0	4	2	0	4					
		0.97%	0.96%	0.28%	0.64%	0.31%	0.0%	0.37%	2.60%	0.81%	1.03%	1.03%	0.0%	3.12%	0.0%	1.30%	6.89%	0.0%	4.83%	0.94%	0.0%	0.78%	0.0%	0.0%	0.71%	1.32%	1.12%	0.0%	1.89%	0.68%	0.0%	2.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	39	0	4	0	1	1	0	2	4	0	0	0	1	1	1	4	1	1	3	0	0	4	0	2	1	3	1	1	1	0	2					
		0.71%	0.0%	1.15%	0.0%	0.31%	1.14%	0.0%	1.73%	3.27%	0.0%	0.0%	0.0%	3.12%	1.20%	0.32%	3.44%	0.56%	1.61%	0.94%	0.0%	0.0%	3.96%	0.0%	0.71%	0.66%	1.12%	1.29%	0.47%	0.34%	0.0%	1.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	29	4	2	0	1	0	3	0	0	0	0	1	0	0	2	1	0	0	5	0	0	1	0	0	0	3	0	1	3	1	1					
		0.53%	0.96%	0.57%	0.0%	0.31%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.65%	0.86%	0.0%	0.0%	1.58%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	1.12%	0.0%	0.47%	1.03%	0.73%	0.58%					
25	"8. ""Народно-республиканская партия России"""	13	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0					
		0.23%	0.24%	0.28%	0.32%	0.31%	0.0%	0.0%	0.86%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.86%	0.56%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.37%	0.0%	0.0%	0.0%	0.73%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1					
		0.16%	0.0%	0.28%	0.0%	0.31%	0.0%	0.0%	0.0%	1.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.58%					
27	"10. ""Аграрная партия России"""	190	10	11	13	7	1	5	8	4	1	10	2	2	0	20	6	10	2	19	1	4	5	3	17	4	3	4	5	8	2	3					
		3.47%	2.41%	3.17%	4.20%	2.22%	1.14%	1.88%	6.95%	3.27%	1.03%	5.15%	1.80%	6.25%	0.0%	6.51%	5.17%	5.68%	3.22%	6.01%	1.40%	3.12%	4.95%	2.77%	6.04%	2.64%	1.12%	5.19%	2.36%	2.75%	1.47%	1.74%					
28	"11. ""Истинные патриоты России"""	7	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	1.03%	0.0%	0.0%	1.20%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.34%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	98	5	4	6	4	1	10	3	5	2	0	0	1	0	4	5	1	0	4	3	4	2	4	8	2	5	0	5	6	3	1					
		1.79%	1.20%	1.15%	1.94%	1.27%	1.14%	3.77%	2.60%	4.09%	2.06%	0.0%	0.0%	3.12%	0.0%	1.30%	4.31%	0.56%	0.0%	1.26%	4.22%	3.12%	1.98%	3.70%	2.84%	1.32%	1.87%	0.0%	2.36%	2.06%	2.20%	0.58%					
30	"13. ""Демократическая партия России"""	20	0	2	1	2	0	1	0	1	0	1	0	0	1	0	0	0	1	0	2	1	1	1	1	0	0	0	2	1	0	1					
		0.36%	0.0%	0.57%	0.32%	0.63%	0.0%	0.37%	0.0%	0.81%	0.0%	0.51%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	1.61%	0.0%	2.81%	0.78%	0.99%	0.92%	0.35%	0.0%	0.0%	0.0%	0.94%	0.34%	0.0%	0.58%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	4	1	0	1	0	2	0	0	0	2	1	0	0	2	0	0	0	0	1	2	1	0	0	0	0	0	1	2	0	0					
		0.36%	0.96%	0.28%	0.0%	0.31%	0.0%	0.75%	0.0%	0.0%	0.0%	1.03%	0.90%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	1.40%	1.56%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.68%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.0%	0.28%	0.0%	0.31%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	179	17	13	6	13	2	8	0	2	1	3	6	0	0	2	10	13	4	6	2	5	3	9	21	6	10	2	5	8	2	0					
		3.27%	4.10%	3.74%	1.94%	4.14%	2.29%	3.01%	0.0%	1.63%	1.03%	1.54%	5.40%	0.0%	0.0%	0.65%	8.62%	7.38%	6.45%	1.89%	2.81%	3.90%	2.97%	8.33%	7.47%	3.97%	3.74%	2.59%	2.36%	2.75%	1.47%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	1	1	2	2	1	2	4	1	2	1	1	0	0	4	1	0	2	0	1	2	4	1	0	0	0	1	1	1	0	0					
		0.65%	0.24%	0.28%	0.64%	0.63%	1.14%	0.75%	3.47%	0.81%	2.06%	0.51%	0.90%	0.0%	0.0%	1.30%	0.86%	0.0%	3.22%	0.0%	1.40%	1.56%	3.96%	0.92%	0.0%	0.0%	0.0%	1.29%	0.47%	0.34%	0.0%	0.0%					
35	"18. ""ЛДПР"""	526	34	40	28	34	7	34	9	11	12	31	10	5	16	27	5	11	4	28	10	13	11	17	32	19	13	2	18	19	12	14					
		9.63%	8.21%	11.52%	9.06%	10.82%	8.04%	12.83%	7.82%	9.01%	12.37%	15.97%	9.00%	15.62%	19.27%	8.79%	4.31%	6.25%	6.45%	8.86%	14.08%	10.15%	10.89%	15.74%	11.38%	12.58%	4.86%	2.59%	8.53%	6.55%	8.82%	8.13%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	137	6	8	17	12	1	2	2	2	5	3	3	1	1	6	5	8	0	11	1	1	1	4	3	2	7	1	8	9	3	4					
		2.50%	1.44%	2.30%	5.50%	3.82%	1.14%	0.75%	1.73%	1.63%	5.15%	1.54%	2.70%	3.12%	1.20%	1.95%	4.31%	4.54%	0.0%	3.48%	1.40%	0.78%	0.99%	3.70%	1.06%	1.32%	2.62%	1.29%	3.79%	3.10%	2.20%	2.32%					
37	"20. ""Политическая партия ""Единая Россия"""	2546	191	155	154	154	55	124	45	70	34	88	53	12	40	159	36	50	11	137	27	50	40	44	113	79	165	49	86	150	79	96					
