Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1035	УИК №1036					
1	"Число избирателей, внесенных в список избирателей"	58378	2622	2697	2578	2315	2229	2056	2717	2766	2084	2284	2219	2732	2125	2073	2323	2245	2504	2524	2304	2573	2335	2689	2190	2369	108	104	62	66	30	23	19	19	19	19	22	19	19	18	14	15	14	20	14	14	14	14	15	14	10	9	10	10	12	14	13	14	14	9	15					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54027	2500	2500	2500	2000	2000	2000	2500	2500	2000	2000	2000	2500	2000	2000	2000	2000	2500	2500	2000	2500	2000	2500	2000	2000	100	150	100	100	34	23	19	22	22	19	47	39	19	20	14	15	14	31	14	16	14	16	15	14	12	12	12	13	12	14	13	14	14	9	25					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29054	1218	1067	1329	1188	984	1081	1257	1270	995	1057	1082	1145	1035	939	1266	1280	1193	1390	1314	1402	1105	1561	900	1200	95	94	62	62	30	23	19	19	19	19	22	19	19	18	14	15	14	20	14	14	14	14	15	14	10	8	10	10	12	14	13	13	14	9	15					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	374	18	17	23	14	9	19	10	0	16	13	15	14	5	24	22	15	10	12	30	22	13	19	15	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	24599	1264	1416	1148	798	1007	900	1233	1230	989	930	903	1341	960	1037	712	705	1297	1098	656	1076	882	920	1085	781	5	56	38	38	4	0	0	3	3	0	25	20	0	2	0	0	0	11	0	2	0	2	0	0	2	4	2	3	0	0	0	1	0	0	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	374	18	17	23	14	9	19	10	0	16	13	15	14	5	24	22	15	10	12	30	22	13	19	15	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29035	1218	1066	1326	1188	984	1080	1257	1270	995	1057	1082	1141	1035	939	1265	1280	1192	1389	1310	1402	1105	1559	899	1200	95	94	62	62	30	23	19	19	19	19	22	19	19	18	14	15	14	20	14	14	14	14	15	14	10	8	10	10	12	14	13	13	14	9	15					
9	Число недействительных избирательных бюллетеней	295	14	10	11	15	12	4	19	11	8	7	9	13	9	6	5	17	10	13	21	16	11	20	9	11	1	0	0	2	0	1	0	0	0	2	2	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	29114	1222	1073	1338	1187	981	1095	1248	1259	1003	1063	1088	1142	1031	957	1282	1278	1192	1388	1319	1408	1107	1558	905	1208	94	94	62	60	30	22	19	19	19	17	20	19	19	18	14	14	14	20	12	14	14	13	14	14	10	8	10	10	12	14	13	12	14	9	15					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	982	35	35	45	35	35	35	35	55	35	45	55	35	35	45	35	35	35	45	45	35	35	55	35	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	777	26	30	36	25	20	20	24	49	27	32	30	29	26	35	28	35	30	39	38	23	30	48	31	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	475	12	16	16	20	22	18	24	19	16	26	24	10	15	19	19	10	10	19	20	16	18	40	14	19	3	17	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	205	9	5	9	10	15	15	11	6	8	13	25	6	9	10	7	0	5	6	7	12	5	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	4	0	0	1	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6566	282	232	279	232	220	256	291	272	212	239	217	270	232	219	323	305	260	353	315	356	266	315	210	250	19	20	21	8	9	3	3	6	5	1	2	4	7	1	1	0	1	2	1	7	3	4	1	2	7	2	0	2	0	5	3	1	2	4	3					
		22.33%	22.82%	21.42%	20.68%	19.30%	22.16%	23.29%	22.97%	21.42%	20.97%	22.34%	19.78%	23.38%	22.31%	22.74%	25.10%	23.55%	21.63%	25.20%	23.51%	25.00%	23.79%	19.96%	22.98%	20.51%	20.00%	21.28%	33.87%	12.90%	30.00%	13.04%	15.79%	31.58%	26.32%	5.26%	9.09%	21.05%	36.84%	5.56%	7.14%	0.00%	7.14%	10.00%	7.14%	50.00%	21.43%	28.57%	6.67%	14.29%	70.00%	25.00%	0.00%	20.00%	0.00%	35.71%	23.08%	7.69%	14.29%	44.44%	20.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4909	232	216	202	207	174	150	223	306	197	186	206	213	171	155	197	209	187	213	202	219	183	191	133	171	13	10	8	14	3	3	8	3	2	6	10	4	2	6	3	3	3	6	1	0	2	6	5	8	2	3	5	3	2	6	3	2	3	1	7					
