Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1051	УИК №1052					
1	"Число избирателей, внесенных в списки избирателей"	60219	2819	2145	2529	2470	2564	2222	2799	2501	2028	2687	2952	2550	2853	1922	2433	2641	2611	2614	2423	2013	2454	2533	2325	1950	121	151	55	63	21	20	22	22	20	22	19	23	19	19	19	20	20	22	19	21	19	18	17	17	18	17	16	15	18	15	15	15	16	15	17	16	10	10	13	12	14	12	13	12	13	12	9	9	8	29	23					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	52853	2500	1900	2100	2200	2300	2000	2500	1500	1600	2400	2600	2300	2400	1700	2100	2400	2300	2300	2200	1800	2200	2200	2000	1700	200	200	200	200	25	20	25	22	20	22	19	28	25	19	19	20	20	22	25	21	22	18	20	20	18	17	16	20	18	20	20	15	16	20	20	18	10	12	15	12	14	12	13	12	13	12	9	9	8	29	23					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31395	1357	988	1125	1315	1291	1229	1362	1372	906	1455	1580	1199	1347	786	1339	1468	1471	1455	1364	1086	1307	1440	1023	990	113	138	54	50	21	20	22	22	20	22	19	23	19	19	18	19	20	21	19	21	19	18	17	17	18	17	15	15	18	15	15	15	15	15	17	16	10	10	13	12	14	12	13	12	13	12	9	9	8	28	23					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	435	28	20	19	7	20	14	13	2	20	16	13	23	15	33	19	29	18	20	24	10	22	21	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	21023	1115	892	956	878	989	757	1125	126	674	929	1007	1078	1038	881	742	903	811	825	812	704	871	739	959	699	87	62	146	150	4	0	3	0	0	0	0	5	6	0	1	1	0	1	6	0	3	0	3	3	0	0	1	5	0	5	5	0	1	5	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	435	28	20	19	7	20	14	13	2	20	16	13	23	15	33	19	29	18	20	24	10	22	21	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31363	1357	988	1123	1314	1291	1227	1349	1372	905	1452	1580	1199	1347	786	1335	1468	1471	1455	1361	1086	1306	1439	1023	989	113	138	54	50	21	20	22	22	20	22	19	23	19	19	18	19	20	21	19	21	19	18	17	17	18	17	15	15	18	15	15	15	15	15	17	16	10	10	13	12	14	12	13	12	13	12	9	9	8	28	23					
9	Число недействительных избирательных бюллетеней	273	14	10	9	17	7	13	11	6	9	19	15	6	14	6	6	8	21	16	6	12	8	11	5	7	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	31525	1371	998	1133	1304	1304	1228	1351	1368	916	1449	1578	1216	1348	813	1348	1489	1468	1459	1379	1084	1320	1449	1036	993	113	138	53	49	19	20	22	22	20	22	19	23	18	19	18	19	18	21	19	21	19	14	17	17	18	17	15	15	17	14	14	15	14	15	17	15	10	10	13	12	14	12	13	12	13	12	9	9	8	28	22					
