Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Покачевская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110					
1	"Число избирателей, внесенных в списки"	13047	1333	1510	1792	1255	1658	1649	1715	2135					
2	"Число бюллетеней, полученных участковыми комиссиями"	11390	1220	1250	1640	1200	1470	1550	1370	1690					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8147	852	1075	1140	883	1112	1111	1061	913					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	143	10	9	66	12	9	11	17	9					
6	Число погашенных бюллетеней	3100	358	166	434	305	349	428	292	768					
7	Число бюллетеней в переносных ящиках для голосования	143	10	9	66	12	9	11	17	9					
8	Число бюллетеней в стационарных ящиках для голосования	8147	852	1075	1140	883	1112	1111	1061	913					
9	Число недействительных бюллетеней	100	13	9	13	5	12	14	15	19					
10	Число действительных бюллетеней	8190	849	1075	1193	890	1109	1108	1063	903					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	294	30	30	40	28	45	50	30	41					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	120	13	10	20	15	16	26	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	278	13	10	26	23	20	11	34	141					
14	Число погашенных открепительных удостоверений	174	17	20	20	13	29	24	20	31					
15	Число открепительных удостоверений выданных ТИК	56	7	2	9	10	9	8	8	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	135	17	11	16	8	21	14	31	17					
		1.62%	1.97%	1.01%	1.32%	0.89%	1.87%	1.24%	2.87%	1.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	208	24	31	37	35	25	27	14	15					
		2.50%	2.78%	2.85%	3.06%	3.91%	2.23%	2.40%	1.29%	1.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	201	22	28	35	25	27	32	21	11					
		2.42%	2.55%	2.58%	2.90%	2.79%	2.40%	2.85%	1.94%	1.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	299	41	40	60	45	35	44	14	20					
		3.60%	4.75%	3.69%	4.97%	5.02%	3.12%	3.92%	1.29%	2.16%					
22	"5. ""За Русь Святую"""	44	1	9	3	0	11	4	8	8					
		0.53%	0.11%	0.83%	0.24%	0.0%	0.98%	0.35%	0.74%	0.86%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	1	4	1	6	1	1	2	0					
		0.19%	0.11%	0.36%	0.08%	0.67%	0.08%	0.08%	0.18%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	69	2	6	17	8	12	9	10	5					
		0.83%	0.23%	0.55%	1.40%	0.89%	1.07%	0.80%	0.92%	0.54%					
25	"8. ""Народно-республиканская партия России"""	10	1	2	1	2	0	1	2	1					
		0.12%	0.11%	0.18%	0.08%	0.22%	0.0%	0.08%	0.18%	0.10%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	2	3	4	5	5	6	2	0					
		0.32%	0.23%	0.27%	0.33%	0.55%	0.44%	0.53%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	189	23	20	41	16	20	20	21	28					
		2.27%	2.66%	1.84%	3.39%	1.78%	1.78%	1.78%	1.94%	3.03%					
28	"11. ""Истинные патриоты России"""	93	5	12	11	5	12	10	19	19					
		1.12%	0.58%	1.10%	0.91%	0.55%	1.07%	0.89%	1.76%	2.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	69	6	6	17	9	9	7	10	5					
		0.83%	0.69%	0.55%	1.40%	1.00%	0.80%	0.62%	0.92%	0.54%					
30	"13. ""Демократическая партия России"""	25	1	2	3	3	7	5	1	3					
		0.30%	0.11%	0.18%	0.24%	0.33%	0.62%	0.44%	0.09%	0.32%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	2	3	2	1	3	3	6	7					
		0.32%	0.23%	0.27%	0.16%	0.11%	0.26%	0.26%	0.55%	0.75%					
32	"15. ""Партия СЛОН"""	14	2	2	1	3	1	3	1	1					
		0.16%	0.23%	0.18%	0.08%	0.33%	0.08%	0.26%	0.09%	0.10%					
33	"16. ""Родина"" (народно-патриотический союз)"""	392	37	63	73	37	54	53	38	37					
		4.72%	4.29%	5.81%	6.05%	4.13%	4.81%	4.72%	3.52%	4.01%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	1	7	5	1	1	1	5	6					
		0.32%	0.11%	0.64%	0.41%	0.11%	0.08%	0.08%	0.46%	0.65%					
35	"18. ""ЛДПР"""	1499	150	203	197	152	200	220	209	168					
		18.08%	17.40%	18.72%	16.33%	16.98%	17.84%	19.60%	19.38%	18.22%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	86	11	13	10	9	7	12	16	8					
		1.03%	1.27%	1.19%	0.82%	1.00%	0.62%	1.06%	1.48%	0.86%					
37	"20. ""Политическая партия ""Единая Россия"""	2832	314	382	421	345	390	429	348	203					
		34.16%	36.42%	35.23%	34.90%	38.54%	34.79%	38.23%	32.28%	22.01%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	1	1	2	2	3	1	2					
		0.14%	0.0%	0.09%	0.08%	0.22%	0.17%	0.26%	0.09%	0.21%					
39	"22. ""Развитие предпринимательства"""	22	1	6	5	0	3	0	5	2					
		0.26%	0.11%	0.55%	0.41%	0.0%	0.26%	0.0%	0.46%	0.21%					
