Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Артемовская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109					
1	"Число избирателей, внесенных в списки избирателей"	79548	1884	1849	1681	934	2434	2742	1225	2047	1215	918	1555	1654	2186	1500	1331	1836	1911	2616	1302	1585	1409	1073	878	652	2054	1877	1218	808	2375	1957	1275	1059	2846	209	2605	1424	2293	1047	894	1408	1306	3021	1632	2114	1959	688	1715	1007	548	254	241	480	366	451					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	73570	1700	1700	1600	900	2300	2500	1100	1800	1800	800	1500	1500	2000	1300	1200	1600	1800	2400	1100	1400	1300	900	700	600	1900	1800	1000	600	2000	1800	1150	900	2500	400	2600	1400	2200	900	800	1300	1200	2800	1500	2000	1800	600	1900	800	490	243	300	445	340	402					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46751	1258	834	1107	506	1448	1370	466	1202	1189	567	1107	882	1101	674	663	995	1157	1444	745	783	802	703	461	356	1250	1071	692	524	1392	1023	1009	532	1412	193	1585	824	1286	726	558	898	938	1650	880	1034	1114	426	1287	642	443	221	241	405	300	375					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2143	18	24	20	65	37	76	111	53	26	22	28	18	37	26	85	34	44	35	34	42	26	36	58	10	36	60	44	21	57	40	17	48	32	16	38	38	136	28	38	18	26	28	33	37	38	6	160	99	38	9	0	26	11	0					
6	Число погашенных избирательных бюллетеней	24676	424	842	473	329	815	1054	523	545	585	211	365	600	862	600	452	571	599	921	321	575	472	161	181	234	614	669	264	55	551	737	124	320	1056	191	977	538	778	146	204	384	236	1122	587	929	648	168	453	59	9	13	59	14	29	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2143	18	24	20	65	37	76	111	53	26	22	28	18	37	26	85	34	44	35	34	42	26	36	58	10	36	60	44	21	57	40	17	48	32	16	38	38	136	28	38	18	26	28	33	37	38	6	160	99	38	9	0	26	11	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46745	1258	834	1107	506	1448	1370	466	1202	1189	567	1107	882	1101	674	663	995	1157	1444	745	783	802	702	461	356	1250	1071	691	524	1392	1023	1009	532	1410	193	1585	824	1286	724	558	898	938	1650	880	1034	1114	426	1287	642	443	221	241	405	300	375					
9	Число недействительных избирательных бюллетеней	666	8	4	0	6	1	12	1	6	9	2	7	14	19	5	15	4	9	74	8	11	16	7	3	3	19	19	6	4	9	8	9	1	20	2	10	15	21	10	6	10	8	32	60	14	18	9	23	1	29	4	29	3	19	4					
10	Число действительных избирательных бюллетеней	48222	1268	854	1127	565	1484	1434	576	1249	1206	587	1128	886	1119	695	733	1025	1192	1405	771	814	812	731	516	363	1267	1112	729	541	1440	1055	1017	579	1422	207	1613	847	1401	742	590	906	956	1646	853	1057	1134	423	1424	740	452	226	212	428	292	371					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2035	45	45	45	25	60	70	30	50	60	20	40	40	50	35	30	50	50	65	30	40	35	25	20	15	50	50	30	20	60	50	30	25	70	10	70	40	60	25	20	30	35	75	40	55	50	20	55	25	15	5	0	10	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1190	12	20	17	5	24	19	4	18	30	9	29	31	28	18	13	42	45	49	19	30	19	13	9	7	45	45	18	13	45	50	23	17	58	1	48	20	23	17	8	24	18	31	11	15	27	3	55	17	9	1	0	10	16	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1013	10	17	4	12	11	15	7	19	9	38	17	12	20	23	13	35	14	38	30	21	19	19	3	11	18	25	64	132	51	9	14	61	15	9	10	7	8	5	5	5	5	16	9	11	7	19	17	18	2	7	25	8	2	12					
14	Число погашенных неиспользованных открепительных удостоверений	845	33	25	28	20	36	51	26	32	30	11	11	9	22	17	17	8	5	16	11	10	16	12	11	8	5	5	12	7	15	0	7	8	12	9	22	20	37	8	12	6	17	44	29	40	23	17	0	8	6	4	0	0	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	0	1	2	0	2	0	0	1	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	1	1	2	0	2	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
