Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Территориальная избирательная комиссия Курского района																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655					
1	"Число избирателей, внесенных в списки избирателей"	43623	273	1134	290	404	203	329	481	191	335	416	296	1436	572	1385	735	495	1531	1287	549	1638	2756	554	1644	384	460	445	880	614	1748	314	262	224	528	793	964	443	140	814	1432	311	358	937	380	214	539	1316	1033	124	431	1291	1052	338	134	214	258	730	531	574	1073	1021	1231	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39674	246	1024	262	379	194	317	447	181	317	384	275	1321	533	1273	649	451	1461	1185	503	1407	2280	487	1417	363	429	427	810	583	1616	298	240	209	482	749	892	424	139	746	1316	290	328	868	346	199	479	1227	978	127	381	1158	987	314	124	200	243	689	495	492	918	848	1121	146					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21999	139	576	90	142	86	172	238	100	187	200	148	663	266	591	299	203	769	589	289	1085	1867	382	1117	135	179	182	584	312	820	141	126	77	216	326	430	275	85	335	727	160	175	671	187	111	198	549	456	47	152	577	551	159	64	97	140	289	193	276	463	577	701	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3322	25	54	52	72	42	47	20	25	23	42	30	29	44	73	90	52	43	141	50	10	5	8	15	86	100	49	28	28	78	17	29	86	85	33	25	46	20	63	96	48	61	43	52	30	76	59	125	25	97	99	91	54	28	59	67	126	103	40	63	63	25	27					
6	Число погашенных избирательных бюллетеней	14353	82	394	120	165	66	98	189	56	107	142	97	629	223	609	260	196	649	455	164	312	408	97	285	142	150	196	198	243	718	140	85	46	181	390	437	103	34	348	493	82	92	154	107	58	205	619	397	55	132	482	345	101	32	44	36	274	199	176	392	208	395	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3322	25	54	52	72	42	47	20	25	23	42	30	29	44	73	90	52	43	141	50	10	5	8	15	86	100	49	28	28	78	17	29	86	85	33	25	46	20	63	96	48	61	43	52	30	76	59	125	25	97	99	91	54	28	59	67	126	103	40	63	63	25	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21996	139	576	90	142	86	172	238	100	187	200	148	663	266	591	299	203	769	589	289	1084	1866	382	1117	135	179	182	584	312	820	141	126	77	216	325	430	275	85	335	727	160	175	671	187	111	198	549	456	47	152	577	551	159	64	97	140	289	193	276	463	577	701	58					
9	Число недействительных избирательных бюллетеней	284	0	4	3	0	3	4	2	2	2	4	0	5	2	14	7	0	8	3	5	15	23	4	18	1	2	7	6	2	9	1	2	0	2	1	5	8	5	6	7	3	5	3	5	4	4	9	7	0	3	5	8	3	0	1	4	4	2	8	6	0	7	1					
10	Число действительных избирательных бюллетеней	25034	164	626	139	214	125	215	256	123	208	238	178	687	308	650	382	255	804	727	334	1079	1848	386	1114	220	277	224	606	338	889	157	153	163	299	357	450	313	100	392	816	205	231	711	234	137	270	599	574	72	246	671	634	210	92	155	203	411	294	308	520	640	719	84					
