Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Нижнесалдинская городская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13963	2760	2766	2651	1542	1313	474	1944	278	171	64									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13710	2800	2750	2650	1600	1200	450	1850	200	140	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5475	1208	1208	1205	482	490	127	573	108	49	25									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	168	17	51	12	61	6	2	7	1	6	5									
6	Число погашенных избирательных бюллетеней	8067	1575	1491	1433	1057	704	321	1270	91	85	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	168	17	51	12	61	6	2	7	1	6	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5473	1206	1208	1205	482	490	127	573	108	49	25									
9	Число недействительных избирательных бюллетеней	195	46	52	38	14	12	5	20	5	3	0									
10	Число действительных избирательных бюллетеней	5446	1177	1207	1179	529	484	124	560	104	52	30									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	30	30	30	20	15	10	20	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	5	13	7	4	4	0	3	1	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	4	0	5	2	1	2	1	0	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	132	25	17	23	16	11	10	17	9	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	65	9	19	12	6	10	2	6	0	0	1									
		1.15%	0.74%	1.51%	0.99%	1.10%	2.02%	1.55%	1.03%	0.00%	0.00%	3.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	162	37	25	42	21	11	7	12	3	3	1									
		2.87%	3.03%	1.99%	3.45%	3.87%	2.22%	5.43%	2.07%	2.75%	5.45%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	126	34	31	24	6	10	2	15	1	3	0									
		2.23%	2.78%	2.46%	1.97%	1.10%	2.02%	1.55%	2.59%	0.92%	5.45%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2332	526	497	468	251	210	40	258	50	19	13									
		41.34%	43.01%	39.48%	38.46%	46.22%	42.34%	31.01%	44.48%	45.87%	34.55%	43.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	10	11	9	1	3	0	4	1	0	0									
		0.69%	0.82%	0.87%	0.74%	0.18%	0.60%	0.00%	0.69%	0.92%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	2	3	3	4	3	3	3	0	0	0									
		0.37%	0.16%	0.24%	0.25%	0.74%	0.60%	2.33%	0.52%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1084	214	215	231	109	106	35	128	24	12	10									
		19.22%	17.50%	17.08%	18.98%	20.07%	21.37%	27.13%	22.07%	22.02%	21.82%	33.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	35	8	5	12	2	3	0	4	1	0	0									
		0.62%	0.65%	0.40%	0.99%	0.37%	0.60%	0.00%	0.69%	0.92%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	42	10	12	6	5	5	2	2	0	0	0									
		0.74%	0.82%	0.95%	0.49%	0.92%	1.01%	1.55%	0.34%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	3	0	1	1	0	0	0	0	0	0									
		0.09%	0.25%	0.00%	0.08%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
