Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Куньинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544					
1	"Число избирателей, внесенных в списки"	9656	1488	873	347	156	240	375	343	722	297	247	261	457	406	313	287	305	327	278	161	1155	335	283					
2	"Число бюллетеней, полученных участковыми комиссиями"	9752	1505	890	357	164	240	377	354	739	304	252	271	465	392	318	291	310	328	278	157	1141	331	288					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4019	712	417	191	44	58	76	111	275	112	110	49	233	214	137	106	150	132	98	74	433	182	105					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2342	66	18	13	75	79	182	141	163	133	81	169	127	116	116	124	90	97	123	50	241	50	88					
6	Число погашенных бюллетеней	3391	727	455	153	45	103	119	102	301	59	61	53	105	62	65	61	70	99	57	33	467	99	95					
7	Число бюллетеней в переносных ящиках для голосования	2342	66	18	13	75	79	182	141	163	133	81	169	127	116	116	124	90	97	123	50	241	50	88					
8	Число бюллетеней в стационарных ящиках для голосования	4019	712	417	191	44	58	76	111	275	112	110	49	233	214	137	106	150	132	98	74	433	182	105					
9	Число недействительных бюллетеней	74	19	2	1	0	2	0	2	6	1	0	0	4	3	0	0	1	0	9	2	7	8	7					
10	Число действительных бюллетеней	6287	759	433	203	119	135	258	250	432	244	191	218	356	327	253	230	239	229	212	122	667	224	186					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	28	10	10	5	5	5	5	8	5	8	5	8	8	8	8	8	10	5	5	10	8	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	13	8	5	1	1	0	1	2	1	0	0	0	0	1	0	1	0	0	0	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	7	3	0	0	1	3	2	3	3	0	1	0	2	1	2	0	2	4	4	10	5	4					
14	Число погашенных открепительных удостоверений	142	15	2	5	4	4	5	4	6	4	8	5	8	8	7	8	7	10	5	5	6	8	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	100	10	11	5	3	1	3	5	6	2	4	2	8	3	0	1	6	4	3	5	11	5	2					
		1.57%	1.28%	2.52%	2.45%	2.52%	0.72%	1.16%	1.98%	1.36%	0.81%	2.09%	0.91%	2.22%	0.90%	0.0%	0.43%	2.5%	1.74%	1.35%	4.03%	1.63%	2.15%	1.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	110	11	20	5	2	1	3	6	9	2	4	0	1	12	4	0	0	3	9	1	12	4	1					
		1.72%	1.41%	4.59%	2.45%	1.68%	0.72%	1.16%	2.38%	2.05%	0.81%	2.09%	0.0%	0.27%	3.63%	1.58%	0.0%	0.0%	1.31%	4.07%	0.80%	1.78%	1.72%	0.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	243	38	12	6	4	9	10	12	12	6	6	5	10	10	8	0	7	7	18	6	27	17	13					
		3.82%	4.88%	2.75%	2.94%	3.36%	6.56%	3.87%	4.76%	2.73%	2.44%	3.14%	2.29%	2.77%	3.03%	3.16%	0.0%	2.91%	3.05%	8.14%	4.83%	4.00%	7.32%	6.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	80	14	6	1	1	1	4	1	4	2	1	2	2	2	2	0	2	4	1	4	17	8	1					
		1.25%	1.79%	1.37%	0.49%	0.84%	0.72%	1.55%	0.39%	0.91%	0.81%	0.52%	0.91%	0.55%	0.60%	0.79%	0.0%	0.83%	1.74%	0.45%	3.22%	2.52%	3.44%	0.51%					
22	"5. ""За Русь Святую"""	38	5	2	2	1	1	1	1	2	1	1	1	1	1	1	0	2	1	2	2	7	2	1					
		0.59%	0.64%	0.45%	0.98%	0.84%	0.72%	0.38%	0.39%	0.45%	0.40%	0.52%	0.45%	0.27%	0.30%	0.39%	0.0%	0.83%	0.43%	0.90%	1.61%	1.03%	0.86%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	4	0	1	0	1	2	3	4	0	1	2	0	1	0	0	1	0	0	1	0	0	1					
		0.34%	0.51%	0.0%	0.49%	0.0%	0.72%	0.77%	1.19%	0.91%	0.0%	0.52%	0.91%	0.0%	0.30%	0.0%	0.0%	0.41%	0.0%	0.0%	0.80%	0.0%	0.0%	0.51%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	6	1	0	0	0	0	1	1	2	1	0	1	0	0	0	0	1	0	1	3	0	2					
		0.31%	0.77%	0.22%	0.0%	0.0%	0.0%	0.0%	0.39%	0.22%	0.81%	0.52%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.80%	0.44%	0.0%	1.03%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	0	0	2	1	2	4	0	0	0	0	1	0	0	0	0	0	0	1	0	1					
		0.18%	0.0%	0.0%	0.0%	0.0%	1.45%	0.38%	0.79%	0.91%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.51%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0					
		0.12%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.52%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.14%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	207	14	11	7	3	3	15	11	18	16	8	11	13	0	22	8	9	1	5	0	18	9	5					
