Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Сусуманская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72					
1	"Число избирателей, внесенных в список избирателей"	6298	1987	1586	127	518	138	63	653	12	99	1115					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6762	1993	1704	142	531	167	62	768	44	98	1253					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	4	0	0	0	0	2					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2599	708	684	42	151	30	33	270	12	55	614					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	56	12	16	0	5	0	0	18	0	2	3					
6	Число погашенных избирательных бюллетеней	4101	1273	1004	100	375	133	29	480	32	41	634					
7	Число избирательных бюллетеней в переносных ящиках для голосования	62	12	16	0	5	4	0	18	0	2	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2599	708	684	42	151	30	33	270	12	55	614					
9	Число недействительных избирательных бюллетеней	48	19	6	0	1	3	0	8	0	1	10					
10	Число действительных избирательных бюллетеней	2613	701	694	42	155	31	33	280	12	56	609					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	209	41	49	10	17	23	10	23	15	5	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	145	29	31	1	5	23	1	23	15	2	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	17	23	1	2	1	4	4	3	2	11					
14	Число погашенных неиспользованных открепительных удостоверений	64	12	18	9	12	0	9	0	0	3	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	6	2	0	0	1	0	1	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	302	92	40	7	26	2	5	35	1	8	86					
		11.35%	12.78%	5.71%	16.67%	16.67%	5.88%	15.15%	12.15%	8.33%	14.04%	13.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	449	120	120	6	22	10	5	47	1	27	91					
		16.87%	16.67%	17.14%	14.29%	14.10%	29.41%	15.15%	16.32%	8.33%	47.37%	14.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	11	4	1	2	0	0	4	0	0	5					
		1.01%	1.53%	0.57%	2.38%	1.28%	0.00%	0.00%	1.39%	0.00%	0.00%	0.81%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	426	117	96	4	26	1	5	49	1	7	120					
		16.01%	16.25%	13.71%	9.52%	16.67%	2.94%	15.15%	17.01%	8.33%	12.28%	19.39%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	21	7	4	5	0	0	7	0	4	6					
		2.03%	2.92%	1.00%	9.52%	3.21%	0.00%	0.00%	2.43%	0.00%	7.02%	0.97%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1348	339	424	20	74	18	17	137	9	10	300					
		50.66%	47.08%	60.57%	47.62%	47.44%	52.94%	51.52%	47.57%	75.00%	17.54%	48.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	1	3	0	0	0	1	1	0	0	1					
		0.26%	0.14%	0.43%	0.00%	0.00%	0.00%	3.03%	0.35%	0.00%	0.00%	0.16%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
