Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Бураевская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135					
1	"Число избирателей, внесенных в список"	20080	1155	1158	517	567	527	516	1075	1027	230	85	315	239	158	364	579	332	237	570	347	99	219	273	278	481	594	209	336	381	235	213	267	88	324	220	165	314	326	200	147	140	380	182	456	201	148	123	408	214	317	266	360	142	635	217	337	187					
2	Число полученных избирательных бюллетеней	20718	1155	1258	546	579	576	525	1099	1084	231	90	330	249	158	387	589	348	237	570	350	102	223	288	280	532	596	212	334	388	237	215	269	89	334	230	168	334	336	209	147	140	390	183	456	205	148	132	412	223	317	270	391	149	642	232	343	201					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18532	1126	1112	511	552	509	478	999	889	196	75	222	233	113	359	521	307	205	552	335	94	206	236	266	384	539	197	318	341	235	200	246	46	303	210	153	295	319	188	147	140	368	175	370	182	134	113	374	195	280	250	303	123	623	195	307	183					
5	"Число избирательных бюллетеней, выданных вне помещения"	1475	27	39	6	11	18	37	70	130	32	10	93	6	45	5	56	25	30	18	9	5	13	37	12	97	55	12	16	38	0	13	21	42	21	10	12	19	7	12	0	0	12	7	60	19	13	10	33	19	37	16	57	19	9	22	30	3					
6	Число погашенных избирательных бюллетеней	711	2	107	29	16	49	10	30	65	3	5	15	10	0	23	12	16	2	0	6	3	4	15	2	51	2	3	0	9	2	2	2	1	10	10	3	20	10	9	0	0	10	1	26	4	1	9	5	9	0	4	31	7	10	15	6	15					
7	Число избирательных бюллетеней в переносных ящиках	1475	27	39	6	11	18	37	70	130	32	10	93	6	45	5	56	25	30	18	9	5	13	37	12	97	55	12	16	38	0	13	21	42	21	10	12	19	7	12	0	0	12	7	60	19	13	10	33	19	37	16	57	19	9	22	30	3					
8	Число бюллетеней в стационарных ящиках для голосования	18532	1126	1112	511	552	509	478	999	889	196	75	222	233	113	359	521	307	205	552	335	94	206	236	266	384	539	197	318	341	235	200	246	46	303	210	153	295	319	188	147	140	368	175	370	182	134	113	374	195	280	250	303	123	623	195	307	183					
9	Число недействительных избирательных бюллетеней	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	20002	1153	1151	517	563	527	514	1069	1018	228	85	315	239	158	364	577	332	235	570	344	99	219	273	277	481	594	209	334	379	235	213	267	88	324	220	165	314	326	200	147	140	380	182	430	201	147	122	407	214	316	266	360	142	632	217	337	186					
