Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																										
																																																																										
Наименование Избирательной комиссии:    Куйтунская																																																																										
																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																										
																																																																										
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862					
1	"Число избирателей, внесенных в списки"	26212	1009	1041	777	908	418	546	707	419	941	762	534	167	148	202	191	250	121	125	350	125	898	147	180	60	326	178	368	37	184	289	41	251	1060	240	132	80	674	931	42	597	653	161	250	1387	94	161	162	136	124	123	477	210	150	237	243	495	1045	145	1012	243	661	333	152	629	119	232	122					
2	"Число бюллетеней, полученных участковыми комиссиями"	26800	1036	1039	789	927	428	549	718	430	959	766	547	169	156	206	196	261	124	132	356	125	913	151	182	70	329	177	372	39	188	305	42	263	1061	244	131	84	711	984	44	621	674	164	257	1416	91	159	165	139	123	125	489	215	153	239	254	511	1062	146	1045	244	701	335	160	632	120	234	123					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11827	326	364	279	310	126	154	230	152	233	268	218	88	85	77	79	146	74	79	187	81	310	98	85	41	237	146	183	34	156	191	28	139	519	121	68	58	352	343	29	280	344	104	175	521	69	99	81	79	68	100	253	108	117	169	124	166	450	83	453	152	359	189	89	256	52	127	66					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	474	20	31	11	5	2	5	1	8	3	6	10	0	0	0	6	19	0	2	13	0	25	0	10	0	0	0	0	0	0	3	0	7	26	0	0	8	39	16	5	37	0	0	0	19	1	0	10	0	0	0	11	0	0	0	15	0	0	0	15	0	9	0	0	19	4	27	26					
6	Число погашенных бюллетеней	14499	690	644	499	612	300	390	487	270	723	492	319	81	71	129	111	96	50	51	156	44	578	53	87	29	92	31	189	5	32	111	14	117	516	123	63	18	320	625	10	304	330	60	82	876	21	60	74	60	55	25	225	107	36	70	115	345	612	63	577	92	333	146	71	357	64	80	31					
7	Число бюллетеней в переносных ящиках для голосования	474	20	31	11	5	2	5	1	8	3	6	10	0	0	0	6	19	0	2	13	0	25	0	10	0	0	0	0	0	0	3	0	7	26	0	0	8	39	16	5	37	0	0	0	19	1	0	10	0	0	0	11	0	0	0	15	0	0	0	15	0	9	0	0	19	4	27	26					
8	Число бюллетеней в стационарных ящиках для голосования	11827	326	364	279	310	126	154	230	152	233	268	218	88	85	77	79	146	74	79	187	81	310	98	85	41	237	146	183	34	156	191	28	139	519	121	68	58	352	343	29	280	344	104	175	521	69	99	81	79	68	100	253	108	117	169	124	166	450	83	453	152	359	189	89	256	52	127	66					
9	Число недействительных бюллетеней	221	6	6	7	5	3	7	2	4	6	4	11	7	5	2	1	0	1	3	2	2	4	1	2	0	4	1	2	1	0	0	0	4	18	0	2	1	4	9	2	2	2	1	4	13	0	0	0	2	1	2	1	1	0	0	5	3	2	0	11	2	11	4	3	6	1	2	3					
10	Число действительных бюллетеней	12080	340	389	283	310	125	152	229	156	230	270	217	81	80	75	84	165	73	78	198	79	331	97	93	41	233	145	181	33	156	194	28	142	527	121	66	65	387	350	32	315	342	103	171	527	70	99	91	77	67	98	263	107	117	169	134	163	448	83	457	150	357	185	86	269	55	152	89					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	6	5	5	5	4	5	5	4	5	5	5	2	2	2	2	2	2	2	2	2	6	2	2	2	3	2	4	1	2	2	1	2	6	2	2	2	5	5	1	4	4	2	2	6	2	2	2	2	2	2	2	2	2	2	2	3	6	2	5	2	3	2	2	4	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	3	5	5	5	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	5	0	2	4	0	1	0	0	1	1	1	0	1	3	1	1	0	1	1	2	2	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	1	1	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	1	0	1					
14	Число погашенных открепительных удостоверений	165	3	0	0	0	0	5	5	4	5	1	5	2	2	2	2	2	2	2	2	2	5	2	2	2	3	2	2	1	2	2	1	2	3	2	2	2	5	4	1	4	4	2	2	6	2	2	2	2	2	2	2	2	2	2	2	3	6	2	5	2	2	2	2	4	2	2	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	"1. ""ЕДИНЕНИЕ"""	206	2	6	2	5	8	5	5	0	1	4	5	3	5	0	3	0	0	0	5	1	4	2	1	1	6	5	3	0	3	1	0	2	14	0	1	0	4	10	0	4	5	3	6	8	0	7	1	1	2	1	7	1	3	1	0	5	4	2	8	2	6	6	1	3	2	0	0					
		1.67%	0.57%	1.51%	0.68%	1.58%	6.25%	3.14%	2.16%	0.0%	0.42%	1.45%	2.19%	3.40%	5.88%	0.0%	3.52%	0.0%	0.0%	0.0%	2.5%	1.23%	1.19%	2.04%	1.05%	2.43%	2.53%	3.42%	1.63%	0.0%	1.92%	0.51%	0.0%	1.36%	2.56%	0.0%	1.47%	0.0%	1.02%	2.78%	0.0%	1.26%	1.45%	2.88%	3.42%	1.48%	0.0%	7.07%	1.09%	1.26%	2.94%	1.0%	2.65%	0.92%	2.56%	0.59%	0.0%	3.01%	0.88%	2.40%	1.70%	1.31%	1.63%	3.17%	1.12%	1.09%	3.57%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	88	5	4	2	3	2	2	1	2	4	4	1	0	1	0	0	0	0	7	0	1	7	1	0	2	0	0	5	0	0	1	0	0	0	1	0	0	2	0	0	1	4	1	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	1	1	2	0	2	0	2	0					
		0.71%	1.44%	1.01%	0.68%	0.95%	1.56%	1.25%	0.43%	1.25%	1.69%	1.45%	0.43%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	8.64%	0.0%	1.23%	2.08%	1.02%	0.0%	4.87%	0.0%	0.0%	2.73%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.51%	0.0%	0.0%	0.31%	1.16%	0.96%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.36%	0.0%	0.0%	0.0%	1.20%	0.42%	0.65%	0.27%	1.05%	0.0%	0.72%	0.0%	1.29%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	332	10	18	14	15	2	6	9	6	16	17	5	1	2	1	3	2	3	2	4	10	5	3	3	0	3	5	3	0	3	1	0	4	16	5	1	6	5	9	0	3	5	1	5	9	3	1	7	4	2	3	3	2	2	0	3	3	10	1	14	4	12	1	1	6	1	3	5					
		2.69%	2.89%	4.55%	4.82%	4.76%	1.56%	3.77%	3.89%	3.75%	6.77%	6.20%	2.19%	1.13%	2.35%	1.29%	3.52%	1.21%	4.05%	2.46%	2.0%	12.34%	1.49%	3.06%	3.15%	0.0%	1.26%	3.42%	1.63%	0.0%	1.92%	0.51%	0.0%	2.73%	2.93%	4.13%	1.47%	9.09%	1.27%	2.50%	0.0%	0.94%	1.45%	0.96%	2.85%	1.66%	4.28%	1.01%	7.69%	5.06%	2.94%	3.0%	1.13%	1.85%	1.70%	0.0%	2.15%	1.80%	2.22%	1.20%	2.99%	2.63%	3.26%	0.52%	1.12%	2.18%	1.78%	1.94%	5.43%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	138	4	3	6	7	5	3	1	1	6	1	4	2	0	0	2	2	1	0	9	2	2	1	1	1	0	0	1	0	0	0	0	2	12	0	0	0	3	2	0	4	4	3	1	5	0	3	0	0	0	1	1	2	1	3	3	7	5	0	4	0	1	0	1	1	0	1	3					
		1.12%	1.15%	0.75%	2.06%	2.22%	3.90%	1.88%	0.43%	0.62%	2.54%	0.36%	1.75%	2.27%	0.0%	0.0%	2.35%	1.21%	1.35%	0.0%	4.5%	2.46%	0.59%	1.02%	1.05%	2.43%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	1.36%	2.20%	0.0%	0.0%	0.0%	0.76%	0.55%	0.0%	1.26%	1.16%	2.88%	0.57%	0.92%	0.0%	3.03%	0.0%	0.0%	0.0%	1.0%	0.37%	1.85%	0.85%	1.77%	2.15%	4.21%	1.11%	0.0%	0.85%	0.0%	0.27%	0.0%	1.12%	0.36%	0.0%	0.64%	3.26%					
22	"5. ""За Русь Святую"""	57	2	1	1	1	0	4	2	0	0	2	1	0	0	2	0	1	2	0	2	0	0	2	0	0	5	0	0	0	0	0	0	0	2	1	0	0	1	5	0	3	0	0	0	4	0	1	2	0	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	2					
