Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Называевская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163					
1	"Число избирателей, внесенных в списки избирателей"	21024	1191	1373	1899	1032	1055	651	584	1355	946	87	131	86	87	772	32	85	407	213	424	98	148	139	321	24	86	200	359	75	55	30	550	102	179	134	468	82	53	314	64	950	68	122	74	312	70	75	99	525	35	111	73	53	169	143	319	63	67	348	183	118	150	457	367	83	99					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19592	1000	1030	1600	850	900	600	500	1100	800	92	132	91	89	790	39	85	440	200	450	98	150	150	340	26	88	193	370	79	59	33	560	107	185	137	470	80	57	310	66	950	71	127	93	330	78	82	103	530	35	119	77	56	181	147	310	65	78	350	180	118	156	465	350	91	104					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14095	595	858	1071	672	641	384	328	654	533	83	129	71	76	486	25	77	280	154	366	93	127	104	252	22	75	158	288	73	54	30	425	78	169	111	336	53	42	272	57	731	65	89	74	235	46	72	62	342	22	85	60	50	117	111	288	50	67	246	151	102	108	264	243	52	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1281	54	58	105	68	103	62	27	122	35	0	0	0	0	101	0	0	43	21	17	0	7	24	15	0	0	4	0	0	0	0	25	3	0	0	27	4	0	20	0	35	0	0	0	10	18	0	28	23	2	6	0	0	8	4	0	0	0	25	21	13	15	87	19	13	9					
6	Число погашенных избирательных бюллетеней	4216	351	114	424	110	156	154	145	324	232	9	3	20	13	203	14	8	117	25	67	5	16	22	73	4	13	31	82	6	5	3	110	26	16	26	107	23	15	18	9	184	6	38	19	85	14	10	13	165	11	28	17	6	56	32	22	15	11	79	8	3	33	114	88	26	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1281	54	58	105	68	103	62	27	122	35	0	0	0	0	101	0	0	43	21	17	0	7	24	15	0	0	4	0	0	0	0	25	3	0	0	27	4	0	20	0	35	0	0	0	10	18	0	28	23	2	6	0	0	8	4	0	0	0	25	21	13	15	87	19	13	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14095	595	858	1071	672	641	384	328	654	533	83	129	71	76	486	25	77	280	154	366	93	127	104	252	22	75	158	288	73	54	30	425	78	169	111	336	53	42	272	57	731	65	89	74	235	46	72	62	342	22	85	60	50	117	111	288	50	67	246	151	102	108	264	243	52	61					
9	Число недействительных избирательных бюллетеней	192	9	7	24	12	16	3	4	3	7	0	0	3	0	2	0	0	4	4	8	0	7	3	2	0	4	0	2	0	0	0	2	0	1	1	6	0	2	1	1	11	3	4	0	2	0	2	0	6	0	2	1	0	1	1	7	1	0	0	1	2	1	0	1	5	3					
10	Число действительных избирательных бюллетеней	15184	640	909	1152	728	728	443	351	773	561	83	129	68	76	585	25	77	319	171	375	93	127	125	265	22	71	162	286	73	54	30	448	81	168	110	357	57	40	291	56	755	62	85	74	243	64	70	90	359	24	89	59	50	124	114	281	49	67	271	171	113	122	351	261	60	67					
