Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Называевская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140					
1	"Число избирателей, внесенных в список избирателей"	20135	1193	936	1904	1401	1037	1223	1360	922	94	85	130	75	658	73	412	228	474	94	133	148	316	76	186	310	68	78	539	99	171	111	507	77	836	65	175	368	49	75	300	54	486	29	118	76	149	53	170	276	50	51	299	145	106	156	442	346	73	70					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18770	900	800	1800	1200	850	1000	1100	800	100	86	137	79	670	78	430	215	450	97	162	155	340	77	196	310	73	81	520	101	178	119	490	76	850	62	176	400	60	78	300	58	500	35	119	78	162	53	180	280	52	53	280	152	107	175	420	320	76	74					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11801	517	479	882	777	478	530	574	423	93	74	123	69	383	71	289	169	318	87	123	91	243	71	154	203	64	33	374	81	118	88	298	50	517	54	114	258	35	73	222	47	290	20	85	64	98	44	128	220	38	51	184	105	74	142	315	213	38	45					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1304	80	56	79	80	115	79	84	45	0	0	0	0	114	0	45	7	26	0	10	24	24	0	7	30	0	24	24	0	0	6	41	1	31	0	0	52	0	0	15	0	38	2	7	0	9	0	8	0	0	0	26	6	11	14	48	22	8	6					
6	Число погашенных избирательных бюллетеней	5665	303	265	839	343	257	391	442	332	7	12	14	10	173	7	96	39	106	10	29	40	73	6	35	77	9	24	122	20	60	25	151	25	302	8	62	90	25	5	63	11	172	13	27	14	55	9	44	60	14	2	70	41	22	19	57	85	30	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1304	80	56	79	80	115	79	84	45	0	0	0	0	114	0	45	7	26	0	10	24	24	0	7	30	0	24	24	0	0	6	41	1	31	0	0	52	0	0	15	0	38	2	7	0	9	0	8	0	0	0	26	6	11	14	48	22	8	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11800	517	479	882	777	478	530	574	423	93	74	123	69	383	71	289	169	318	87	123	91	243	71	154	203	64	33	373	81	118	88	298	50	517	54	114	258	35	73	222	47	290	20	85	64	98	44	128	220	38	51	184	105	74	142	315	213	38	45					
9	Число недействительных избирательных бюллетеней	184	6	11	23	16	18	19	13	11	2	0	2	0	6	0	1	1	0	0	1	1	4	1	0	8	0	0	7	2	0	0	4	0	6	0	3	0	0	0	3	0	6	0	0	0	3	0	0	1	0	0	0	0	1	0	3	1	0	0					
10	Число действительных избирательных бюллетеней	12920	591	524	938	841	575	590	645	457	91	74	121	69	491	71	333	175	344	87	132	114	263	70	161	225	64	57	390	79	118	94	335	51	542	54	111	310	35	73	234	47	322	22	92	64	104	44	136	219	38	51	210	111	84	156	360	234	46	51					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	693	15	25	25	37	20	21	30	15	3	2	3	2	50	6	35	5	20	2	5	5	30	3	5	30	4	17	10	2	2	2	9	2	50	2	7	40	6	5	10	2	45	4	5	2	14	2	5	15	2	2	0	2	2	2	15	5	2	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	561	10	20	18	31	19	19	19	14	1	0	1	2	50	6	35	3	20	1	2	5	25	0	4	25	4	7	1	0	2	2	3	0	50	1	0	40	5	2	10	0	45	4	1	0	14	0	4	13	0	1	0	0	0	0	13	5	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	168	10	15	10	12	10	4	16	2	0	3	1	1	2	2	1	1	1	1	2	2	3	1	0	7	1	6	1	1	1	3	1	1	4	4	1	2	0	2	2	1	5	0	1	1	2	3	2	1	1	2	1	1	1	1	4	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	132	5	5	7	6	1	2	11	1	2	2	2	0	0	0	0	2	0	1	3	0	5	3	1	5	0	10	9	2	0	0	6	2	0	1	7	0	1	3	0	2	0	0	4	2	0	2	1	2	2	1	0	2	2	2	2	0	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1190	72	66	82	96	70	57	84	49	2	3	0	4	41	5	34	14	26	3	4	11	32	7	9	27	8	8	36	12	15	6	26	3	56	2	10	17	0	0	19	4	31	1	4	1	16	1	2	10	0	0	28	2	7	5	31	19	10	2					
		9.08%	12.06%	12.34%	8.53%	11.20%	11.80%	9.36%	12.77%	10.47%	2.15%	4.05%	0.00%	5.80%	8.25%	7.04%	10.18%	7.95%	7.56%	3.45%	3.01%	9.57%	11.99%	9.86%	5.59%	11.59%	12.50%	14.04%	9.07%	14.81%	12.71%	6.38%	7.67%	5.88%	10.22%	3.70%	8.77%	5.48%	0.00%	0.00%	8.02%	8.51%	9.45%	4.55%	4.35%	1.56%	14.95%	2.27%	1.47%	4.55%	0.00%	0.00%	13.33%	1.80%	8.24%	3.21%	8.54%	8.09%	21.74%	3.92%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1556	96	76	161	116	79	89	102	83	5	16	2	5	48	3	41	13	27	8	6	16	34	2	11	13	10	9	48	4	12	11	24	1	82	9	13	35	1	0	23	0	40	8	10	6	13	7	1	10	1	0	10	2	8	17	47	31	2	9					
		11.87%	16.08%	14.21%	16.75%	13.54%	13.32%	14.61%	15.50%	17.74%	5.38%	21.62%	1.63%	7.25%	9.66%	4.23%	12.28%	7.39%	7.85%	9.20%	4.51%	13.91%	12.73%	2.82%	6.83%	5.58%	15.63%	15.79%	12.09%	4.94%	10.17%	11.70%	7.08%	1.96%	14.96%	16.67%	11.40%	11.29%	2.86%	0.00%	9.70%	0.00%	12.20%	36.36%	10.87%	9.38%	12.15%	15.91%	0.74%	4.55%	2.63%	0.00%	4.76%	1.80%	9.41%	10.90%	12.95%	13.19%	4.35%	17.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	3	3	5	4	6	2	3	3	1	0	0	1	1	0	2	1	3	0	0	0	4	0	0	1	8	0	3	2	4	0	2	1	8	0	0	5	1	0	3	0	2	0	0	0	1	1	2	0	1	0	1	0	0	0	1	1	0	0					
		0.69%	0.50%	0.56%	0.52%	0.47%	1.01%	0.33%	0.46%	0.64%	1.08%	0.00%	0.00%	1.45%	0.20%	0.00%	0.60%	0.57%	0.87%	0.00%	0.00%	0.00%	1.50%	0.00%	0.00%	0.43%	12.50%	0.00%	0.76%	2.47%	3.39%	0.00%	0.59%	1.96%	1.46%	0.00%	0.00%	1.61%	2.86%	0.00%	1.27%	0.00%	0.61%	0.00%	0.00%	0.00%	0.93%	2.27%	1.47%	0.00%	2.63%	0.00%	0.48%	0.00%	0.00%	0.00%	0.28%	0.43%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2219	112	105	182	205	115	104	107	74	17	6	1	5	104	8	43	14	67	8	28	11	32	4	23	30	2	5	67	9	14	2	57	7	122	11	3	42	1	3	28	12	51	4	16	18	19	4	21	85	8	5	40	24	28	10	27	58	9	2					
		16.93%	18.76%	19.63%	18.94%	23.92%	19.39%	17.08%	16.26%	15.81%	18.28%	8.11%	0.81%	7.25%	20.93%	11.27%	12.87%	7.95%	19.48%	9.20%	21.05%	9.57%	11.99%	5.63%	14.29%	12.88%	3.13%	8.77%	16.88%	11.11%	11.86%	2.13%	16.81%	13.73%	22.26%	20.37%	2.63%	13.55%	2.86%	4.11%	11.81%	25.53%	15.55%	18.18%	17.39%	28.13%	17.76%	9.09%	15.44%	38.64%	21.05%	9.80%	19.05%	21.62%	32.94%	6.41%	7.44%	24.68%	19.57%	3.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	96	5	9	13	11	6	4	1	3	0	9	0	0	1	0	2	2	2	0	0	0	4	1	0	0	0	0	0	0	0	0	3	1	4	0	4	2	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	3	0	0	1	0	0	1					
		0.73%	0.84%	1.68%	1.35%	1.28%	1.01%	0.66%	0.15%	0.64%	0.00%	12.16%	0.00%	0.00%	0.20%	0.00%	0.60%	1.14%	0.58%	0.00%	0.00%	0.00%	1.50%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	1.96%	0.73%	0.00%	3.51%	0.65%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.45%	2.63%	0.00%	0.00%	2.70%	0.00%	0.00%	0.28%	0.00%	0.00%	1.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7708	299	262	486	402	297	332	347	240	66	40	118	54	295	55	209	130	219	67	93	76	156	55	118	153	36	35	231	50	73	75	220	38	270	32	81	209	32	70	158	31	198	9	61	39	54	31	110	113	27	45	130	80	41	123	250	125	25	37					
		58.82%	50.08%	48.97%	50.57%	46.91%	50.08%	54.52%	52.74%	51.28%	70.97%	54.05%	95.93%	78.26%	59.36%	77.46%	62.57%	73.86%	63.66%	77.01%	69.92%	66.09%	58.43%	77.46%	73.29%	65.67%	56.25%	61.40%	58.19%	61.73%	61.86%	79.79%	64.90%	74.51%	49.27%	59.26%	71.05%	67.42%	91.43%	95.89%	66.67%	65.96%	60.37%	40.91%	66.30%	60.94%	50.47%	70.45%	80.88%	51.36%	71.05%	88.24%	61.90%	72.07%	48.24%	78.85%	68.87%	53.19%	54.35%	72.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	61	4	3	9	7	2	2	1	5	0	0	0	0	1	0	2	1	0	1	1	0	1	1	0	1	0	0	5	2	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	0					
