Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Мамско-Чуйская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007					
1	"Число избирателей, внесенных в список избирателей"	4859	1516	1580	141	465	153	434	265	305					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4972	1509	1588	156	453	164	484	286	332					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	18	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2414	715	764	85	231	97	248	143	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	204	51	50	16	19	7	36	13	12					
6	Число погашенных избирательных бюллетеней	2333	743	753	55	203	60	200	130	189					
7	Число избирательных бюллетеней в переносных ящиках для голосования	222	51	68	16	19	7	36	13	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2411	715	761	85	231	97	248	143	131					
9	Число недействительных избирательных бюллетеней	34	11	13	2	4	0	2	0	2					
10	Число действительных избирательных бюллетеней	2599	755	816	99	246	104	282	156	141					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	60	60	15	40	15	40	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	116	3	16	15	6	7	33	20	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	11	15	0	0	0	0	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	154	57	44	0	34	8	7	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	3	3	0	2	0	0	0	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	3	0	3	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	426	119	156	13	29	10	47	22	30					
		16.18%	15.54%	18.82%	12.87%	11.60%	9.62%	16.55%	14.10%	20.98%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	622	186	196	27	53	24	69	41	26					
		23.62%	24.28%	23.64%	26.73%	21.20%	23.08%	24.30%	26.28%	18.18%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	4	8	0	1	0	0	5	3					
		0.80%	0.52%	0.97%	0.00%	0.40%	0.00%	0.00%	3.21%	2.10%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	414	149	138	11	23	13	37	22	21					
		15.72%	19.45%	16.65%	10.89%	9.20%	12.50%	13.03%	14.10%	14.69%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	8	13	0	1	0	1	0	1					
		0.91%	1.04%	1.57%	0.00%	0.40%	0.00%	0.35%	0.00%	0.70%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1083	286	303	47	138	57	127	66	59					
		41.13%	37.34%	36.55%	46.53%	55.20%	54.81%	44.72%	42.31%	41.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	9	3	2	1	1	0	1	0	1					
		0.34%	0.39%	0.24%	0.99%	0.40%	0.00%	0.35%	0.00%	0.70%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
