Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Тогучинская 																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088					
1	"Число избирателей, внесенных в список избирателей"	46085	226	1864	2053	2063	1473	1785	1817	1505	2310	109	837	663	142	902	196	393	2474	2380	2051	845	420	197	200	750	258	138	711	237	223	551	240	214	130	742	409	860	138	863	526	716	700	553	207	89	596	150	223	773	461	702	348	857	586	468	116	98	594	238	40	257	686	105	105	385	415	1722					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42630	210	1670	2000	1900	1320	1600	1600	1350	2100	110	800	600	150	850	180	400	2300	2300	1700	800	400	180	180	700	250	130	670	230	200	500	220	200	120	700	400	800	120	800	500	700	700	500	190	90	550	150	200	700	420	650	300	800	540	450	100	90	560	220	40	250	640	100	100	350	370	1630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	24642	166	999	1148	1306	777	925	992	787	1297	22	502	388	99	389	94	187	1302	1328	1085	511	214	103	143	425	160	81	336	100	127	313	148	107	40	405	214	356	115	445	235	364	412	291	138	56	285	99	135	426	240	412	148	350	195	305	49	60	354	141	29	154	339	63	52	209	273	692					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3175	20	57	94	84	121	94	70	93	108	87	15	25	0	77	34	26	123	94	95	55	50	12	2	65	32	12	36	56	17	45	17	49	65	40	28	244	5	79	79	65	66	35	14	9	34	6	8	46	12	16	36	59	50	31	11	12	43	26	10	19	41	5	13	29	24	150					
6	Число погашенных избирательных бюллетеней	14813	24	614	758	510	422	581	538	470	695	1	283	187	51	384	52	187	875	878	520	234	136	65	35	210	58	37	298	74	56	142	55	44	15	255	158	200	0	276	186	271	222	174	38	25	231	45	57	228	168	222	116	391	295	114	40	18	163	53	1	77	260	32	35	112	73	788					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3175	20	57	94	84	121	94	70	93	108	87	15	25	0	77	34	26	123	94	95	55	50	12	2	65	32	12	36	56	17	45	17	49	65	40	28	244	5	79	79	65	66	35	14	9	34	6	8	46	12	16	36	59	50	31	11	12	43	26	10	19	41	5	13	29	24	150					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24639	166	999	1145	1306	777	925	992	787	1297	22	502	388	99	389	94	187	1302	1328	1085	511	214	103	143	425	160	81	336	100	127	313	148	107	40	405	214	356	115	445	235	364	412	291	138	56	285	99	135	426	240	412	148	350	195	305	49	60	354	141	29	154	339	63	52	209	273	692					
9	Число недействительных избирательных бюллетеней	527	3	28	32	60	22	8	28	13	42	0	21	9	1	9	1	0	21	28	12	9	4	1	0	12	2	2	9	1	2	5	1	3	0	7	9	3	0	8	5	6	3	4	1	0	7	0	2	11	6	6	3	10	5	7	1	1	5	4	0	1	2	0	0	1	8	12					
10	Число действительных избирательных бюллетеней	27287	183	1028	1207	1330	876	1011	1034	867	1363	109	496	404	98	457	127	213	1404	1394	1168	557	260	114	145	478	190	91	363	155	142	353	164	153	105	438	233	597	120	516	309	423	475	322	151	65	312	105	141	461	246	422	181	399	240	329	59	71	392	163	39	172	378	68	65	237	289	830					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	880	8	25	33	30	20	15	25	20	25	0	14	15	2	35	10	15	17	43	20	10	8	2	0	15	7	5	28	0	5	13	7	10	5	10	8	28	5	15	15	13	40	5	10	10	10	6	2	25	13	15	4	16	7	8	0	0	18	4	1	10	16	10	5	10	10	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	855	8	25	33	30	20	15	25	19	25	0	14	15	2	33	7	15	17	43	20	10	5	1	0	15	7	5	28	0	5	13	7	8	5	10	8	28	5	15	10	13	40	5	10	10	10	6	2	25	10	12	3	16	7	8	0	0	18	3	1	10	16	10	5	10	10	44					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	382	4	12	16	27	17	10	11	3	70	9	6	4	0	6	13	3	9	9	7	2	1	1	1	7	0	1	4	1	6	2	4	4	2	1	1	2	0	5	2	4	5	7	3	2	3	1	1	6	3	8	7	9	8	2	2	3	2	1	1	2	4	3	0	3	2	7					
14	Число погашенных неиспользованных открепительных удостоверений	25	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	2	3	0	3	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
