Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Ромодановская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в списки"	15687	1105	1012	1110	474	947	781	780	954	813	469	1768	180	318	103	287	246	176	153	319	508	362	346	432	309	559	101	725	350					
2	"Число бюллетеней, полученных участковыми комиссиями"	16060	1065	1045	1105	535	1000	815	805	935	800	555	1835	180	310	100	305	245	180	155	315	515	375	345	440	355	545	125	720	355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12289	933	707	840	461	800	650	546	617	680	434	1551	150	245	100	230	181	121	112	182	311	236	271	432	213	391	91	513	291					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1292	75	75	45	13	43	22	88	43	92	35	0	21	62	0	23	20	55	28	75	97	56	36	0	50	69	10	116	43					
6	Число погашенных бюллетеней	2479	57	263	220	61	157	143	171	275	28	86	284	9	3	0	52	44	4	15	58	107	83	38	8	92	85	24	91	21					
7	Число бюллетеней в переносных ящиках для голосования	1292	75	75	45	13	43	22	88	43	92	35	0	21	62	0	23	20	55	28	75	97	56	36	0	50	69	10	116	43					
8	Число бюллетеней в стационарных ящиках для голосования	12289	933	707	840	461	800	650	546	617	680	434	1551	150	245	100	230	181	121	112	182	311	236	271	432	213	391	91	513	291					
9	Число недействительных бюллетеней	575	6	24	12	4	83	12	7	48	52	34	104	11	11	0	15	17	14	2	9	1	15	5	11	8	42	3	25	0					
10	Число действительных бюллетеней	13006	1002	758	873	470	760	660	627	612	720	435	1447	160	296	100	238	184	162	138	248	407	277	302	421	255	418	98	604	334					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	260	20	20	20	10	15	20	15	15	10	10	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	118	15	15	15	6	11	18	7	1	0	8	1	1	0	0	0	0	1	0	1	3	1	1	2	2	3	0	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	120	9	9	2	0	0	4	3	8	0	7	0	2	5	4	7	2	4	0	4	0	4	5	7	5	17	4	5	3					
14	Число погашенных открепительных удостоверений	142	5	5	5	4	4	2	8	14	10	2	19	4	5	5	5	5	4	5	4	2	4	4	3	3	2	5	1	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	384	21	9	16	7	28	25	19	26	10	8	92	0	0	3	0	9	0	4	10	17	10	6	8	17	9	2	22	6					
		2.82%	2.08%	1.15%	1.80%	1.47%	3.32%	3.72%	2.99%	3.93%	1.29%	1.70%	5.93%	0.0%	0.0%	3.0%	0.0%	4.47%	0.0%	2.85%	3.89%	4.16%	3.42%	1.95%	1.85%	6.46%	1.95%	1.98%	3.49%	1.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	148	13	17	9	6	0	18	6	10	1	5	15	0	3	1	3	2	0	3	2	1	4	5	1	3	10	1	5	4					
