Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002					
1	"Число избирателей, внесенных в списки избирателей"	101084	1785	1556	1582	1636	1869	1938	2163	1766	1808	1919	1884	1641	1577	1721	1790	1818	1726	1969	1602	1412	1866	1655	1632	1241	1375	1871	2052	1958	1841	1665	1781	1744	500	1827	1355	2039	1923	1739	1429	1600	2092	1697	1810	2173	2350	1868	2315	1903	2021	1643	2077	2194	1684	1172	2482	896	1136	1316					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	81397	1450	1300	1250	1300	1550	1550	1750	1400	1350	1350	1550	1350	1300	1400	1450	1500	1450	1550	1300	1150	1400	1300	1350	1050	1150	1500	1650	1650	1350	1350	1400	1350	497	1500	1100	1650	1600	1450	1200	1300	1700	1400	1500	1750	1900	1500	1850	1600	1650	1300	1700	1750	1350	700	1950	700	1000	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50725	884	749	796	757	852	933	1076	870	856	780	1087	928	792	938	1028	1011	948	1142	863	739	1045	924	856	578	690	891	888	837	1060	908	895	982	254	996	805	1066	1075	946	748	819	1091	853	983	1125	1341	1055	1106	923	869	489	826	682	758	662	1255	377	445	593					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2799	16	21	43	22	36	35	35	33	145	235	17	20	24	27	21	38	25	18	24	6	22	21	10	12	14	25	67	69	25	49	40	21	237	17	15	20	10	27	23	31	35	24	33	23	41	70	62	56	51	29	69	366	48	21	46	168	32	29					
6	Число погашенных избирательных бюллетеней	27872	550	530	411	521	662	582	639	497	349	335	446	402	483	435	401	451	477	390	413	405	333	355	484	460	446	584	695	744	265	393	465	347	6	487	280	564	515	477	429	450	574	523	484	602	518	375	682	621	730	782	805	702	544	17	649	155	523	428					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2799	16	21	43	22	36	35	35	33	145	235	17	20	24	27	21	38	25	18	24	6	22	21	10	12	14	25	67	69	25	49	40	21	237	17	15	20	10	27	23	31	35	24	33	23	41	70	62	56	51	29	69	366	48	21	46	168	32	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50699	884	749	795	757	851	933	1076	868	856	780	1087	928	792	938	1028	1010	945	1142	863	739	1045	924	856	578	690	891	888	837	1060	908	893	982	254	996	805	1066	1075	946	748	819	1091	853	983	1125	1330	1055	1106	923	869	489	825	682	758	662	1255	373	445	593					
9	Число недействительных избирательных бюллетеней	777	13	7	15	9	15	14	23	18	8	17	9	4	20	15	14	16	14	18	13	7	8	7	8	4	12	9	10	33	8	14	12	18	25	14	21	14	15	11	4	11	11	10	11	12	21	15	13	8	15	10	20	50	9	17	10	4	4	10					
10	Число действительных избирательных бюллетеней	52721	887	763	823	770	872	954	1088	883	993	998	1095	944	796	950	1035	1032	956	1142	874	738	1059	938	858	586	692	907	945	873	1077	943	921	985	466	999	799	1072	1070	962	767	839	1115	867	1005	1136	1350	1110	1155	971	905	508	874	998	797	666	1291	537	473	612					
