Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Прохладненская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №253									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32169	666	287	1065	286	298	248	335	745	1571	1607	429	1942	2421	128	1101	105	2295	1714	368	206	725	318	761	568	1846	2560	1203	2224	1813	865	824	500	145									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32200	670	289	1065	288	300	250	337	745	1571	1607	430	1942	2421	130	1102	106	2295	1714	369	208	726	320	763	570	1846	2560	1203	2224	1813	865	824	500	147									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28381	595	258	884	257	265	230	285	682	1389	1438	354	1733	2156	123	941	97	2030	1484	328	188	637	299	713	514	1661	2146	1034	1977	1585	772	727	462	137									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	491	15	7	66	11	5	7	20	6	13	9	16	0	0	2	23	4	34	20	16	9	20	10	12	6	19	49	14	28	13	16	18	0	3									
6	Число погашенных избирательных бюллетеней	3328	60	24	115	20	30	13	32	57	169	160	60	209	265	5	138	5	231	210	25	11	69	11	38	50	166	365	155	219	215	77	79	38	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	491	15	7	66	11	5	7	20	6	13	9	16	0	0	2	23	4	34	20	16	9	20	10	12	6	19	49	14	28	13	16	18	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28381	595	258	884	257	265	230	285	682	1389	1438	354	1733	2156	123	941	97	2030	1484	328	188	637	299	713	514	1661	2146	1034	1977	1585	772	727	462	137									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	28872	610	265	950	268	270	237	305	688	1402	1447	370	1733	2156	125	964	101	2064	1504	344	197	657	309	725	520	1680	2195	1048	2005	1598	788	745	462	140									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	79	2	2	2	1	1	1	1	2	3	3	1	3	5	1	2	2	5	3	1	1	2	1	3	2	3	5	3	6	5	3	2	1	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	0	0	0	1	0	0	0	0	2	0	0	1	0	0	2	0	5	0	0	0	0	0	1	0	1	1	3	6	3	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	15	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	2	0	0	3	0	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	51	2	2	2	0	1	1	1	2	1	3	1	2	5	1	0	2	0	3	1	1	2	1	2	2	2	4	0	0	2	1	2	1	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	0	0	1	0	1	0	0	3	1	2	1	0	2	0	1	0	3	1	0	0	0	0	0	1	1	4	1	6	4	1	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22397	470	204	670	190	195	170	220	200	1050	1080	260	1273	1615	100	715	80	1720	1200	280	154	480	280	613	405	1305	1808	890	1809	1305	605	586	350	115									
		77.57%	77.05%	76.98%	70.53%	70.90%	72.22%	71.73%	72.13%	29.07%	74.89%	74.64%	70.27%	73.46%	74.91%	80.00%	74.17%	79.21%	83.33%	79.79%	81.40%	78.17%	73.06%	90.61%	84.55%	77.88%	77.68%	82.37%	84.92%	90.22%	81.66%	76.78%	78.66%	75.76%	82.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	149	0	0	0	0	0	0	0	0	50	0	10	0	0	0	0	0	24	0	0	3	7	0	0	0	0	0	0	50	0	5	0	0	0									
		0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	1.52%	1.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.49%	0.00%	0.63%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	59	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	7	0	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	19	7	0	0									
		0.15%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	2.41%	0.94%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5607	121	60	280	78	58	67	85	388	302	267	100	460	495	25	200	20	320	290	60	40	170	29	100	96	355	300	140	96	203	150	152	100	0									
		19.42%	19.84%	22.64%	29.47%	29.10%	21.48%	28.27%	27.87%	56.40%	21.54%	18.45%	27.03%	26.54%	22.96%	20.00%	20.75%	19.80%	15.50%	19.28%	17.44%	20.30%	25.88%	9.39%	13.79%	18.46%	21.13%	13.67%	13.36%	4.79%	12.70%	19.04%	20.40%	21.65%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	612	19	0	0	0	17	0	0	100	0	68	0	0	46	0	49	0	0	14	0	0	0	0	12	19	0	87	18	50	74	2	0	12	25									
		2.12%	3.11%	0.00%	0.00%	0.00%	6.30%	0.00%	0.00%	14.53%	0.00%	4.70%	0.00%	0.00%	2.13%	0.00%	5.08%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	1.66%	3.65%	0.00%	3.96%	1.72%	2.49%	4.63%	0.25%	0.00%	2.60%	17.86%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
