Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Магасская городская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №15	УИК №16	УИК №17	УИК №116									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3652	2269	556	260	567									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2815	1545	378	230	662									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1736	912	215	66	543									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	164	0	0	164	0									
6	Число погашенных избирательных бюллетеней	915	633	163	0	119									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	164	0	0	164	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1736	912	215	66	543									
9	Число недействительных избирательных бюллетеней	11	0	0	11	0									
10	Число действительных избирательных бюллетеней	1889	912	215	219	543									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	70	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	1	0	80	3									
14	Число погашенных неиспользованных открепительных удостоверений	140	70	30	20	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	21	31	7	3									
		3.26%	2.30%	14.42%	3.04%	0.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	9	2	1	2	4									
		0.47%	0.22%	0.47%	0.87%	0.74%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	14	3	2	2	7									
		0.74%	0.33%	0.93%	0.87%	1.29%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1299	701	98	162	338									
		68.37%	76.86%	45.58%	70.43%	62.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	72	14	54	3	1									
		3.79%	1.54%	25.12%	1.30%	0.18%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	0	4	0									
		0.32%	0.22%	0.00%	1.74%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	84	32	3	5	44									
		4.42%	3.51%	1.40%	2.17%	8.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	3	0	2	6									
		0.58%	0.33%	0.00%	0.87%	1.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	16	0	5	1									
		1.16%	1.75%	0.00%	2.17%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	6	0	4	0									
		0.53%	0.66%	0.00%	1.74%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	2	11	2	3									
		0.95%	0.22%	5.12%	0.87%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	114	41	9	6	58									
		6.00%	4.50%	4.19%	2.61%	10.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	15	3	4	2									
		1.26%	1.64%	1.40%	1.74%	0.37%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	144	54	3	11	76									
		7.58%	5.92%	1.40%	4.78%	13.99%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
