Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Киреевская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151					
1	"Число избирателей, внесенных в список"	64491	632	2396	1858	1778	1032	2141	2120	2052	1326	1192	1199	1258	1294	698	637	150	1142	1097	1222	1531	1364	1172	586	1204	1330	1330	1485	1696	1242	162	1659	1586	1717	387	1365	1523	1822	555	313	1566	1546	1214	401	315	624	405	245	266	742	704	493	371	262	307	312	267	643	1242	727	547	309	1056	318	356					
2	Число полученных избирательных бюллетеней	64169	614	2366	1892	1742	1015	2124	2103	2032	1315	1180	1168	1252	1272	688	630	210	1111	1077	1214	1500	1325	1150	586	1209	1329	1333	1538	1674	1225	157	1627	1568	1692	388	1368	1511	1801	552	314	1581	1573	1229	398	324	631	406	246	265	744	695	506	373	262	302	312	274	642	1235	739	552	310	1041	321	356					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31014	336	931	898	889	568	1048	1016	1008	688	603	535	594	602	381	280	144	474	486	554	554	635	521	308	573	662	713	767	798	561	53	908	895	894	199	632	720	867	245	191	715	777	569	144	108	392	163	95	115	235	211	325	279	134	166	79	119	271	835	384	214	96	491	173	193					
5	"Число избирательных бюллетеней, выданных вне помещения"	4144	25	81	99	44	21	46	47	34	28	13	80	40	87	37	59	0	57	32	71	80	49	72	30	60	39	45	107	50	39	58	42	58	71	27	99	92	52	57	12	16	22	21	76	53	44	87	45	53	153	167	101	52	105	96	149	19	128	56	118	145	173	108	25	92					
6	Число погашенных избирательных бюллетеней	29011	253	1354	895	809	426	1030	1040	990	599	564	553	618	583	270	291	66	580	559	589	866	641	557	248	576	628	575	664	826	625	46	677	615	727	162	637	699	882	250	111	850	774	639	178	163	195	156	106	97	356	317	80	42	23	40	84	136	243	344	237	193	41	442	123	71					
7	Число избирательных бюллетеней в переносных ящиках	4144	25	81	99	44	21	46	47	34	28	13	80	40	87	37	59	0	57	32	71	80	49	72	30	60	39	45	107	50	39	58	42	58	71	27	99	92	52	57	12	16	22	21	76	53	44	87	45	53	153	167	101	52	105	96	149	19	128	56	118	145	173	108	25	92					
8	Число бюллетеней в стационарных ящиках для голосования	31010	336	931	898	889	568	1047	1016	1008	688	603	534	594	602	381	280	144	474	486	554	554	635	521	308	573	662	713	767	798	561	53	908	895	894	199	632	720	867	245	191	715	776	569	144	108	392	163	95	115	235	211	325	279	134	165	79	119	271	835	384	214	96	491	173	193					
9	Число недействительных избирательных бюллетеней	300	0	7	8	8	6	8	4	8	4	4	5	2	2	4	1	0	0	6	1	2	8	2	6	10	4	4	6	11	3	1	7	4	36	2	12	5	14	3	3	4	5	5	2	4	0	7	0	2	2	6	0	7	0	7	0	2	6	4	0	3	0	13	0	0					
10	Число действительных избирательных бюллетеней	34854	361	1005	989	925	583	1085	1059	1034	712	612	609	632	687	414	338	144	531	512	624	632	676	591	332	623	697	754	868	837	597	110	943	949	929	224	719	807	905	299	200	727	793	585	218	157	436	243	140	166	386	372	426	324	239	254	228	136	393	887	502	356	269	586	198	285					
