Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Кедровая поселковая										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК  761	УИК  762	УИК  763					
1	"Число избирателей, внесенных в списки"	3659	1713	1822	124					
2	"Число бюллетеней, полученных участковыми комиссиями"	3838	1814	1839	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1564	672	784	108					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	33	8	13	12					
6	Число погашенных бюллетеней	2241	1134	1042	65					
7	Число бюллетеней в переносных ящиках для голосования	34	9	13	12					
8	Число бюллетеней в стационарных ящиках для голосования	1563	671	784	108					
9	Число недействительных бюллетеней	17	16	1	0					
10	Число действительных бюллетеней	1580	664	796	120					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	40	40	19					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	7	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0					
14	Число погашенных открепительных удостоверений	81	33	29	19					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	20	10	9	1					
		1.25%	1.47%	1.12%	0.83%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	71	31	34	6					
		4.44%	4.55%	4.26%	5.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	34	14	16	4					
		2.12%	2.05%	2.00%	3.33%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	57	17	37	3					
		3.56%	2.5%	4.64%	2.5%					
22	"5. ""За Русь Святую"""	5	3	0	2					
		0.31%	0.44%	0.0%	1.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	2	2					
		0.25%	0.0%	0.25%	1.66%					
24	"7. ""Новый курс - Автомобильная Россия"""	21	10	6	5					
		1.31%	1.47%	0.75%	4.16%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	2	7	0					
		0.56%	0.29%	0.87%	0.0%					
27	"10. ""Аграрная партия России"""	43	26	17	0					
		2.69%	3.82%	2.13%	0.0%					
28	"11. ""Истинные патриоты России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	11	4	6	1					
		0.68%	0.58%	0.75%	0.83%					
30	"13. ""Демократическая партия России"""	4	0	3	1					
		0.25%	0.0%	0.37%	0.83%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	1	1	0					
		0.12%	0.14%	0.12%	0.0%					
32	"15. ""Партия СЛОН"""	4	1	2	1					
		0.25%	0.14%	0.25%	0.83%					
33	"16. ""Родина"" (народно-патриотический союз)"""	226	89	126	11					
		14.15%	13.08%	15.80%	9.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	3	1	2	0					
		0.18%	0.14%	0.25%	0.0%					
35	"18. ""ЛДПР"""	256	111	110	35					
		16.03%	16.32%	13.80%	29.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	29	10	19	0					
		1.81%	1.47%	2.38%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	487	200	250	37					
		30.49%	29.41%	31.36%	30.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	1	0	0					
		0.06%	0.14%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	0	3	0					
		0.18%	0.0%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	113	51	60	2					
		7.07%	7.5%	7.52%	1.66%					
										
41	Против всех	177	82	86	9					
		11.08%	12.05%	10.79%	7.5%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
