Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Холм-Жирковская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387					
1	"Число избирателей, внесенных в список"	9885	260	1733	375	223	433	256	338	332	312	310	665	398	2943	288	311	708					
2	Число полученных избирательных бюллетеней	9923	263	1721	362	223	440	258	340	335	320	313	664	414	2944	291	307	728					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4549	140	684	214	116	175	151	102	133	102	153	320	99	1478	189	133	360					
5	"Число избирательных бюллетеней, выданных вне помещения"	1366	48	59	45	76	136	16	114	137	132	64	65	151	79	37	115	92					
6	Число погашенных избирательных бюллетеней	4008	75	978	103	31	129	91	124	65	86	96	279	164	1387	65	59	276					
7	Число избирательных бюллетеней в переносных ящиках	1366	48	59	45	76	136	16	114	137	132	64	65	151	79	37	115	92					
8	Число бюллетеней в стационарных ящиках для голосования	4549	140	684	214	116	175	151	102	133	102	153	320	99	1478	189	133	360					
9	Число недействительных избирательных бюллетеней	23	0	6	2	0	0	1	0	0	1	0	0	0	13	0	0	0					
10	Число действительных избирательных бюллетеней	5892	188	737	257	192	311	166	216	270	233	217	385	250	1544	226	248	452					
11	Число полученных открепительных  удостоверений	240	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	32	0	7	3	0	4	0	0	0	1	0	0	1	13	1	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	5	1	2	2	2	0	0	1	1	0	0	9	1	3	0					
14	Число неиспользованных открепительных удостоверений	208	15	8	12	15	11	15	15	15	14	15	15	14	2	14	15	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	129	2	17	10	7	12	4	0	1	5	2	1	5	39	8	8	8					
		2.18%	1.06%	2.29%	3.86%	3.65%	3.86%	2.40%	0.00%	0.37%	2.14%	0.92%	0.26%	2.00%	2.50%	3.54%	3.23%	1.77%					
19	. Малышкин Олег Александрович	131	4	12	5	6	14	1	1	10	5	4	7	3	33	5	10	11					
		2.21%	2.13%	1.62%	1.93%	3.12%	4.50%	0.60%	0.46%	3.70%	2.14%	1.84%	1.82%	1.20%	2.12%	2.21%	4.03%	2.43%					
20	. Миронов Сергей Михайлович	60	4	4	4	0	1	3	3	2	1	4	2	2	18	7	3	2					
		1.01%	2.13%	0.54%	1.54%	0.00%	0.32%	1.80%	1.39%	0.74%	0.43%	1.84%	0.52%	0.80%	1.16%	3.10%	1.21%	0.44%					
21	. Путин Владимир Владимирович	4195	152	554	188	133	226	131	139	204	196	155	264	190	1082	166	123	292					
		70.92%	80.85%	74.56%	72.59%	69.27%	72.67%	78.44%	64.35%	75.56%	83.76%	71.43%	68.57%	76.00%	69.49%	73.45%	49.60%	64.60%					
22	. Хакамада Ирина Муцуовна	109	3	15	2	5	4	4	1	1	2	8	11	7	28	2	7	9					
		1.84%	1.60%	2.02%	0.77%	2.60%	1.29%	2.40%	0.46%	0.37%	0.85%	3.69%	2.86%	2.80%	1.80%	0.88%	2.82%	1.99%					
23	. Харитонов Николай Михайлович	1140	23	124	47	40	52	17	69	44	22	41	95	35	291	28	89	123					
		19.27%	12.23%	16.69%	18.15%	20.83%	16.72%	10.18%	31.94%	16.30%	9.40%	18.89%	24.68%	14.00%	18.69%	12.39%	35.89%	27.21%					
																							
24	Против всех	128	0	11	1	1	2	6	3	8	2	3	5	8	53	10	8	7					
		2.16%	0.00%	1.48%	0.39%	0.52%	0.64%	3.59%	1.39%	2.96%	0.85%	1.38%	1.30%	3.20%	3.40%	4.42%	3.23%	1.55%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
