Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Лазаревская г.Сочи																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452	УИК №4453					
1	"Число избирателей, внесенных в списки избирателей"	66626	249	218	741	382	1078	651	1630	509	1119	102	1822	859	1925	1317	2216	2517	1478	1517	1978	794	922	1114	1496	958	721	481	1544	876	1045	1162	846	1452	1009	840	2556	622	2387	2047	1075	780	3053	1298	2617	2545	2754	1023	1030	1888	244	1205	970	812	152					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	64150	230	220	740	340	1050	620	1510	400	1050	100	2250	640	1700	1300	2150	2450	1450	1500	1900	750	650	1100	1600	800	800	700	1450	800	1050	1100	800	1400	1000	850	2500	600	2350	1600	1000	800	2650	1250	2550	2550	2700	950	1050	1850	200	1200	950	800	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32316	148	165	329	238	487	293	750	188	483	91	1217	549	1174	723	1095	1170	659	678	987	399	329	463	641	548	326	377	748	407	363	497	570	628	425	447	1077	375	858	978	455	349	2013	448	1234	1168	1273	292	564	791	200	520	574	456	99					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2781	24	2	47	13	84	52	85	112	51	0	94	13	30	15	30	26	17	16	89	12	321	37	155	34	107	104	69	63	90	5	51	27	29	46	45	26	120	62	26	56	106	47	26	14	12	36	9	90	0	25	3	120	8					
6	Число погашенных избирательных бюллетеней	29053	58	53	364	89	479	275	675	100	516	9	939	78	496	562	1025	1254	774	806	824	339	0	600	804	218	367	219	633	330	597	598	179	745	546	357	1378	199	1372	560	519	395	531	755	1290	1368	1415	622	477	969	0	655	373	224	43					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2781	24	2	47	13	84	52	85	112	51	0	94	13	30	15	30	26	17	16	89	12	321	37	155	34	107	104	69	63	90	5	51	27	29	46	45	26	120	62	26	56	106	47	26	14	12	36	9	90	0	25	3	120	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32303	148	165	329	238	487	293	750	188	483	91	1217	549	1174	723	1095	1170	659	678	985	399	329	463	641	548	326	377	748	407	363	497	570	628	425	447	1077	375	858	978	455	338	2013	448	1234	1168	1273	292	564	791	200	520	574	456	99					
9	Число недействительных избирательных бюллетеней	890	1	1	20	5	96	9	15	6	11	2	39	9	12	21	26	26	27	4	36	9	5	4	20	4	14	25	13	16	10	12	5	23	17	12	65	11	23	10	3	11	9	15	24	23	35	5	13	40	10	12	14	9	3					
10	Число действительных избирательных бюллетеней	34194	171	166	356	246	475	336	820	294	523	89	1272	553	1192	717	1099	1170	649	690	1038	402	645	496	776	578	419	456	804	454	443	490	616	632	437	481	1057	390	955	1030	478	383	2110	480	1236	1159	1250	323	560	841	190	533	563	567	104					
