Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Брянск, Советская"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №1121	УИК №1122	УИК №1123									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97640	1077	2657	2383	1610	1794	1707	2087	1986	2052	793	2768	1958	1794	1727	1717	1114	1574	1156	1920	2268	1924	1826	2274	2769	2650	2001	1863	1169	1506	1911	1889	1709	2502	2006	2148	2254	2162	1868	2003	2432	2619	2361	2598	2142	1713	2830	1906	1163	2481	323	407	89									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68254	1166	1776	1668	1127	1263	1192	1483	1400	1441	486	1937	1377	1195	1214	1204	776	1025	805	1354	1599	1346	1177	1593	1935	1858	1400	1312	700	1050	1328	1328	1195	1745	1414	1508	1585	1529	1302	1405	1426	1832	1631	1806	1502	1207	1928	1334	820	1742	323	415	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45393	695	1069	1143	738	714	456	949	1119	1162	403	868	669	858	899	625	558	491	504	853	1106	943	921	1461	1289	1709	1245	1205	450	884	1051	669	563	1281	697	702	1234	994	864	1120	892	1475	1192	1393	715	507	941	591	372	1489	323	256	86									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1208	91	36	0	7	15	27	15	6	71	41	5	11	76	4	30	3	100	13	15	5	7	9	26	6	9	28	13	5	11	8	8	10	8	7	13	10	9	4	3	2	4	3	15	40	30	137	17	1	78	0	116	0									
6	Число погашенных избирательных бюллетеней	21653	380	671	525	382	534	709	519	275	208	42	1064	697	261	311	549	215	434	288	486	488	396	247	106	640	140	127	94	245	155	269	651	622	456	710	793	341	526	434	282	532	353	436	398	747	670	850	726	447	175	0	43	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1208	91	36	0	7	15	27	15	6	71	41	5	11	76	4	30	3	100	13	15	5	7	9	26	6	9	28	13	5	11	8	8	10	8	7	13	10	9	4	3	2	4	3	15	40	30	137	17	1	78	0	116	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45308	692	1067	1142	738	714	456	949	1119	1162	403	868	669	858	899	625	558	491	504	853	1106	943	921	1461	1267	1681	1245	1205	450	873	1043	669	563	1281	697	702	1224	994	864	1120	892	1475	1192	1393	715	507	941	591	372	1489	323	256	86									
9	Число недействительных избирательных бюллетеней	774	18	19	13	10	19	8	27	17	1	0	9	12	10	12	8	7	13	6	6	19	7	7	6	33	18	14	8	13	11	32	11	2	12	18	15	20	15	8	17	5	50	132	14	9	8	24	11	7	7	6	0	0									
10	Число действительных избирательных бюллетеней	45742	765	1084	1129	735	710	475	937	1108	1232	444	864	668	924	891	647	554	578	511	862	1092	943	923	1481	1240	1672	1259	1210	442	873	1019	666	571	1277	686	700	1214	988	860	1106	889	1429	1063	1394	746	529	1054	597	366	1560	317	372	86									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	457	6	10	9	7	9	8	29	8	9	6	13	12	9	9	9	7	11	8	9	11	10	8	10	11	11	8	7	6	8	7	7	5	10	9	4	9	9	9	4	9	7	28	10	9	8	13	8	5	9	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	357	0	10	4	5	8	4	27	8	4	1	13	10	8	8	7	6	9	1	8	11	5	5	10	11	8	4	5	4	6	3	4	3	10	9	4	9	6	9	1	8	6	24	10	4	8	13	4	4	8	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	324	6	16	3	2	8	2	8	6	5	4	6	3	7	8	10	5	6	8	6	5	2	4	16	10	7	2	6	9	10	2	2	7	14	3	3	10	4	5	2	5	5	5	17	1	3	15	9	0	12	0	10	0									
14	Число погашенных неиспользованных открепительных удостоверений	100	6	0	5	2	1	4	2	0	5	5	0	2	1	1	2	1	2	7	1	0	5	3	0	0	3	4	2	2	2	4	3	2	0	0	0	0	3	0	3	1	1	4	0	5	0	0	4	1	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	150	0	7	7	6	1	2	2	1	2	0	7	3	1	2	3	4	2	5	3	3	3	0	2	5	1	0	5	0	1	3	3	1	7	4	2	6	2	3	6	2	7	10	1	0	2	1	5	2	5	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	900	12	31	49	13	16	25	23	11	17	0	26	23	10	20	13	13	14	12	18	21	13	18	0	46	23	12	33	14	12	6	13	10	17	31	19	26	20	11	16	15	18	21	33	19	10	26	14	7	16	7	7	0									
		1.93%	1.53%	2.81%	4.29%	1.74%	2.19%	5.18%	2.39%	0.98%	1.38%	0.00%	2.98%	3.38%	1.07%	2.21%	1.98%	2.32%	2.37%	2.32%	2.07%	1.89%	1.37%	1.94%	0.00%	3.61%	1.36%	0.94%	2.71%	3.08%	1.36%	0.57%	1.92%	1.75%	1.32%	4.40%	2.66%	2.11%	1.99%	1.27%	1.42%	1.68%	1.22%	1.76%	2.34%	2.52%	1.86%	2.41%	2.30%	1.88%	1.02%	2.17%	1.88%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	810	12	12	32	12	16	14	29	6	17	0	10	15	22	4	18	5	15	12	14	18	8	15	0	24	25	79	8	11	10	49	14	12	19	21	18	13	18	12	12	18	10	11	8	13	11	22	20	7	22	5	12	0									
