Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Киреевская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в списки избирателей"	62687	614	1355	1236	1766	1745	945	2027	1952	1975	1268	1131	1184	1237	1586	1020	277	1606	1261	1080	1009	1155	1526	1286	1155	558	1302	1313	1310	1422	1646	1187	2579	2298	351	1563	1536	1087	1242	368	402	358	233	255	593	251	235	360	679	719	693	478	608	379	319	493	300	333	464	1715	504	228	930					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	60590	620	1260	1200	1670	1680	900	1940	1870	1900	1240	1040	1140	1190	1510	970	350	1550	1230	1030	970	1100	1440	1220	1100	560	1250	1260	1240	1440	1590	1110	2460	2200	360	1450	1400	1000	1160	360	390	360	250	250	620	250	250	380	650	740	700	490	620	430	330	510	280	340	480	1630	490	250	940					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	30577	308	570	596	796	832	516	1076	904	993	683	579	529	634	700	503	242	715	598	471	450	473	648	609	499	260	688	607	676	774	895	510	1481	1452	185	757	754	502	509	208	244	251	61	162	206	122	113	136	285	450	339	285	317	257	210	192	89	136	195	816	210	101	218					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5682	46	96	85	116	75	44	50	118	47	54	57	82	64	125	108	25	174	93	127	44	108	141	58	131	49	59	60	58	113	62	54	127	131	35	40	59	41	251	31	96	68	130	25	259	49	33	66	167	157	195	114	90	45	20	118	188	58	101	71	65	39	290					
6	Число погашенных избирательных бюллетеней	24331	266	594	519	758	773	340	814	848	860	503	404	529	492	685	359	83	661	539	432	476	519	651	553	470	251	503	593	506	553	633	546	852	617	140	653	587	457	400	121	50	41	59	63	155	79	104	178	198	133	166	91	213	128	100	200	3	146	184	743	215	110	432					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5682	46	96	85	116	75	44	50	118	47	54	57	82	64	125	108	25	174	93	127	44	108	141	58	131	49	59	60	58	113	62	54	127	131	35	40	59	41	251	31	96	68	130	25	259	49	33	66	167	157	195	114	90	45	20	118	188	58	101	71	65	39	290					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30574	308	570	596	796	832	516	1076	904	993	683	579	529	634	700	503	242	715	598	471	450	473	648	609	499	260	688	607	676	774	895	510	1481	1452	185	757	753	502	509	208	244	251	61	162	206	122	113	136	285	450	339	285	317	257	210	192	89	136	195	816	210	101	216					
9	Число недействительных избирательных бюллетеней	385	5	11	8	11	8	8	9	4	9	7	6	4	10	5	5	13	5	8	2	3	2	6	5	4	8	2	0	5	8	8	4	78	21	1	10	11	2	8	2	3	0	0	2	0	0	3	0	3	12	0	3	3	1	3	6	0	0	0	13	0	1	6					
10	Число действительных избирательных бюллетеней	35871	349	655	673	901	899	552	1117	1018	1031	730	630	607	688	820	606	254	884	683	596	491	579	783	662	626	301	745	667	729	879	949	560	1530	1562	219	787	801	541	752	237	337	319	191	185	465	171	143	202	449	595	534	396	404	301	227	304	277	194	296	874	275	139	500					
