Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Пенза, Железнодорожная"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №728									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89296	1923	981	1069	1881	2034	1993	2353	2145	2114	1845	1524	1789	1263	1284	1342	1962	1684	1877	2083	1564	1662	1939	2060	2346	2013	2690	1843	2207	2376	1557	2110	1813	1309	1128	1355	1315	1477	1222	1756	1700	1798	2114	1785	1958	2174	1220	1450	1892	1723	2594									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80100	1750	900	950	1700	1850	1800	2150	1950	1900	1700	1400	1400	1150	1150	1200	1750	1550	1700	1900	1400	1500	1750	1850	2150	1800	2450	1650	2000	2150	1400	1950	1650	1150	1000	1200	1200	1300	1100	1600	1550	1600	1900	1600	1650	1950	1100	1300	1650	1500	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37277	1112	376	597	852	981	820	967	807	915	765	1059	677	427	791	749	974	961	588	887	817	740	684	657	851	869	868	732	1112	964	765	717	556	597	407	566	404	428	492	827	741	662	910	789	871	774	307	723	785	673	684									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3645	18	27	29	191	299	318	27	27	52	74	117	118	37	37	154	45	53	55	162	138	56	51	51	37	129	41	20	40	24	17	26	100	93	156	209	42	71	29	16	21	44	23	60	7	7	32	18	22	53	172									
6	Число погашенных избирательных бюллетеней	39176	620	497	324	657	570	662	1156	1116	933	861	224	605	686	322	297	731	536	1057	851	445	704	1015	1142	1260	802	1541	898	848	1162	618	1207	994	460	437	425	754	801	579	757	788	894	967	751	772	1169	761	559	843	774	1344									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3645	18	27	29	191	299	318	27	27	52	74	117	118	37	37	154	45	53	55	162	138	56	51	51	37	129	41	20	40	24	17	26	100	93	156	209	42	71	29	16	21	44	23	60	7	7	32	18	22	53	172									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37067	1112	376	597	852	981	820	940	805	915	765	1058	676	426	791	749	929	961	588	887	817	739	681	657	851	869	864	732	1112	964	763	715	556	504	407	566	404	428	492	827	741	662	910	788	871	772	307	723	785	673	659									
9	Число недействительных избирательных бюллетеней	754	8	7	0	13	13	22	26	15	31	7	19	12	8	0	5	13	8	13	15	9	15	6	10	17	23	23	13	61	94	5	21	14	13	9	11	3	13	4	17	8	9	19	10	17	20	4	11	12	18	10									
10	Число действительных избирательных бюллетеней	39958	1122	396	626	1030	1267	1116	941	817	936	832	1156	782	455	828	898	961	1006	630	1034	946	780	726	698	871	975	882	739	1091	894	775	720	642	584	554	764	443	486	517	826	754	697	914	838	861	759	335	730	795	708	821									
