Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Элистинская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57					
1	"Число избирателей, внесенных в список"	76993	1968	1367	1975	1569	738	2123	1738	1939	2039	140	1413	1273	1494	1488	1290	90	1697	1102	885	1450	1752	2123	1799	665	1627	1788	1492	1736	46	2342	1480	1398	1791	1319	1886	1470	1597	1413	1782	1831	2155	1391	1112	1280	1279	857	1486	1741	981	373	1868	198	314	144	976	1501	222					
2	Число полученных избирательных бюллетеней	76646	1950	1400	1970	1690	740	2040	1790	1930	1970	140	1380	1290	1490	1490	1180	89	1570	1170	840	1480	1820	2200	1650	780	1620	1830	1460	1710	38	2300	1480	1390	1830	1400	1910	1490	1640	1410	1760	1840	2020	1370	1030	1370	1140	830	1490	1710	960	400	1910	200	300	139	950	1480	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43455	1062	812	1084	1139	365	1138	877	910	1041	74	914	701	760	756	674	0	982	714	514	655	1075	1237	949	418	871	1004	873	1033	0	1237	1010	1018	1078	830	1048	807	1057	763	886	968	1265	685	609	673	805	443	795	935	496	194	1081	128	134	102	634	992	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	3349	69	37	55	55	95	27	58	108	47	66	70	101	43	80	32	89	51	42	61	132	40	33	53	35	57	49	46	40	38	26	20	30	41	13	30	103	35	43	96	139	155	100	50	45	20	37	31	41	89	179	16	8	120	18	75	45	35					
6	Число погашенных избирательных бюллетеней	29842	819	551	831	496	280	875	855	912	882	0	396	488	687	654	474	0	537	414	265	693	705	930	648	327	692	777	541	637	0	1037	450	342	711	557	832	580	548	604	778	733	600	585	371	652	315	350	664	734	375	27	813	64	46	19	241	443	5					
7	Число избирательных бюллетеней в переносных ящиках	3349	69	37	55	55	95	27	58	108	47	66	70	101	43	80	32	89	51	42	61	132	40	33	53	35	57	49	46	40	38	26	20	30	41	13	30	103	35	43	96	139	155	100	50	45	20	37	31	41	89	179	16	8	120	18	75	45	35					
8	Число бюллетеней в стационарных ящиках для голосования	43452	1062	812	1084	1139	365	1137	877	910	1041	74	914	701	760	756	674	0	982	714	514	655	1075	1237	949	418	871	1004	873	1032	0	1237	1010	1018	1078	830	1048	807	1057	763	886	967	1265	685	609	673	805	443	795	935	496	194	1081	128	134	102	634	992	150					
9	Число недействительных избирательных бюллетеней	280	8	4	9	14	1	10	7	11	5	0	0	4	10	3	4	0	24	1	4	8	17	1	2	2	6	7	5	8	1	4	3	11	5	5	4	2	2	2	4	5	3	7	3	4	1	2	2	5	0	0	7	2	12	0	3	5	1					
10	Число действительных избирательных бюллетеней	46521	1123	845	1130	1180	459	1154	928	1007	1083	140	984	798	793	833	702	89	1009	755	571	779	1098	1269	1000	451	922	1046	914	1064	37	1259	1027	1037	1114	838	1074	908	1090	804	978	1101	1417	778	656	714	824	478	824	971	585	373	1090	134	242	120	706	1032	184					
