Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Пий-Хемская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121					
1	"Число избирателей, внесенных в список избирателей"	7157	639	639	1002	1271	270	577	377	467	605	376	502	262	170					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7249	642	655	983	1279	300	590	382	469	608	370	461	257	253					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5212	397	379	621	893	221	485	307	421	444	314	404	215	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	529	46	21	38	37	12	35	58	46	66	27	51	42	50					
6	Число погашенных избирательных бюллетеней	1508	199	255	324	349	67	70	17	2	98	29	6	0	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	529	46	21	38	37	12	35	58	46	66	27	51	42	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5212	397	379	621	893	221	485	307	421	444	314	404	215	111					
9	Число недействительных избирательных бюллетеней	85	14	5	10	19	2	2	0	3	3	5	22	0	0					
10	Число действительных избирательных бюллетеней	5656	429	395	649	911	231	518	365	464	507	336	433	257	161					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	8	8	7	7	7	7	5	5	23	5	5	0	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	53	6	0	7	7	1	7	3	1	18	1	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	1	1	4	3	0	3	1	3	1	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	37	2	8	0	0	6	0	2	4	5	4	4	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	515	48	72	84	134	41	28	19	18	23	21	15	6	6					
		8.97%	10.84%	18.00%	12.75%	14.41%	17.60%	5.38%	5.21%	3.85%	4.51%	6.16%	3.30%	2.33%	3.73%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	278	49	41	54	80	5	5	2	5	17	0	1	6	13					
		4.84%	11.06%	10.25%	8.19%	8.60%	2.15%	0.96%	0.55%	1.07%	3.33%	0.00%	0.22%	2.33%	8.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	3	2	7	3	0	1	2	3	2	0	1	1	1					
		0.45%	0.68%	0.50%	1.06%	0.32%	0.00%	0.19%	0.55%	0.64%	0.39%	0.00%	0.22%	0.39%	0.62%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	470	68	30	80	138	15	11	4	37	32	21	14	3	17					
		8.19%	15.35%	7.50%	12.14%	14.84%	6.44%	2.12%	1.10%	7.92%	6.27%	6.16%	3.08%	1.17%	10.56%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	3	1	4	4	0	2	2	1	3	0	2	1	1					
		0.42%	0.68%	0.25%	0.61%	0.43%	0.00%	0.38%	0.55%	0.21%	0.59%	0.00%	0.44%	0.39%	0.62%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4332	257	246	418	550	170	470	336	398	430	294	400	240	123					
		75.46%	58.01%	61.50%	63.43%	59.14%	72.96%	90.38%	92.05%	85.22%	84.31%	86.22%	87.91%	93.39%	76.40%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	1	3	2	2	0	1	0	2	0	0	0	0	0					
		0.19%	0.23%	0.75%	0.30%	0.22%	0.00%	0.19%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
