Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    район Беговой 																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №3237	УИК №3238	УИК №3239					
1	"Число избирателей, внесенных в список избирателей"	26052	2516	2656	2502	2050	2482	2820	2470	2236	2313	2527	1148	143	189					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23650	2300	2500	2300	1700	2200	2600	2200	2000	2000	2000	1500	150	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19216	2138	2089	1767	1033	1913	1748	1762	1743	1772	1776	1148	143	184					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	375	34	47	51	26	34	41	30	24	53	35	0	0	0					
6	Число погашенных избирательных бюллетеней	4059	128	364	482	641	253	811	408	233	175	189	352	7	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	375	34	47	51	26	34	41	30	24	53	35	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19078	2138	2062	1767	1031	1906	1737	1732	1688	1766	1776	1148	143	184					
9	Число недействительных избирательных бюллетеней	246	36	27	8	25	24	33	22	29	15	0	23	1	3					
10	Число действительных избирательных бюллетеней	19207	2136	2082	1810	1032	1916	1745	1740	1683	1804	1811	1125	142	181					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	700	50	70	50	50	50	50	50	50	50	230	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	523	37	54	29	20	34	45	37	27	40	200	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	484	31	30	23	18	34	45	37	24	56	66	90	9	21					
14	Число погашенных неиспользованных открепительных удостоверений	177	13	16	21	30	16	5	13	23	10	30	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	3	2	0	2	0	1	1	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2380	259	246	195	216	208	275	186	233	238	142	147	9	26					
		12.23%	11.92%	11.66%	10.73%	20.44%	10.72%	15.47%	10.56%	13.61%	13.08%	7.84%	12.80%	6.29%	14.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1501	136	139	116	99	108	269	109	107	134	114	128	19	23					
		7.72%	6.26%	6.59%	6.38%	9.37%	5.57%	15.13%	6.19%	6.25%	7.37%	6.29%	11.15%	13.29%	12.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	232	17	27	20	10	14	7	31	50	12	15	23	2	4					
		1.19%	0.78%	1.28%	1.10%	0.95%	0.72%	0.39%	1.76%	2.92%	0.66%	0.83%	2.00%	1.40%	2.17%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3179	332	321	254	252	356	282	315	205	302	367	151	21	21					
		16.34%	15.29%	15.22%	13.97%	23.84%	18.35%	15.86%	17.88%	11.97%	16.60%	20.27%	13.15%	14.69%	11.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1932	265	273	222	244	215	14	177	118	197	149	46	9	3					
		9.93%	12.20%	12.94%	12.21%	23.08%	11.08%	0.79%	10.05%	6.89%	10.83%	8.23%	4.01%	6.29%	1.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9867	1112	1063	995	202	996	894	917	954	912	1014	625	81	102					
		50.72%	51.20%	50.40%	54.73%	19.11%	51.34%	50.28%	52.04%	55.72%	50.14%	55.99%	54.44%	56.64%	55.43%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	116	15	13	8	9	19	4	5	16	9	10	5	1	2					
		0.60%	0.69%	0.62%	0.44%	0.85%	0.98%	0.22%	0.28%	0.93%	0.49%	0.55%	0.44%	0.70%	1.09%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
