Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    район Беговой 																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №3142	УИК №3143	УИК №3144					
1	"Число избирателей, внесенных в списки избирателей"	27056	2641	2765	2637	2520	2598	2439	2502	2337	2401	2809	1001	211	195					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24220	2500	2500	2500	2000	2500	2000	2000	2000	2000	2200	1500	300	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13863	1378	1368	1181	1229	1222	1205	1128	1115	1206	1443	1001	196	191					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	399	46	22	69	40	39	40	19	33	45	46	0	0	0					
6	Число погашенных избирательных бюллетеней	9958	1076	1110	1250	731	1239	755	853	852	749	711	499	104	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	389	46	22	69	40	39	40	19	23	45	46	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13778	1372	1364	1180	1207	1220	1201	1128	1076	1204	1438	1001	196	191					
9	Число недействительных избирательных бюллетеней	222	32	31	13	14	19	23	26	12	20	19	8	3	2					
10	Число действительных избирательных бюллетеней	13945	1386	1355	1236	1233	1240	1218	1121	1087	1229	1465	993	193	189					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	545	40	55	40	40	40	40	40	60	50	140	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	461	37	48	30	22	27	33	36	54	37	137	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	525	35	22	48	28	27	81	15	27	48	77	68	25	24					
14	Число погашенных неиспользованных открепительных удостоверений	84	3	7	10	18	13	7	4	6	13	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	3	2	5	4	4	1	2	5	2	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	411	39	52	30	32	38	40	34	30	34	36	37	8	1					
		2.90%	2.75%	3.75%	2.40%	2.57%	3.02%	3.22%	2.96%	2.73%	2.72%	2.43%	3.70%	4.08%	0.52%					
19	2.Всероссийская политическая партия «Гражданская Сила»	443	44	53	36	42	44	41	44	40	37	43	10	5	4					
		3.13%	3.10%	3.82%	2.88%	3.37%	3.49%	3.30%	3.84%	3.64%	2.96%	2.90%	0.99%	2.55%	2.09%					
20	3.Политическая партия «Демократическая партия России»	38	5	2	2	5	1	8	5	2	2	3	3	0	0					
		0.27%	0.35%	0.14%	0.16%	0.40%	0.08%	0.64%	0.44%	0.18%	0.16%	0.20%	0.30%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2510	280	203	225	251	257	189	213	184	288	248	119	28	25					
		17.72%	19.75%	14.65%	18.01%	20.13%	20.41%	15.23%	18.57%	16.74%	23.06%	16.71%	11.89%	14.29%	13.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	778	93	74	69	105	70	42	56	74	84	77	27	3	4					
		5.49%	6.56%	5.34%	5.52%	8.42%	5.56%	3.38%	4.88%	6.73%	6.73%	5.19%	2.70%	1.53%	2.09%					
23	6.Политическая партия «Партия социальной справедливости»	54	7	5	9	8	2	3	1	3	10	4	2	0	0					
		0.38%	0.49%	0.36%	0.72%	0.64%	0.16%	0.24%	0.09%	0.27%	0.80%	0.27%	0.20%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	897	90	85	96	67	86	92	69	69	67	100	51	13	12					
		6.33%	6.35%	6.13%	7.69%	5.37%	6.83%	7.41%	6.02%	6.28%	5.36%	6.74%	5.09%	6.63%	6.28%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1183	101	113	90	98	105	105	112	113	101	114	88	23	20					
		8.35%	7.12%	8.15%	7.21%	7.86%	8.34%	8.46%	9.76%	10.28%	8.09%	7.68%	8.79%	11.73%	10.47%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	212	17	12	18	18	18	19	19	26	15	21	20	3	6					
		1.50%	1.20%	0.87%	1.44%	1.44%	1.43%	1.53%	1.66%	2.37%	1.20%	1.42%	1.99%	1.53%	3.14%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6232	560	631	547	459	521	599	486	427	499	726	583	97	97					
		43.99%	39.49%	45.53%	43.80%	36.81%	41.38%	48.27%	42.37%	38.85%	39.95%	48.92%	58.24%	49.49%	50.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1187	150	125	114	148	98	80	82	119	92	93	53	13	20					
		8.38%	10.58%	9.02%	9.13%	11.87%	7.78%	6.45%	7.15%	10.83%	7.37%	6.27%	5.29%	6.63%	10.47%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
