Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																		
Дата голосования: 07.12.2003 0:00:00																																																		
																																																		
Наименование Избирательной комиссии:    Починковская																																																		
																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																		
																																																		
		Сумма	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035					
1	"Число избирателей, внесенных в списки"	27137	1538	1759	2379	1554	2570	330	536	224	611	494	293	1889	866	687	383	1112	315	781	102	459	298	83	1238	604	92	424	81	742	70	523	367	525	111	480	100	415	209	125	442	187	479	106	554					
2	"Число бюллетеней, полученных участковыми комиссиями"	25000	1400	1600	2200	1400	2300	300	500	200	600	450	270	1700	800	650	350	1010	300	750	100	450	270	80	1100	550	90	400	80	700	70	500	350	500	100	450	90	400	200	120	400	170	450	100	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15237	896	935	1356	780	1501	183	337	122	310	283	185	972	427	355	193	644	199	421	46	258	180	45	741	225	54	245	49	440	27	309	210	284	67	343	69	221	144	96	248	144	283	80	330					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1472	35	60	65	47	13	25	33	51	45	71	36	40	34	37	78	27	30	49	24	62	20	16	96	27	7	43	14	43	34	27	18	28	10	2	6	50	15	0	28	5	29	6	86					
6	Число погашенных бюллетеней	8291	469	605	779	573	786	92	130	27	245	96	49	688	339	258	79	339	71	280	30	130	70	19	263	298	29	112	17	217	9	164	122	188	23	105	15	129	41	24	124	21	138	14	84					
7	Число бюллетеней в переносных ящиках для голосования	1472	35	60	65	47	13	25	33	51	45	71	36	40	34	37	78	27	30	49	24	62	20	16	96	27	7	43	14	43	34	27	18	28	10	2	6	50	15	0	28	5	29	6	86					
8	Число бюллетеней в стационарных ящиках для голосования	15233	896	935	1355	778	1500	183	337	122	310	283	185	972	427	355	193	644	199	421	46	258	180	45	741	225	54	245	49	440	27	309	210	284	67	343	69	221	144	96	248	144	283	80	330					
9	Число недействительных бюллетеней	214	14	6	9	13	10	5	9	8	5	3	1	6	5	3	1	8	0	5	2	2	2	0	13	12	2	8	1	8	1	14	0	11	1	2	0	6	9	0	2	0	2	1	4					
10	Число действительных бюллетеней	16491	917	989	1411	812	1503	203	361	165	350	351	220	1006	456	389	270	663	229	465	68	318	198	61	824	240	59	280	62	475	60	322	228	301	76	343	75	265	150	96	274	149	310	85	412					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	470	26	30	40	27	43	6	10	4	11	9	5	32	13	12	7	18	6	14	2	8	5	2	21	11	2	7	2	13	2	9	7	9	2	8	2	7	4	2	8	3	9	2	10					
