Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Новосибирск, Калининская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №2015	УИК №2016	УИК №2028									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	144724	1874	2352	2043	2375	2132	1795	1627	1776	2058	1742	1433	1860	2171	1652	1684	1997	2326	1836	1785	1955	2118	1297	1837	1460	1933	2183	1328	2189	2212	2235	1958	2052	1763	1605	1984	2027	2519	2337	2244	2382	2359	2459	2309	2411	1864	1839	1833	197	2373	2415	2749	2799	2560	2995	2509	2460	2648	2037	2138	2124	2185	3056	2035	2321	2559	2408	2275	2696	1795	180									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	142200	1800	2300	2000	2300	2100	1800	1600	1700	2000	1700	1400	1800	2100	1600	1600	2000	2300	1800	1700	1900	2000	1300	1800	1400	1900	2200	1300	2100	2200	2200	1900	2000	1700	1600	2000	2000	2500	2300	2200	2400	2300	2400	2300	2400	1800	1800	1800	200	2400	2400	2700	2800	2500	2900	2500	2400	2600	2000	2100	2100	2100	3000	2000	2300	2400	2600	2300	2600	1700	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44055	525	708	616	456	461	400	523	543	641	478	412	517	606	492	516	594	742	593	619	690	666	374	509	456	519	708	360	523	478	513	556	593	493	467	602	568	672	568	507	747	715	780	746	756	507	530	579	50	671	666	859	845	856	865	732	754	721	768	782	771	759	869	683	1027	1188	1096	1355	721	373	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	2	5	9	6	13	16	3	9	3	14	15	6	15	8	6	17	19	12	13	17	5	6	11	13	5	9	6	14	18	22	15	8	8	8	6	5	4	10	10	9	12	18	17	10	5	3	3	0	2	5	5	7	3	4	2	0	3	4	10	13	15	30	19	8	15	31	26	8	2	148									
6	Число погашенных избирательных бюллетеней	97317	1273	1587	1375	1838	1626	1384	1074	1148	1356	1208	973	1277	1479	1100	1078	1389	1539	1195	1068	1193	1329	920	1280	931	1376	1483	934	1563	1704	1665	1329	1399	1199	1125	1392	1427	1824	1722	1683	1644	1573	1602	1537	1634	1288	1267	1218	150	1727	1729	1836	1948	1641	2031	1766	1646	1876	1228	1308	1316	1326	2101	1298	1265	1197	1473	919	1871	1325	132									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	828	2	5	9	6	13	16	3	9	3	14	15	6	15	8	6	17	19	12	13	17	5	6	11	13	5	9	6	14	18	22	15	8	8	8	6	5	4	10	10	9	12	18	17	10	5	3	3	0	2	5	5	7	3	4	2	0	3	4	10	13	15	30	19	8	15	31	26	8	2	148									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44011	525	708	616	453	461	400	523	543	640	478	412	515	605	491	514	593	742	593	618	690	666	374	509	456	519	707	360	523	478	513	556	593	493	467	602	568	672	567	507	747	715	780	745	756	507	530	579	50	671	666	859	844	852	865	729	754	721	767	782	769	759	869	682	1027	1188	1096	1339	720	373	20									
9	Число недействительных избирательных бюллетеней	1142	10	15	19	8	8	9	16	21	9	13	11	17	16	17	9	11	10	13	16	12	10	6	9	10	6	18	10	24	20	22	19	21	20	9	17	17	14	28	15	24	19	21	20	16	9	9	7	1	9	27	17	21	20	23	12	9	26	24	20	31	23	20	21	36	20	28	39	15	13	7									
10	Число действительных избирательных бюллетеней	43697	517	698	606	451	466	407	510	531	634	479	416	504	604	482	511	599	751	592	615	695	661	374	511	459	518	698	356	513	476	513	552	580	481	466	591	556	662	549	502	732	708	777	742	750	503	524	575	49	664	644	847	830	835	846	719	745	698	747	772	751	751	879	680	999	1183	1099	1326	713	362	161									
